ZTF18aagrcir 0.07805389 215.692206 49.312289
filter ztfg
58202.308 18.066 0.017 
58202.350 18.050 0.014 
58202.359 18.083 0.013 
58202.383 18.095 0.011 
58203.360 18.042 0.017 
58203.386 18.082 0.018 
58203.408 18.086 0.016 
58204.327 18.120 0.024 
58204.346 18.060 0.027 
58204.361 18.026 0.025 
58204.392 18.095 0.027 
58204.398 18.008 0.024 
58204.439 18.060 0.021 
58205.325 18.126 0.033 
58205.339 18.082 0.034 
58205.348 18.176 0.054 
58205.362 18.001 0.034 
58205.378 18.079 0.033 
58205.379 18.156 0.037 
58205.398 18.125 0.056 
58205.484 18.024 0.021 
58206.300 18.070 0.025 
58206.308 18.061 0.024 
58206.323 18.067 0.024 
58206.352 18.092 0.023 
58206.362 18.078 0.021 
58206.395 18.101 0.024 
58206.398 18.098 0.026 
58207.305 18.119 0.036 
58207.322 18.155 0.035 
58207.339 18.073 0.030 
58207.358 18.177 0.034 
58207.378 18.108 0.031 
58207.399 18.099 0.031 
58208.346 18.342 0.116 
58208.366 18.119 0.064 
58208.393 18.206 0.103 
58208.394 18.301 0.122 
58208.418 18.099 0.114 
58211.341 18.412 0.060 
58211.371 18.398 0.052 
58211.372 18.293 0.042 
58211.373 18.399 0.052 
58211.395 18.337 0.057 
58214.287 18.558 0.039 
58214.306 18.520 0.169 
58216.268 18.708 0.032 
58227.324 19.759 0.105 
58227.325 19.681 0.111 
58227.349 19.684 0.090 
58231.391 19.897 0.148 
58231.393 20.090 0.163 
58231.414 19.913 0.147 
58232.265 20.158 0.277 
58232.266 20.302 0.286 
58232.270 20.226 0.178 
58232.278 20.061 0.183 
58233.305 20.131 0.238 
58233.306 19.574 0.124 
58234.194 19.920 0.165 
58234.195 20.069 0.184 
58234.258 20.204 0.152 
58234.259 20.448 0.196 
58234.259 20.346 0.174 
58234.259 20.512 0.186 
58234.260 20.299 0.166 
58234.260 20.172 0.155 
58234.261 20.360 0.173 
58234.261 20.377 0.163 
58234.262 20.506 0.185 
58234.262 20.241 0.165 
58234.263 20.484 0.194 
58234.263 20.449 0.186 
58234.264 20.368 0.163 
