ZTF18aaitbcm 0.10293914 200.670669 54.352329
filter ztfg
58207.329 19.782 0.263 
58207.374 20.617 0.251 
58211.329 20.006 0.207 
58211.338 19.993 0.202 
58223.320 18.809 0.020 
58227.309 18.916 0.035 
58227.312 18.923 0.030 
58227.319 18.978 0.036 
58227.352 18.915 0.035 
58229.282 18.925 0.029 
58229.283 18.932 0.031 
58229.305 18.928 0.027 
58229.306 18.907 0.025 
58229.332 18.932 0.027 
58230.322 18.999 0.046 
58230.348 18.981 0.025 
58230.349 18.997 0.025 
58230.372 18.998 0.026 
58232.177 19.093 0.154 
58232.178 19.010 0.096 
58232.179 19.087 0.096 
58232.261 19.029 0.047 
58232.280 19.144 0.053 
58233.302 19.151 0.047 
58234.162 19.227 0.255 
58234.179 19.263 0.148 
58234.198 19.339 0.087 
58234.201 19.415 0.145 
58234.254 19.177 0.108 
58234.332 19.144 0.089 
58236.194 19.191 0.104 
58236.218 19.390 0.121 
58236.297 19.294 0.113 
58236.317 19.510 0.134 
58236.318 19.295 0.112 
58236.342 19.465 0.142 
58236.372 19.334 0.122 
58237.174 19.621 0.160 
58237.175 19.414 0.129 
58237.227 19.306 0.135 
58237.241 19.466 0.149 
58237.312 19.841 0.227 
58237.436 19.163 0.137 
58238.177 19.293 0.130 
58242.217 19.872 0.060 
58242.246 19.926 0.057 
58242.247 19.820 0.054 
58242.248 19.841 0.056 
58243.244 19.859 0.055 
58243.246 19.943 0.060 
58243.264 19.886 0.054 
58249.223 20.702 0.197 
filter ztfr
58216.246 19.254 0.053 
58217.275 19.224 0.036 
58217.297 19.184 0.041 
58217.331 19.200 0.047 
58217.337 19.207 0.040 
58217.338 19.205 0.057 
58217.355 19.205 0.032 
58217.357 19.172 0.032 
58217.376 19.188 0.032 
58218.246 19.097 0.040 
58218.285 19.134 0.037 
58218.286 19.162 0.041 
58218.308 19.184 0.031 
58218.309 19.076 0.028 
58218.333 19.199 0.033 
58218.352 19.154 0.035 
58218.374 19.159 0.029 
58218.376 19.145 0.030 
58219.268 18.985 0.037 
58219.274 19.050 0.033 
58219.290 19.069 0.049 
58219.333 19.099 0.037 
58219.337 19.100 0.038 
58219.356 19.056 0.034 
58221.265 19.055 0.061 
58221.276 18.940 0.044 
58222.268 19.023 0.046 
58222.288 19.003 0.048 
58222.291 18.994 0.044 
58222.292 18.949 0.044 
58222.295 18.965 0.042 
58222.297 18.940 0.044 
58222.298 19.038 0.044 
58222.329 18.956 0.036 
58222.334 18.979 0.036 
58222.355 19.003 0.036 
58224.270 18.979 0.040 
58224.273 18.918 0.041 
58224.296 18.998 0.052 
58226.270 18.965 0.030 
58226.284 18.998 0.030 
58226.285 19.038 0.031 
58226.287 19.020 0.030 
58226.308 18.999 0.023 
58226.331 18.993 0.026 
58226.353 19.049 0.029 
58227.265 18.941 0.050 
58227.277 18.938 0.039 
58227.278 19.020 0.046 
58229.364 19.073 0.028 
58230.263 18.993 0.034 
58231.282 18.995 0.038 
58231.321 19.035 0.044 
58231.322 19.016 0.042 
58231.342 19.022 0.050 
58231.373 19.083 0.045 
58233.181 19.188 0.048 
58233.202 19.265 0.048 
58246.241 19.920 0.087 
58246.242 19.654 0.071 
58246.261 19.775 0.087 
58260.209 20.004 0.100 
58266.246 20.438 0.201 
58266.261 20.435 0.221 
58266.268 20.895 0.270 
58266.279 20.520 0.224 
58293.243 21.050 0.300 
58293.268 20.834 0.287 
58295.243 20.736 0.265 
filter ztfi
58232.325 19.960 0.109 
58249.304 19.910 0.193 
58254.165 20.198 0.164 
58263.332 20.220 0.187 
58267.243 20.243 0.195 
