ZTF18aamigmk 0.023 269.417711 50.03859
filter ztfg
58227.363 18.485 0.017 
58228.473 18.019 0.011 
58228.475 17.988 0.010 
58228.493 17.975 0.012 
58229.479 17.601 0.009 
58229.493 17.597 0.009 
58230.382 17.244 0.007 
58230.408 17.274 0.006 
58230.487 17.269 0.008 
58231.403 16.977 0.004 
58231.425 16.937 0.004 
58231.426 16.957 0.004 
58231.447 16.933 0.004 
58231.465 16.967 0.004 
58231.466 16.961 0.004 
58231.494 16.967 0.005 
58232.443 16.649 0.003 
58232.494 16.709 0.005 
58234.344 16.289 0.005 
58234.370 16.274 0.010 
58234.426 16.208 0.006 
58234.450 16.255 0.005 
58234.472 16.213 0.003 
58234.473 16.211 0.003 
58234.494 16.189 0.004 
58234.495 16.273 0.005 
58235.362 16.081 0.005 
58235.407 16.120 0.006 
58235.425 16.094 0.005 
58235.456 16.105 0.005 
58235.466 16.085 0.005 
58235.491 16.095 0.005 
58236.382 15.929 0.005 
58236.405 15.990 0.005 
58236.426 15.930 0.005 
58236.479 15.931 0.005 
58236.494 15.930 0.005 
58237.326 15.871 0.006 
58237.361 15.876 0.005 
58237.363 15.861 0.006 
58237.392 15.824 0.005 
58237.411 15.858 0.006 
58237.442 15.870 0.007 
58237.477 15.814 0.006 
58237.492 15.807 0.005 
58237.493 15.849 0.005 
58244.429 15.575 0.003 
58244.442 15.529 0.003 
58245.483 15.538 0.005 
58245.492 15.628 0.007 
58245.492 15.606 0.007 
58246.341 15.596 0.003 
58246.366 15.598 0.000 
58246.476 15.596 0.004 
58246.495 15.639 0.006 
58247.342 15.668 0.002 
58247.370 15.613 0.001 
58247.389 15.688 0.003 
58248.372 15.712 0.002 
58249.364 15.721 0.005 
58249.390 15.763 0.008 
58252.438 15.866 0.002 
58252.446 15.874 0.002 
58252.447 15.855 0.002 
58252.475 15.888 0.002 
58254.432 15.979 0.003 
58254.451 15.981 0.002 
58255.363 16.047 0.002 
58255.383 16.030 0.003 
58255.408 16.047 0.003 
58255.409 16.042 0.002 
58258.343 16.270 0.003 
58258.367 16.274 0.003 
58258.368 16.278 0.004 
58258.465 16.262 0.003 
58261.435 16.552 0.006 
58261.436 16.544 0.007 
58261.450 16.515 0.007 
58262.413 16.646 0.007 
58262.425 16.641 0.006 
58262.454 16.653 0.005 
58263.306 16.704 0.007 
58263.453 16.726 0.005 
58263.475 16.743 0.005 
58266.428 16.990 0.013 
58266.429 16.970 0.013 
58266.452 16.978 0.011 
58266.476 16.963 0.011 
58267.458 17.108 0.016 
58267.475 17.076 0.016 
58268.476 17.147 0.013 
58269.275 17.254 0.024 
58269.300 17.242 0.015 
58269.321 17.264 0.016 
58269.321 17.280 0.021 
58272.392 17.463 0.008 
58272.393 17.488 0.009 
58272.412 17.497 0.010 
58272.437 17.486 0.010 
58273.285 17.598 0.006 
58273.303 17.564 0.007 
58273.450 17.592 0.010 
58274.286 17.671 0.007 
58274.387 17.687 0.008 
58274.406 17.661 0.008 
58274.425 17.670 0.008 
58274.426 17.686 0.008 
58276.353 17.810 0.007 
58276.369 17.809 0.007 
