ZTF18aaqeasu 0.06633826 185.839939 46.602283
filter ztfg
58242.212 20.391 0.080 
58242.213 20.492 0.087 
58243.216 20.076 0.061 
58244.215 19.900 0.048 
58247.201 19.968 0.044 
58248.226 20.233 0.066 
58248.227 20.009 0.051 
58249.227 20.415 0.128 
filter ztfr
58242.267 20.592 0.109 
58242.268 20.561 0.109 
58243.181 20.109 0.068 
58244.178 19.790 0.046 
58245.177 19.778 0.069 
58245.178 19.643 0.061 
58246.238 19.579 0.060 
58247.241 19.443 0.037 
58248.245 19.436 0.050 
58248.246 19.561 0.057 
58250.223 19.431 0.069 
58254.201 19.251 0.033 
58254.202 19.162 0.029 
58255.245 19.224 0.034 
58256.249 19.152 0.043 
58257.242 19.132 0.037 
58257.243 19.061 0.033 
58258.214 19.074 0.034 
58260.202 19.050 0.036 
58260.203 19.116 0.038 
58266.248 19.294 0.065 
58266.249 19.375 0.069 
58267.287 19.568 0.117 
58269.175 19.956 0.114 
58269.176 19.679 0.081 
58272.178 19.977 0.058 
58272.179 20.115 0.064 
58274.206 20.296 0.076 
58276.208 20.486 0.083 
58277.241 20.536 0.101 
58278.248 20.668 0.120 
58279.175 20.836 0.164 
58279.176 20.741 0.136 
58280.195 20.733 0.126 
58281.204 21.205 0.184 
58282.205 20.667 0.118 
58282.205 21.081 0.156 
58283.207 20.875 0.141 
58284.196 20.909 0.142 
58294.236 20.747 0.201 
filter ztfi
58247.164 19.908 0.089 
58254.166 19.620 0.078 
58257.197 19.595 0.078 
58263.329 19.710 0.121 
58267.240 20.156 0.173 
58274.363 19.952 0.185 
