ZTF18aarbaba 0.05941 270.75543 20.631021
filter ztfg
59011.279 20.540 0.187 
59011.304 20.138 0.108 
59012.312 20.709 0.176 
59012.332 19.998 0.073 
59014.353 19.269 0.049 
59014.375 19.234 0.041 
59015.311 19.159 0.057 
59017.331 18.573 0.022 
59018.353 18.469 0.018 
59018.354 18.500 0.026 
59019.275 18.351 0.019 
59019.276 18.491 0.029 
59020.365 18.357 0.018 
59020.366 18.476 0.024 
59022.340 18.269 0.018 
59022.341 18.353 0.023 
59023.317 18.296 0.019 
59023.318 18.309 0.022 
59024.374 18.347 0.028 
59024.375 18.336 0.027 
59025.316 18.512 0.031 
59025.316 18.294 0.018 
59026.375 18.383 0.021 
59027.237 18.363 0.030 
59027.358 18.463 0.029 
59028.353 18.504 0.032 
59028.357 18.464 0.029 
59029.254 18.610 0.060 
59029.281 18.606 0.061 
59030.374 18.597 0.035 
59030.375 18.646 0.036 
59031.318 18.708 0.047 
59031.318 18.717 0.053 
59032.381 18.781 0.068 
59032.394 18.758 0.064 
59033.218 18.940 0.113 
59033.233 18.862 0.077 
59034.214 19.125 0.157 
59034.250 18.966 0.109 
59035.211 19.269 0.185 
59038.252 19.538 0.108 
59038.292 19.453 0.100 
59041.227 19.668 0.060 
59041.228 19.999 0.102 
59044.316 20.437 0.180 
59044.328 20.228 0.117 
59045.271 20.133 0.082 
59047.252 20.278 0.092 
59047.253 20.726 0.170 
59050.360 20.645 0.162 
59050.360 20.379 0.171 
59053.337 21.072 0.172 
59053.337 21.253 0.259 
59056.286 20.977 0.181 
59072.250 20.979 0.193 
59075.190 21.006 0.203 
59078.229 21.195 0.244 
59081.233 21.101 0.240 
filter ztfr
59011.320 20.025 0.218 
59011.321 19.936 0.167 
59012.273 19.763 0.140 
59014.259 19.215 0.106 
59014.260 19.322 0.098 
59015.333 19.017 0.057 
59015.334 18.893 0.059 
59016.254 19.097 0.140 
59016.255 18.803 0.084 
59017.278 18.551 0.043 
59017.292 18.626 0.037 
59018.257 18.532 0.044 
59018.258 18.475 0.039 
59019.361 18.378 0.029 
59019.361 18.414 0.037 
59019.397 18.413 0.034 
59019.397 18.341 0.037 
59019.398 18.361 0.038 
59019.398 18.336 0.035 
59019.399 18.446 0.039 
59019.399 18.369 0.035 
59019.400 18.383 0.033 
59019.400 18.387 0.039 
59019.401 18.348 0.035 
59019.401 18.402 0.039 
59019.402 18.481 0.038 
59019.402 18.327 0.037 
59019.403 18.413 0.038 
59019.403 18.288 0.036 
59019.403 18.370 0.038 
59019.404 18.383 0.037 
59019.404 18.336 0.043 
59019.405 18.398 0.036 
59019.405 18.470 0.039 
59019.406 18.428 0.037 
59019.406 18.330 0.033 
