ZTF18aataafd 0.07705 214.837248 36.172048
filter ztfg
58249.212 19.535 0.067 
58255.214 18.636 0.017 
58255.215 18.659 0.017 
58258.292 18.495 0.018 
58262.268 18.485 0.031 
58262.269 18.503 0.030 
58266.195 18.785 0.066 
58266.196 18.800 0.063 
58269.255 18.859 0.055 
58269.256 18.959 0.061 
58272.231 19.291 0.030 
58272.232 19.221 0.034 
58273.241 19.448 0.034 
58274.276 19.602 0.033 
58276.238 19.661 0.035 
58276.239 19.770 0.039 
58277.219 19.786 0.051 
58279.219 20.096 0.057 
58279.219 20.115 0.064 
58280.256 20.078 0.058 
58281.235 20.111 0.063 
58282.256 20.269 0.071 
58282.258 20.393 0.086 
58284.235 20.566 0.098 
filter ztfr
58262.301 18.664 0.039 
58262.303 18.646 0.042 
58263.361 18.720 0.055 
58266.273 18.779 0.065 
58266.274 18.859 0.064 
58267.309 18.869 0.054 
58270.302 19.071 0.051 
58271.192 19.081 0.036 
58272.169 19.200 0.047 
58272.170 19.260 0.044 
58277.276 19.407 0.040 
58279.240 19.564 0.049 
58280.202 19.480 0.050 
58281.229 19.472 0.045 
58282.217 19.602 0.047 
58282.218 19.452 0.043 
58283.214 19.516 0.041 
58284.206 19.554 0.047 
58288.259 19.839 0.063 
58294.249 20.299 0.150 
58300.180 20.447 0.128 
58306.173 20.246 0.142 
filter ztfi
58249.310 20.246 0.269 
58261.171 19.294 0.092 
58261.215 19.018 0.090 
58267.235 19.798 0.188 
58292.178 20.105 0.182 
