ZTF18abcflnz 0.02728384 281.559789 35.968664
filter ztfg
58288.383 20.875 0.129 
58288.400 20.632 0.136 
58288.438 20.555 0.141 
58289.358 20.176 0.074 
58289.383 19.956 0.061 
58289.401 20.032 0.093 
58290.405 19.300 0.030 
58290.406 19.315 0.027 
58290.436 19.389 0.036 
58291.436 18.799 0.017 
58292.436 18.311 0.010 
58293.416 17.936 0.013 
58293.416 17.894 0.013 
58293.423 17.927 0.012 
58294.364 17.601 0.013 
58294.450 17.535 0.007 
58295.363 17.339 0.015 
58296.379 17.087 0.013 
58299.215 16.641 0.006 
58299.443 16.667 0.009 
58299.444 16.636 0.008 
58299.477 16.647 0.009 
58301.270 16.434 0.004 
58301.292 16.444 0.006 
58301.323 16.446 0.005 
58302.286 16.423 0.008 
58302.287 16.427 0.007 
58302.434 16.414 0.006 
58303.289 16.354 0.004 
58303.407 16.323 0.004 
58303.433 16.334 0.004 
58304.297 16.298 0.004 
58304.429 16.305 0.004 
58304.453 16.306 0.004 
58305.316 16.332 0.004 
58305.317 16.318 0.003 
58305.445 16.319 0.003 
58306.352 16.672 0.014 
58307.236 16.309 0.005 
58307.349 16.313 0.003 
58310.326 16.420 0.004 
58310.350 16.446 0.006 
58310.375 16.414 0.006 
58311.340 16.459 0.004 
58311.341 16.465 0.005 
58311.374 16.462 0.005 
58312.340 16.498 0.005 
58312.362 16.492 0.005 
58316.373 16.748 0.007 
58316.381 16.742 0.004 
58316.402 16.749 0.005 
58317.338 16.817 0.006 
58317.359 16.788 0.006 
58317.360 16.804 0.006 
58317.393 16.808 0.006 
58318.380 16.892 0.005 
58318.403 16.897 0.004 
58318.437 16.886 0.006 
58319.372 17.009 0.008 
58319.385 17.004 0.007 
58319.399 17.024 0.008 
58320.401 17.054 0.007 
58320.402 17.057 0.007 
58320.424 17.104 0.007 
58320.447 17.087 0.009 
58321.380 17.182 0.007 
58321.407 17.151 0.005 
58321.420 17.164 0.005 
58322.171 17.238 0.011 
58322.191 17.201 0.008 
58322.215 17.195 0.009 
58323.357 17.318 0.011 
58323.379 17.347 0.013 
58323.380 17.322 0.012 
58323.404 17.330 0.012 
58324.272 17.436 0.017 
58324.401 17.432 0.020 
58325.173 17.516 0.021 
58325.190 17.476 0.019 
58326.205 17.598 0.019 
58326.422 17.670 0.043 
58326.423 17.688 0.038 
58326.450 17.604 0.047 
58327.207 17.678 0.027 
58329.166 17.861 0.014 
58330.183 17.915 0.010 
58330.190 17.932 0.012 
58330.278 17.931 0.020 
58331.267 18.048 0.020 
58331.288 18.030 0.019 
58332.208 18.127 0.009 
58332.229 18.093 0.010 
58332.237 18.126 0.012 
58338.182 18.571 0.017 
58343.305 18.808 0.021 
58346.330 18.977 0.024 
58349.219 18.985 0.039 
58349.228 19.009 0.040 
58350.302 19.129 0.042 
58350.344 19.028 0.025 
58351.270 19.075 0.040 
58351.273 19.182 0.045 
58351.305 19.106 0.044 
58352.208 19.159 0.063 
58352.353 19.205 0.063 
58352.354 19.176 0.061 
58360.148 19.385 0.044 
58360.173 19.260 0.028 
58360.174 19.293 0.031 
58360.174 19.287 0.031 
58360.175 19.321 0.034 
58360.175 19.278 0.031 
58360.176 19.251 0.030 
58360.176 19.322 0.033 
58360.176 19.288 0.031 
58360.177 19.294 0.034 
58360.177 19.323 0.036 
58360.178 19.405 0.040 
58360.178 19.297 0.030 
58360.179 19.341 0.032 
58360.179 19.303 0.035 
58360.180 19.319 0.038 
58360.180 19.281 0.036 
58360.181 19.308 0.044 
58360.181 19.292 0.058 
58360.181 19.398 0.048 
58360.182 19.260 0.041 
58360.182 19.280 0.047 
58360.183 19.362 0.055 
58360.183 19.367 0.058 
58360.184 19.332 0.055 
58361.168 19.244 0.031 
58361.195 19.296 0.029 
58361.196 19.269 0.031 
58361.212 19.252 0.035 
58362.205 19.529 0.057 
58362.225 19.356 0.036 
58362.232 19.399 0.046 
58363.169 19.315 0.045 
58363.207 19.395 0.041 
58364.204 19.438 0.035 
58364.227 19.402 0.031 
58364.228 19.357 0.030 
58364.233 19.396 0.029 
58365.245 19.377 0.028 
58365.268 19.369 0.031 
58365.279 19.390 0.036 
58366.194 19.373 0.029 
58366.226 19.389 0.030 
58366.232 19.409 0.032 
58367.229 19.450 0.033 
58367.232 19.357 0.033 
58367.233 19.407 0.033 
58367.253 19.385 0.032 
58368.212 19.390 0.032 
58368.249 19.461 0.037 
58368.254 19.446 0.034 
58369.215 19.443 0.033 
58369.232 19.439 0.032 
58369.262 19.418 0.034 
58370.171 19.452 0.036 
58370.192 19.434 0.036 
58370.211 19.437 0.032 
58370.212 19.432 0.032 
58371.212 19.425 0.031 
58371.248 19.473 0.031 
58371.269 19.500 0.035 
58372.194 19.468 0.032 
58372.227 19.450 0.032 
58372.259 19.523 0.038 
58373.192 19.547 0.043 
58373.211 19.548 0.039 
58373.212 19.530 0.040 
58373.249 19.544 0.051 
filter ztfr
58288.313 20.458 0.082 
58288.329 20.345 0.077 
58288.447 20.715 0.218 
58289.266 19.720 0.061 
58289.329 19.676 0.068 
58289.445 19.744 0.065 
58290.371 19.175 0.027 
58290.371 19.080 0.025 
58291.290 18.800 0.027 
58291.312 18.839 0.029 
58291.319 18.697 0.027 
58292.274 18.406 0.022 
58292.309 18.344 0.017 
58292.329 18.283 0.017 
58293.275 17.975 0.020 
58293.300 17.922 0.013 
58293.319 17.943 0.013 
58293.320 17.925 0.014 
58294.291 17.642 0.012 
58294.295 17.643 0.013 
58295.271 17.346 0.011 
58295.292 17.360 0.010 
58295.298 17.309 0.009 
58296.334 17.121 0.011 
58299.232 16.696 0.006 
58299.232 16.658 0.006 
58299.233 16.667 0.006 
58299.233 16.681 0.006 
58299.234 16.654 0.006 
58299.234 16.684 0.006 
58299.235 16.662 0.006 
58299.235 16.674 0.006 
58299.235 16.694 0.006 
58299.236 16.667 0.005 
58299.236 16.677 0.006 
58299.237 16.678 0.006 
58299.237 16.688 0.006 
58299.238 16.668 0.006 
58299.238 16.691 0.006 
58299.239 16.668 0.006 
58299.239 16.693 0.006 
58299.240 16.675 0.006 
58299.240 16.668 0.007 
58299.240 16.689 0.006 
58299.241 16.661 0.006 
58299.241 16.686 0.006 
58299.242 16.699 0.007 
58299.242 16.667 0.006 
58299.243 16.691 0.006 
58299.243 16.684 0.006 
58299.244 16.685 0.006 
58299.244 16.705 0.006 
58299.245 16.655 0.006 
58299.245 16.672 0.007 
58299.246 16.673 0.006 
58299.246 16.693 0.007 
58299.246 16.702 0.007 
58299.247 16.655 0.006 
58299.247 16.677 0.006 
58299.248 16.676 0.006 
58299.248 16.685 0.006 
58299.249 16.663 0.006 
58299.249 16.690 0.007 
58299.250 16.684 0.006 
58299.250 16.665 0.006 
58299.251 16.691 0.006 
58299.251 16.675 0.007 
58299.251 16.673 0.006 
58299.252 16.677 0.006 
58299.252 16.696 0.007 
58299.253 16.678 0.007 
58299.253 16.630 0.006 
58299.254 16.671 0.007 
58299.254 16.711 0.008 
58299.255 16.670 0.006 
58299.255 16.672 0.006 
58299.256 16.688 0.006 
58299.256 16.672 0.007 
58299.256 16.675 0.006 
58299.257 16.670 0.007 
58299.257 16.693 0.008 
58299.258 16.683 0.007 
58299.258 16.691 0.007 
58299.259 16.684 0.006 
58299.259 16.698 0.006 
58299.260 16.686 0.007 
58299.260 16.663 0.006 
58299.261 16.693 0.007 
58299.261 16.670 0.006 
58299.261 16.685 0.007 
58299.262 16.714 0.008 
58299.262 16.692 0.008 
58299.263 16.711 0.007 
58299.263 16.688 0.007 
58299.264 16.696 0.007 
58299.264 16.700 0.008 
58299.265 16.688 0.007 
58299.265 16.674 0.007 
58299.266 16.666 0.007 
58299.266 16.676 0.007 
58299.267 16.651 0.007 
58299.267 16.693 0.007 
58299.267 16.669 0.007 
58299.268 16.714 0.008 
58299.268 16.688 0.007 
58299.269 16.690 0.006 
