ZTF18abclfee 0.02890385 258.59264 48.264271
filter ztfg
58289.366 21.340 0.191 
58289.385 21.207 0.185 
58289.387 20.978 0.140 
58290.204 20.543 0.144 
58290.218 20.335 0.107 
58290.219 20.221 0.101 
58290.221 20.293 0.103 
58290.240 20.268 0.101 
58290.241 20.385 0.104 
58290.244 20.045 0.082 
58290.409 20.152 0.064 
58291.340 19.748 0.071 
58291.347 19.760 0.059 
58291.432 19.697 0.037 
58292.219 19.424 0.059 
58292.345 19.335 0.055 
58292.349 19.265 0.046 
58292.433 19.407 0.031 
58293.205 19.148 0.064 
58293.222 19.178 0.065 
58293.227 19.167 0.065 
58293.346 19.110 0.046 
58293.348 19.114 0.043 
58293.349 19.134 0.045 
58294.195 18.910 0.046 
58294.216 18.961 0.046 
58294.220 18.940 0.042 
58294.367 18.801 0.043 
58294.370 18.784 0.039 
58295.208 18.817 0.049 
58295.216 18.808 0.057 
58295.218 18.721 0.043 
58295.367 18.641 0.042 
58295.368 18.784 0.050 
58296.229 18.570 0.047 
58296.451 18.687 0.067 
58297.241 18.492 0.038 
58297.242 18.531 0.040 
58298.196 18.628 0.046 
58298.197 18.609 0.043 
58298.217 18.591 0.036 
58298.238 18.542 0.039 
58298.239 18.522 0.033 
58299.186 18.529 0.022 
58299.186 18.589 0.024 
58299.187 18.539 0.114 
58299.196 18.488 0.022 
58299.198 18.483 0.021 
58299.202 18.534 0.025 
58299.220 18.514 0.030 
58299.223 18.553 0.030 
58300.206 18.576 0.017 
58300.207 18.531 0.018 
58300.216 18.535 0.019 
58300.217 18.607 0.023 
58300.304 18.535 0.026 
58300.311 18.532 0.029 
58301.263 18.577 0.023 
58301.266 18.597 0.023 
58301.284 18.556 0.023 
58301.285 18.561 0.024 
58301.307 18.574 0.023 
58301.309 18.624 0.027 
58302.202 18.655 0.019 
58302.203 18.597 0.021 
58302.217 18.584 0.017 
58302.218 18.615 0.016 
58304.206 18.833 0.017 
58304.206 18.803 0.018 
58304.221 18.793 0.017 
58304.222 18.763 0.016 
58304.301 18.797 0.017 
58304.303 18.794 0.019 
58305.206 18.873 0.020 
58305.207 18.917 0.022 
58305.217 18.927 0.023 
58305.218 18.955 0.023 
58305.219 18.869 0.021 
58305.220 18.821 0.019 
58305.305 18.924 0.021 
58305.308 18.919 0.024 
58306.307 18.966 0.025 
58306.309 19.058 0.023 
58306.322 19.030 0.041 
58306.323 19.076 0.024 
58306.350 19.033 0.029 
58307.214 19.221 0.025 
58307.239 19.127 0.033 
58307.243 19.142 0.026 
58307.323 19.113 0.026 
58307.331 19.173 0.028 
58307.347 19.138 0.025 
58308.203 19.394 0.033 
58308.204 19.350 0.031 
58308.217 19.376 0.030 
58308.218 19.271 0.032 
58308.220 19.293 0.028 
58308.221 19.352 0.028 
58308.388 19.365 0.074 
58308.389 19.444 0.063 
58310.332 19.665 0.046 
58311.240 19.821 0.052 
58311.333 19.775 0.060 
58311.346 19.857 0.056 
58312.260 19.977 0.052 
58312.348 20.125 0.072 
58312.348 20.101 0.074 
58313.244 20.041 0.061 
58313.324 20.046 0.071 
58313.347 19.868 0.058 
58314.238 20.152 0.071 
58314.321 20.252 0.096 
58314.322 20.152 0.088 
58314.351 20.309 0.086 
58315.382 20.952 0.198 
58316.363 20.531 0.126 
58316.364 20.728 0.129 
58316.385 20.361 0.104 
58317.342 20.311 0.088 
58318.390 20.622 0.104 
58318.390 20.639 0.116 
58318.394 20.757 0.151 
58318.405 20.711 0.122 
58319.174 21.027 0.305 
58319.194 20.678 0.210 
58319.197 20.637 0.210 
58319.362 20.948 0.238 
58320.180 20.709 0.250 
58320.181 20.947 0.199 
58320.201 20.598 0.201 
58320.202 20.679 0.139 
58320.406 20.765 0.274 
58320.431 20.694 0.197 
58321.192 20.843 0.266 
58321.194 20.892 0.279 
58321.390 20.586 0.130 
58321.394 20.783 0.138 
58321.406 20.851 0.144 
58321.409 21.021 0.171 
58322.173 21.122 0.268 
58322.176 20.718 0.292 
58322.195 20.710 0.180 
58322.199 20.803 0.276 
58322.200 20.372 0.188 
58322.221 20.678 0.182 
58323.278 20.548 0.213 
58323.364 20.304 0.212 
58323.364 20.403 0.213 
58324.288 20.476 0.214 
58324.300 20.533 0.219 
58325.180 20.427 0.271 
58326.183 20.552 0.238 
58327.201 20.099 0.190 
58329.184 20.868 0.171 
58330.165 20.884 0.275 
58330.180 20.874 0.127 
58330.196 21.054 0.165 
58332.200 21.148 0.224 
58332.203 20.888 0.116 
58332.219 21.223 0.193 
58332.221 21.022 0.143 
58333.176 21.137 0.167 
58333.231 21.528 0.195 
58334.186 21.193 0.253 
58336.241 21.019 0.169 
58337.180 21.668 0.300 
58349.158 21.159 0.245 
58349.182 21.216 0.245 
58349.194 21.167 0.224 
58350.266 21.140 0.277 
58350.294 21.433 0.308 
58350.323 21.058 0.248 
58350.324 21.058 0.231 
58351.267 21.016 0.291 
58352.162 20.682 0.234 
58352.185 20.427 0.188 
58360.155 21.707 0.309 
58363.172 21.443 0.290 
58364.238 21.469 0.198 
58365.223 21.200 0.156 
58366.204 21.298 0.183 
58368.214 21.397 0.190 
58369.222 21.327 0.184 
58369.238 21.062 0.154 
58370.184 21.218 0.174 
filter ztfr
58290.329 20.427 0.106 
58290.347 20.547 0.128 
58290.349 20.208 0.088 
58290.364 20.458 0.093 
58290.367 20.635 0.101 
58290.367 20.459 0.086 
58290.368 20.657 0.103 
58290.394 20.475 0.098 
58291.281 20.151 0.097 
58291.287 19.916 0.081 
58291.303 20.026 0.093 
58291.304 20.134 0.095 
58291.328 19.831 0.069 
58291.329 19.893 0.081 
58292.263 19.577 0.061 
58292.277 19.635 0.061 
58292.301 19.605 0.062 
58292.302 19.590 0.061 
58292.319 19.591 0.057 
58292.320 19.668 0.066 
58293.255 19.335 0.054 
58293.257 19.318 0.050 
58293.258 19.382 0.055 
58293.280 19.235 0.057 
58293.308 19.188 0.044 
58293.313 19.277 0.058 
58294.261 18.951 0.044 
58294.283 19.010 0.047 
58294.288 19.072 0.047 
58294.320 19.087 0.052 
58294.322 19.102 0.041 
58295.266 18.869 0.038 
58295.269 18.879 0.038 
58295.285 18.883 0.039 
58295.287 18.901 0.040 
58295.305 18.900 0.037 
58295.307 18.847 0.037 
58296.284 18.749 0.035 
58296.287 18.762 0.036 
58296.288 18.841 0.046 
58297.308 18.693 0.051 
58297.309 18.723 0.056 
58297.331 18.724 0.058 
58297.332 18.770 0.062 
58297.345 18.727 0.051 
58297.345 18.637 0.047 
58298.288 18.620 0.038 
58298.291 18.781 0.055 
58298.298 18.699 0.048 
58298.300 18.750 0.060 
58298.320 18.686 0.052 
58298.321 18.795 0.061 
58299.338 18.656 0.053 
58299.344 18.608 0.045 
58299.361 18.620 0.044 
58299.361 18.657 0.054 
58299.362 18.651 0.053 
58299.363 18.678 0.051 
58299.386 18.630 0.048 
58299.405 18.624 0.050 
58300.326 18.552 0.030 
58300.328 18.570 0.036 
58300.343 18.632 0.034 
58300.344 18.561 0.032 
58300.359 18.586 0.032 
58300.359 18.568 0.033 
58301.183 18.631 0.027 
58301.345 18.606 0.030 
58301.345 18.515 0.027 
58301.370 18.559 0.030 
58301.371 18.566 0.032 
58301.383 18.630 0.033 
58302.311 18.578 0.029 
58302.325 18.565 0.032 
58302.326 18.531 0.033 
58302.343 18.537 0.034 
58303.307 18.512 0.019 
58303.309 18.638 0.024 
58303.323 18.566 0.021 
58303.326 18.691 0.022 
58303.345 18.588 0.021 
58303.347 18.543 0.023 
58304.324 18.641 0.020 
58304.326 18.562 0.019 
58304.346 18.685 0.023 
58304.346 18.613 0.021 
58304.370 18.675 0.022 
58305.343 18.689 0.029 
58305.348 18.718 0.030 
58305.349 18.768 0.029 
58305.350 18.687 0.027 
58305.367 18.693 0.039 
58305.368 18.762 0.045 
58305.385 18.697 0.035 
58306.187 18.605 0.027 
58306.201 18.688 0.026 
58306.202 18.702 0.026 
58306.368 18.619 0.026 
58307.186 18.719 0.022 
58307.188 18.662 0.019 
58307.198 18.678 0.021 
58307.201 18.674 0.019 
58307.365 18.672 0.019 
58307.365 18.625 0.018 
58308.245 18.716 0.020 
58308.247 18.642 0.020 
58308.250 18.702 0.020 
58308.319 18.701 0.040 
58308.326 18.691 0.036 
58308.327 18.728 0.037 
58311.186 18.790 0.021 
58311.187 18.826 0.024 
58311.197 18.859 0.024 
58311.198 18.924 0.024 
58311.199 18.863 0.023 
58311.220 18.835 0.026 
58311.221 18.847 0.032 
58311.223 18.859 0.034 
58312.208 18.927 0.028 
58312.224 18.840 0.026 
58312.226 18.890 0.026 
58312.244 18.900 0.024 
58312.247 18.815 0.027 
58313.221 18.965 0.031 
58314.184 18.943 0.033 
58314.199 18.985 0.032 
58314.215 19.024 0.028 
58314.216 19.023 0.029 
58315.322 19.051 0.031 
58315.343 19.103 0.036 
58316.228 19.122 0.032 
58316.241 19.101 0.027 
58316.242 19.107 0.029 
58318.344 19.311 0.038 
58318.345 19.356 0.037 
58319.242 19.426 0.061 
58319.243 19.483 0.059 
58319.262 19.416 0.054 
58319.263 19.438 0.043 
58319.281 19.444 0.051 
58320.260 19.529 0.048 
58320.266 19.314 0.039 
58320.279 19.478 0.051 
58320.280 19.343 0.042 
58321.229 19.408 0.053 
58321.244 19.454 0.056 
58321.248 19.507 0.054 
58321.265 19.483 0.054 
58322.235 19.457 0.050 
58322.239 19.552 0.056 
58322.257 19.567 0.061 
58322.258 19.579 0.061 
58322.264 19.529 0.054 
58322.280 19.394 0.053 
58322.287 19.643 0.063 
58323.240 19.614 0.069 
58323.243 19.481 0.058 
58323.254 19.619 0.074 
58323.255 19.550 0.069 
58324.187 19.687 0.179 
58324.188 19.723 0.137 
58324.197 19.436 0.148 
58324.243 19.654 0.091 
58324.248 19.625 0.087 
58325.226 19.897 0.114 
58325.228 19.894 0.120 
58325.239 19.519 0.090 
58325.240 19.670 0.108 
58325.241 19.595 0.095 
58325.261 19.730 0.110 
58325.262 19.556 0.102 
58326.280 19.909 0.138 
58326.286 19.858 0.120 
58326.297 19.704 0.118 
58326.297 19.883 0.143 
58326.318 19.783 0.124 
58326.331 19.699 0.173 
58327.287 19.787 0.146 
58327.287 19.670 0.119 
58327.289 19.757 0.117 
58327.303 19.929 0.179 
58327.303 19.921 0.156 
58327.330 19.877 0.168 
58327.331 19.836 0.154 
58328.287 19.787 0.111 
58328.287 20.171 0.151 
58328.320 19.995 0.171 
58329.311 19.893 0.100 
58329.312 19.827 0.110 
58329.325 19.647 0.097 
58329.326 19.942 0.138 
58330.305 19.727 0.079 
58330.323 19.923 0.105 
58330.324 19.998 0.111 
58330.325 19.974 0.112 
58330.339 20.016 0.121 
58330.351 20.119 0.130 
58330.370 19.958 0.140 
58331.175 20.099 0.070 
58331.179 19.871 0.059 
58331.199 19.984 0.061 
58331.200 19.940 0.058 
58331.203 19.853 0.059 
58331.215 20.061 0.071 
58331.219 20.000 0.068 
58332.260 19.887 0.067 
58332.261 20.036 0.083 
58332.281 20.112 0.098 
58332.282 20.026 0.088 
58332.326 19.786 0.082 
58332.327 19.868 0.088 
58333.328 20.065 0.115 
58334.165 20.056 0.087 
58336.217 20.158 0.077 
58337.194 20.041 0.067 
58340.179 20.208 0.118 
58340.180 20.118 0.099 
58343.158 20.255 0.094 
58343.159 19.958 0.161 
58346.178 20.184 0.075 
58346.179 20.421 0.093 
58349.242 20.915 0.207 
58349.243 20.252 0.115 
58349.244 20.610 0.151 
58349.259 20.619 0.142 
58349.260 20.410 0.134 
58349.268 20.476 0.133 
58349.276 20.540 0.145 
58349.279 20.814 0.197 
