ZTF18ablqkud 0.06809 249.416555 25.320953
filter ztfg
58332.191 20.880 0.159 
58336.236 20.041 0.098 
58343.183 19.221 0.039 
58346.161 19.210 0.050 
58349.165 19.210 0.067 
58349.168 19.137 0.064 
58349.190 19.169 0.065 
58350.248 19.204 0.071 
58350.249 19.213 0.076 
58350.254 19.165 0.062 
58350.280 19.236 0.082 
58351.249 19.307 0.071 
58351.255 19.106 0.060 
58351.287 19.209 0.073 
58352.149 19.265 0.079 
58352.170 19.377 0.090 
58352.191 19.341 0.079 
58359.134 19.530 0.145 
58360.139 20.037 0.125 
58360.165 19.649 0.054 
58361.185 19.743 0.068 
58361.193 19.716 0.052 
58362.191 19.982 0.091 
58364.192 20.181 0.087 
58364.215 20.185 0.096 
58364.236 20.087 0.083 
58365.216 20.394 0.110 
58366.197 20.216 0.084 
58366.212 20.302 0.091 
58366.235 20.300 0.099 
58367.215 20.476 0.139 
58367.247 20.577 0.189 
58367.261 20.575 0.247 
58368.194 20.600 0.137 
58368.195 20.455 0.117 
58368.225 20.484 0.137 
58368.234 20.391 0.139 
58369.218 20.481 0.135 
58369.244 20.371 0.140 
58369.255 20.763 0.229 
58371.203 20.647 0.132 
58371.204 20.640 0.124 
58371.226 20.656 0.161 
58371.235 20.663 0.172 
58372.225 20.657 0.138 
58372.238 20.963 0.238 
58373.235 20.570 0.191 
58374.242 20.809 0.245 
58381.211 20.568 0.308 
filter ztfr
58332.298 20.571 0.208 
58333.163 20.732 0.160 
58336.213 19.890 0.075 
58340.184 19.331 0.052 
58343.163 19.089 0.033 
58346.183 19.031 0.034 
58349.256 18.928 0.052 
58349.274 18.956 0.054 
58350.148 18.822 0.041 
58350.149 18.994 0.047 
58350.171 18.959 0.040 
58350.194 18.972 0.043 
58351.165 18.991 0.042 
58351.186 19.081 0.046 
58352.231 19.044 0.063 
58352.258 19.004 0.064 
58353.147 19.118 0.056 
58353.165 19.146 0.052 
58353.168 19.163 0.053 
58353.192 19.020 0.048 
58353.246 19.066 0.057 
58353.268 19.186 0.067 
58353.269 19.243 0.072 
58353.276 19.244 0.079 
58354.208 18.993 0.068 
58354.211 19.142 0.105 
58354.249 19.183 0.067 
58355.235 19.218 0.068 
58355.253 19.324 0.082 
58356.211 19.129 0.071 
58356.212 19.178 0.072 
58356.248 19.156 0.083 
58356.255 19.120 0.082 
58357.176 19.357 0.096 
58357.244 19.484 0.106 
58357.266 19.379 0.120 
58357.286 19.337 0.141 
58358.204 19.349 0.082 
58358.227 19.616 0.120 
58358.247 19.499 0.106 
58359.212 19.185 0.074 
58359.213 19.503 0.086 
58359.269 19.508 0.133 
58360.220 19.501 0.078 
58360.248 19.429 0.079 
58360.266 19.691 0.131 
58361.139 19.563 0.063 
58361.249 19.677 0.092 
58361.258 19.574 0.096 
58362.136 19.659 0.076 
58364.134 19.599 0.108 
58364.159 19.614 0.054 
58364.173 19.703 0.059 
58365.133 19.609 0.074 
58367.173 19.913 0.079 
58367.207 19.891 0.088 
58368.131 19.616 0.066 
58368.132 19.766 0.072 
58368.149 19.825 0.072 
58368.187 19.899 0.078 
58369.143 19.744 0.062 
58369.163 19.745 0.062 
58369.174 19.736 0.067 
58371.123 19.809 0.121 
58371.131 19.995 0.083 
58371.134 19.769 0.063 
58371.150 19.759 0.061 
58372.130 19.926 0.079 
58372.163 19.925 0.072 
58373.142 19.962 0.083 
58373.166 19.904 0.077 
58374.129 19.873 0.079 
58374.130 19.745 0.067 
58374.148 19.930 0.074 
58377.144 19.949 0.086 
58377.145 19.852 0.081 
58377.150 20.001 0.100 
58377.172 20.291 0.135 
58381.146 20.276 0.140 
58381.151 19.952 0.110 
filter ztfi
58340.151 19.343 0.127 
58344.326 19.387 0.124 
58348.183 19.305 0.102 
58362.279 20.012 0.199 
58379.145 20.018 0.151 
