ZTF18ablwrmh 0.09596886 287.226489 67.811355
filter ztfg
58331.306 20.694 0.185 
58332.244 20.386 0.075 
58332.245 20.352 0.078 
58332.453 20.313 0.155 
58338.177 19.227 0.043 
58345.184 19.005 0.028 
58348.364 19.102 0.022 
58349.185 19.155 0.042 
58349.207 19.065 0.043 
58349.222 19.098 0.034 
58350.298 19.126 0.034 
58350.320 19.132 0.031 
58350.349 19.095 0.024 
58351.237 19.240 0.042 
58351.279 19.086 0.033 
58351.309 19.205 0.039 
58351.310 19.123 0.034 
58352.201 19.168 0.047 
58352.346 19.216 0.049 
58352.366 19.191 0.047 
58360.368 19.941 0.194 
58360.377 19.615 0.131 
58361.178 19.955 0.057 
58361.206 19.947 0.053 
58361.219 19.816 0.057 
58363.175 20.211 0.120 
58363.175 20.128 0.095 
58363.198 20.248 0.080 
58365.262 20.386 0.071 
58365.297 20.318 0.079 
58366.217 20.374 0.059 
58366.248 20.387 0.063 
58366.263 20.314 0.065 
58366.264 20.282 0.065 
58367.236 20.426 0.085 
58367.268 20.450 0.086 
58367.281 20.513 0.093 
58368.242 20.544 0.078 
58368.265 20.592 0.096 
58368.366 20.688 0.154 
58369.265 20.611 0.082 
58369.282 20.756 0.117 
58369.283 20.548 0.083 
58369.299 20.669 0.089 
58370.208 21.000 0.135 
58370.228 20.675 0.110 
58370.241 20.602 0.107 
58371.220 20.877 0.105 
58371.243 20.705 0.099 
58371.265 20.787 0.092 
58372.248 20.867 0.106 
58372.267 20.902 0.105 
58372.268 20.910 0.108 
58372.278 20.920 0.132 
58373.228 21.011 0.139 
58373.243 20.924 0.143 
58373.264 20.742 0.113 
58374.233 21.057 0.161 
58374.260 20.872 0.136 
58374.285 20.976 0.166 
58375.247 21.093 0.142 
58375.297 21.237 0.213 
58376.221 21.297 0.173 
58376.236 20.968 0.129 
58377.239 20.848 0.144 
58377.266 21.087 0.158 
58378.179 21.333 0.194 
58378.180 21.088 0.169 
58378.307 21.391 0.227 
58378.323 21.213 0.218 
58379.155 21.042 0.210 
58379.175 21.386 0.247 
58380.343 20.947 0.252 
58382.199 21.068 0.245 
filter ztfr
58331.205 20.759 0.117 
58331.223 20.954 0.155 
58332.311 20.606 0.143 
58332.312 20.510 0.125 
58338.198 19.388 0.033 
58342.333 19.150 0.043 
58345.328 19.084 0.032 
58349.285 19.072 0.030 
58349.305 19.013 0.024 
58350.372 19.073 0.023 
58350.385 19.119 0.024 
58350.399 19.067 0.030 
58351.158 19.105 0.029 
58351.198 19.067 0.029 
58351.218 19.128 0.037 
58351.219 19.085 0.033 
58352.238 19.129 0.040 
58352.284 19.177 0.037 
58352.309 19.177 0.046 
58353.184 19.214 0.038 
58353.207 19.196 0.038 
58353.221 19.217 0.043 
58353.301 19.233 0.040 
58353.341 19.142 0.044 
58353.379 19.240 0.065 
58353.412 19.244 0.069 
58354.222 19.096 0.057 
58354.236 19.263 0.052 
58354.237 19.110 0.045 
58354.262 19.343 0.053 
58354.309 19.112 0.047 
58354.363 19.200 0.056 
58354.398 19.233 0.071 
58355.243 19.311 0.047 
58355.286 19.297 0.049 
58355.295 19.299 0.062 
58355.304 19.372 0.058 
58356.199 19.464 0.080 
58356.236 19.269 0.068 
58356.281 19.269 0.068 
58356.296 19.261 0.069 
58356.299 19.316 0.066 
58357.198 19.397 0.070 
58357.199 19.143 0.059 
58357.223 19.533 0.077 
58357.240 19.431 0.067 
58357.278 19.400 0.073 
58357.299 19.420 0.063 
58357.300 19.360 0.072 
58357.326 19.020 0.071 
58358.217 19.440 0.100 
58358.235 19.452 0.072 
58358.261 19.346 0.059 
58358.285 19.395 0.062 
58359.197 19.444 0.051 
58359.259 19.521 0.081 
58359.280 19.439 0.075 
58359.300 19.583 0.092 
58359.344 19.526 0.118 
58360.257 19.616 0.052 
58360.286 19.559 0.053 
58360.301 19.650 0.066 
58360.301 19.533 0.061 
58361.269 19.555 0.048 
58361.282 19.607 0.051 
58361.297 19.603 0.060 
58363.223 19.725 0.058 
58363.224 19.603 0.057 
58363.261 19.771 0.065 
58363.285 19.673 0.059 
58365.165 19.851 0.053 
58365.185 19.737 0.048 
58365.198 19.777 0.052 
58366.188 19.818 0.049 
58366.326 19.733 0.044 
58366.327 19.784 0.045 
58367.202 19.822 0.060 
58367.327 19.771 0.063 
58367.345 19.831 0.086 
58368.285 19.805 0.053 
58368.299 19.776 0.048 
58368.314 19.678 0.058 
58369.155 19.766 0.044 
58369.184 19.857 0.044 
58369.198 19.825 0.045 
58369.198 19.850 0.042 
58370.269 19.823 0.052 
58370.281 19.882 0.059 
58370.297 19.834 0.075 
58371.175 19.818 0.048 
58371.302 19.808 0.048 
58371.315 19.956 0.068 
58372.307 20.000 0.075 
58372.308 19.864 0.059 
58372.316 19.889 0.070 
58372.335 20.010 0.098 
58373.179 19.910 0.075 
58373.282 19.780 0.054 
58373.299 19.841 0.069 
58374.154 20.079 0.073 
58374.177 20.000 0.063 
58374.332 19.934 0.076 
58375.166 20.037 0.064 
58375.184 19.998 0.058 
58375.185 19.888 0.052 
58375.197 19.934 0.056 
58376.186 19.992 0.058 
58376.201 19.972 0.056 
58377.186 20.096 0.069 
58377.285 20.053 0.067 
58377.300 20.069 0.094 
58378.223 20.117 0.066 
58378.239 20.039 0.068 
58378.240 20.179 0.070 
58378.279 20.054 0.095 
58379.222 20.097 0.064 
58379.235 20.114 0.069 
58379.277 20.121 0.072 
58381.135 20.204 0.108 
58381.166 20.511 0.132 
58381.167 20.189 0.104 
58382.135 20.247 0.096 
58382.163 20.431 0.103 
58383.145 20.302 0.134 
58383.165 20.199 0.113 
58383.309 20.234 0.153 
58384.164 20.374 0.130 
58384.165 20.314 0.129 
58384.183 20.571 0.194 
58385.201 20.225 0.131 
58385.221 20.329 0.155 
58385.237 20.521 0.219 
58386.223 20.257 0.170 
58386.242 20.292 0.169 
58386.256 20.306 0.169 
58386.307 20.412 0.281 
58387.114 20.410 0.146 
58387.133 20.693 0.166 
58387.163 20.799 0.179 
58388.201 20.228 0.129 
58389.223 20.777 0.165 
58389.244 20.640 0.162 
58390.196 20.545 0.135 
58390.214 20.708 0.152 
58390.240 20.756 0.181 
58390.241 20.340 0.121 
58400.160 20.581 0.113 
58400.172 20.994 0.176 
filter ztfi
58338.160 19.771 0.108 
