ZTF18abmmkaz 0.0680671 273.827255 29.910744
filter ztfg
58346.329 18.532 0.018 
58349.192 18.231 0.018 
58349.219 18.187 0.018 
58349.229 18.181 0.018 
58350.269 18.107 0.015 
58350.302 18.120 0.018 
58350.316 18.154 0.017 
58351.233 18.125 0.022 
58351.270 18.104 0.023 
58351.274 18.088 0.022 
58352.171 18.084 0.028 
58352.207 18.096 0.025 
58352.208 18.052 0.021 
58360.164 18.201 0.011 
58361.152 18.277 0.012 
58361.168 18.323 0.014 
58361.196 18.217 0.010 
58362.205 18.372 0.021 
58362.223 18.298 0.019 
58362.224 18.324 0.016 
58362.233 18.345 0.019 
58363.152 18.432 0.019 
58363.169 18.433 0.022 
58363.207 18.392 0.017 
58364.204 18.438 0.014 
58364.228 18.510 0.013 
58364.234 18.427 0.013 
58365.225 18.543 0.013 
58365.226 18.500 0.013 
58365.246 18.487 0.013 
58365.267 18.475 0.014 
58366.195 18.587 0.017 
58366.225 18.609 0.015 
58366.233 18.560 0.013 
58367.228 18.691 0.020 
58367.233 18.684 0.019 
58367.253 18.680 0.020 
58368.205 18.745 0.016 
58368.206 18.753 0.016 
58368.212 18.762 0.016 
58368.248 18.797 0.020 
58369.215 18.826 0.017 
58369.233 18.761 0.017 
58369.262 18.778 0.020 
58370.172 18.912 0.019 
58370.192 18.949 0.019 
58370.212 18.912 0.020 
58371.193 19.020 0.022 
58371.194 18.940 0.020 
58371.211 19.021 0.020 
58371.248 19.044 0.024 
58372.194 19.088 0.023 
58372.226 19.124 0.023 
58372.233 19.085 0.025 
58373.193 19.217 0.030 
58373.211 19.235 0.029 
58373.249 19.227 0.040 
58374.206 19.332 0.035 
58374.207 19.245 0.030 
58374.228 19.277 0.036 
58374.248 19.262 0.030 
58375.226 19.326 0.028 
58375.234 19.339 0.037 
58375.290 19.368 0.044 
58376.213 19.476 0.036 
58376.249 19.457 0.041 
58377.227 19.442 0.041 
58377.228 19.464 0.049 
58377.234 19.398 0.040 
58377.261 19.490 0.048 
58378.166 19.638 0.047 
58378.187 19.602 0.048 
58378.194 19.700 0.051 
58379.150 19.629 0.053 
58379.170 19.589 0.051 
58379.189 19.674 0.054 
58380.118 19.889 0.081 
