ZTF18abpdcuf 0.04122775 16.427147 7.548732
filter ztfg
58298.482 19.345 0.193 
58307.462 17.236 0.009 
58312.478 16.958 0.006 
58321.443 17.155 0.006 
58324.440 17.374 0.015 
58334.477 18.232 0.035 
58348.385 19.295 0.100 
58349.411 19.429 0.107 
58351.454 19.303 0.085 
58351.454 19.577 0.113 
58352.415 20.010 0.192 
58363.375 19.787 0.164 
58364.447 20.163 0.202 
58365.421 19.923 0.094 
58370.374 20.150 0.088 
58372.414 20.271 0.184 
58373.396 20.067 0.092 
filter ztfr
58312.444 17.133 0.009 
58321.483 17.205 0.008 
58324.462 17.468 0.013 
58335.475 17.920 0.020 
58335.476 17.960 0.014 
58335.478 17.958 0.013 
58336.435 17.963 0.013 
58336.453 17.999 0.018 
58336.454 17.989 0.011 
58338.477 17.998 0.017 
58348.404 18.356 0.024 
58348.411 18.305 0.022 
58349.463 18.349 0.023 
58350.410 18.422 0.030 
58351.391 18.479 0.029 
58351.391 18.518 0.031 
58353.351 18.580 0.027 
58353.419 18.453 0.087 
58353.479 18.487 0.057 
58354.347 18.702 0.063 
58354.348 18.732 0.064 
58354.373 18.695 0.033 
58354.465 18.788 0.058 
58354.467 18.699 0.060 
58355.477 18.465 0.104 
58356.354 18.779 0.052 
58356.419 18.831 0.083 
58356.474 19.000 0.131 
58357.383 18.861 0.060 
58362.411 19.058 0.036 
58363.442 19.128 0.038 
58364.388 19.205 0.038 
58372.375 19.570 0.065 
58378.411 19.537 0.201 
58379.393 19.600 0.277 
filter ztfi
58362.294 19.014 0.081 
