ZTF18abrzeym 0.05251967 264.112724 22.490543
filter ztfg
58360.166 20.479 0.098 
58361.150 20.050 0.069 
58361.151 19.959 0.067 
58361.186 19.905 0.062 
58361.192 19.836 0.051 
58362.206 19.628 0.063 
58362.212 19.652 0.070 
58363.151 19.530 0.052 
58363.183 19.466 0.047 
58363.206 19.390 0.038 
58364.205 19.249 0.030 
58364.206 19.216 0.026 
58364.213 19.200 0.028 
58364.235 19.251 0.030 
58365.213 19.109 0.029 
58365.231 19.061 0.023 
58365.254 19.059 0.026 
58366.197 18.931 0.018 
58366.211 18.957 0.020 
58366.233 18.994 0.022 
58367.214 18.877 0.023 
58367.248 18.929 0.036 
58367.249 18.795 0.022 
58367.254 18.913 0.030 
58368.191 18.765 0.019 
58368.228 18.762 0.019 
58368.232 18.806 0.018 
58369.216 18.786 0.019 
58369.247 18.734 0.022 
58369.252 18.745 0.021 
58370.188 18.678 0.018 
58370.193 18.691 0.019 
58370.213 18.686 0.021 
58371.206 18.621 0.016 
58371.228 18.620 0.019 
58371.231 18.604 0.017 
58372.211 18.604 0.018 
58372.234 18.660 0.023 
58373.207 18.683 0.023 
58373.208 18.597 0.023 
58373.213 18.606 0.019 
58373.232 18.571 0.022 
58374.191 18.597 0.018 
58374.213 18.683 0.019 
58374.247 18.608 0.023 
58375.225 18.685 0.023 
58375.236 18.571 0.021 
58376.228 18.634 0.021 
58376.229 18.590 0.020 
58376.241 18.618 0.023 
58377.208 18.686 0.026 
58377.212 18.714 0.025 
58377.249 18.665 0.028 
58378.149 18.733 0.022 
58378.171 18.641 0.021 
58378.209 18.705 0.026 
58379.148 18.732 0.030 
58379.164 18.712 0.024 
58379.184 18.642 0.024 
58379.200 18.735 0.028 
58380.116 18.811 0.038 
58380.172 18.738 0.031 
58381.170 18.897 0.045 
58381.208 18.950 0.055 
58381.209 19.010 0.055 
58382.186 18.842 0.038 
58382.206 18.933 0.059 
58382.222 18.836 0.057 
58383.171 19.065 0.052 
58383.185 19.021 0.058 
58383.207 19.068 0.065 
58383.211 19.127 0.085 
58384.213 19.120 0.072 
58384.236 19.083 0.099 
58384.265 19.005 0.137 
58385.113 19.133 0.050 
58385.130 19.130 0.064 
58385.166 18.885 0.075 
58386.112 19.219 0.076 
58386.112 19.088 0.056 
58386.143 19.093 0.058 
58386.149 19.184 0.067 
58387.186 19.303 0.101 
58387.191 19.297 0.109 
58387.228 19.527 0.164 
58388.111 19.417 0.042 
58388.144 19.404 0.066 
58388.150 19.387 0.072 
58389.129 19.478 0.034 
58389.130 19.465 0.040 
58389.162 19.592 0.059 
58389.172 19.564 0.068 
58390.125 19.535 0.035 
58390.131 19.623 0.038 
58400.126 20.185 0.068 
58431.094 20.572 0.280 
filter ztfr
58353.167 14.153 0.259 
58353.191 21.187 0.281 
58356.227 20.762 0.253 
58356.249 20.649 0.259 
58358.208 20.372 0.196 
58359.209 20.422 0.156 
58359.227 20.135 0.117 
58359.270 20.292 0.159 
58359.271 20.103 0.148 
58360.219 19.865 0.093 
58360.234 19.846 0.092 
58360.270 19.766 0.095 
58360.270 20.061 0.144 
58361.135 19.876 0.110 
58361.137 19.672 0.058 
58361.138 19.761 0.062 
58361.256 19.894 0.103 
58361.256 19.596 0.067 
58362.134 19.442 0.061 
58362.135 19.385 0.048 
58362.150 19.490 0.052 
58362.152 19.447 0.037 
58362.169 19.507 0.051 
58362.170 19.583 0.053 
58362.171 19.448 0.040 
58363.214 19.192 0.072 
58363.217 19.054 0.038 
58363.237 19.379 0.064 
58363.237 19.190 0.044 
58363.254 19.630 0.130 
58363.255 19.273 0.069 
58364.133 19.103 0.075 
58364.133 18.991 0.058 
58364.161 18.997 0.027 
58364.162 18.969 0.026 
58364.163 19.136 0.038 
58364.169 19.131 0.034 
58364.170 18.968 0.025 
58365.131 18.850 0.041 
58365.132 18.828 0.037 
58365.150 18.875 0.028 
58365.151 18.794 0.020 
58365.172 18.888 0.033 
58365.173 18.872 0.031 
58365.174 18.890 0.024 
58367.165 18.646 0.021 
58367.166 18.654 0.024 
58367.167 18.765 0.037 
58367.171 18.668 0.030 
58367.172 18.656 0.021 
58368.129 18.619 0.029 
58368.130 18.552 0.021 
58368.147 18.617 0.026 
58368.148 18.599 0.020 
58368.166 18.607 0.026 
58368.172 18.514 0.021 
58369.144 18.508 0.017 
58369.144 18.528 0.021 
58369.164 18.511 0.017 
58369.165 18.535 0.021 
58369.170 18.498 0.022 
58369.173 18.551 0.017 
58370.151 18.496 0.019 
58370.167 18.475 0.019 
58370.264 18.601 0.035 
58370.264 18.600 0.039 
58371.128 18.424 0.024 
58371.133 18.377 0.015 
58371.148 18.481 0.021 
58371.149 18.352 0.013 
58371.165 18.438 0.020 
58371.188 18.386 0.016 
58372.129 18.396 0.021 
58372.131 18.375 0.014 
58372.164 18.380 0.016 
58372.165 18.418 0.020 
58373.143 18.363 0.017 
58373.143 18.412 0.021 
58373.149 18.358 0.016 
58373.166 18.371 0.018 
58373.188 18.377 0.020 
58374.127 18.352 0.020 
58374.146 18.358 0.015 
58374.147 18.297 0.014 
58374.164 18.432 0.022 
58374.165 18.480 0.023 
58374.188 18.337 0.017 
58375.160 18.433 0.023 
58375.171 18.386 0.021 
58375.172 18.324 0.016 
58375.205 18.366 0.018 
58375.205 18.365 0.020 
58376.161 18.319 0.017 
58376.173 18.291 0.017 
58376.192 18.394 0.018 
58377.126 18.412 0.024 
58377.127 18.392 0.020 
58377.146 18.494 0.026 
58377.149 18.332 0.020 
58377.167 18.381 0.024 
58377.170 18.417 0.023 
58377.171 18.282 0.019 
58378.145 18.451 0.019 
58378.146 18.475 0.023 
58378.212 18.365 0.025 
58378.213 18.416 0.022 
58378.245 18.439 0.033 
58379.214 18.464 0.027 
58379.214 18.431 0.021 
58379.242 18.391 0.026 
58379.243 18.464 0.036 
58379.244 18.357 0.026 
58379.254 18.487 0.033 
58379.254 18.409 0.026 
58381.127 18.494 0.030 
58381.149 18.582 0.032 
58381.150 18.534 0.025 
58382.113 18.599 0.028 
58382.149 18.647 0.026 
58383.112 18.876 0.053 
58383.113 18.572 0.035 
58383.128 18.722 0.042 
58383.130 18.666 0.033 
58383.150 18.738 0.045 
58383.151 18.661 0.035 
58384.137 18.718 0.040 
58384.149 18.782 0.045 
58384.151 18.744 0.034 
58384.172 18.743 0.037 
58385.187 18.818 0.049 
58385.188 18.735 0.051 
58385.190 18.811 0.065 
58385.190 18.810 0.053 
58385.209 18.789 0.062 
58385.210 18.818 0.045 
58386.193 18.886 0.072 
58386.194 18.862 0.060 
58386.194 18.882 0.061 
58386.195 18.824 0.052 
58386.211 18.965 0.099 
58386.211 19.153 0.094 
58386.232 18.947 0.114 
58386.233 18.997 0.089 
58387.110 18.997 0.040 
58387.145 18.882 0.040 
58387.146 18.983 0.051 
58387.150 18.921 0.055 
58387.152 19.021 0.057 
58388.171 19.068 0.070 
58388.172 18.951 0.047 
58388.190 19.032 0.070 
58388.192 18.930 0.060 
58388.222 19.192 0.109 
58388.223 19.046 0.078 
58389.112 19.069 0.040 
58389.125 18.979 0.035 
58389.213 19.040 0.060 
