ZTF18abtfrbf 0.0569 7.602657 -1.26414
filter ztfg
58364.400 20.437 0.154 
58364.417 20.332 0.150 
58365.412 19.862 0.070 
58367.398 19.104 0.028 
58367.399 19.207 0.034 
58368.384 18.974 0.026 
58369.327 18.723 0.023 
58370.393 18.563 0.020 
58370.395 18.522 0.019 
58371.359 18.458 0.017 
58372.403 18.332 0.016 
58373.394 18.228 0.014 
58373.395 18.238 0.015 
58374.413 18.168 0.013 
58375.424 18.160 0.014 
58376.329 18.134 0.012 
58376.331 18.106 0.012 
58377.359 18.147 0.014 
58378.338 18.169 0.015 
58379.358 18.214 0.015 
58379.359 18.212 0.015 
58380.359 18.227 0.014 
58382.395 18.314 0.027 
58382.395 18.321 0.027 
58383.421 18.378 0.045 
58384.326 18.677 0.086 
58384.337 18.524 0.080 
58388.342 18.870 0.080 
58388.357 18.851 0.075 
58388.370 18.822 0.075 
58389.340 18.895 0.055 
58389.395 18.926 0.065 
58390.338 19.033 0.056 
58390.350 19.242 0.051 
58397.340 19.815 0.055 
58397.342 19.940 0.058 
58436.215 20.798 0.269 
filter ztfr
58363.456 20.573 0.167 
58364.356 20.251 0.091 
58364.364 20.543 0.121 
58365.357 19.845 0.065 
58366.372 19.525 0.049 
58367.373 19.242 0.037 
58367.374 19.268 0.039 
58368.348 19.034 0.028 
58369.415 18.862 0.029 
58370.399 18.658 0.025 
58370.400 18.723 0.024 
58371.401 18.534 0.018 
58372.358 18.429 0.021 
58373.329 18.380 0.019 
58373.331 18.388 0.018 
58374.339 18.290 0.017 
58375.356 18.327 0.018 
58376.356 18.263 0.015 
58376.357 18.189 0.016 
58377.416 18.319 0.018 
58378.383 18.163 0.013 
58379.392 18.235 0.014 
58379.396 18.159 0.013 
58380.315 18.283 0.022 
58382.331 18.318 0.025 
58382.332 18.329 0.027 
58383.337 18.360 0.031 
58388.290 18.738 0.056 
58388.291 18.945 0.072 
58389.308 18.775 0.040 
58389.331 18.750 0.037 
58390.264 18.912 0.046 
58397.288 19.036 0.029 
58397.289 19.027 0.029 
58426.253 20.504 0.132 
58426.254 20.389 0.113 
58428.232 20.683 0.140 
58429.261 20.718 0.140 
58429.262 20.611 0.124 
58430.206 20.571 0.134 
58434.189 20.532 0.259 
58435.270 20.397 0.228 
58435.270 20.315 0.230 
58443.137 20.754 0.310 
filter ztfi
58390.273 19.759 0.157 
58397.326 19.626 0.077 
