ZTF18abujnlz 0.02862 129.544537 24.890762
filter ztfg
58378.493 18.909 0.044 
58383.493 18.859 0.033 
58387.531 18.934 0.109 
58390.496 19.252 0.091 
58424.498 19.679 0.056 
58427.415 19.509 0.125 
58427.415 19.508 0.106 
58427.507 19.590 0.064 
58430.383 19.724 0.069 
58430.506 19.752 0.044 
58434.520 19.912 0.108 
58438.459 19.738 0.064 
58439.449 19.935 0.064 
58439.450 19.877 0.061 
58443.525 19.898 0.056 
filter ztfr
58369.522 17.575 0.036 
58372.516 17.786 0.024 
58375.514 17.894 0.020 
58378.509 18.007 0.020 
58383.527 18.176 0.032 
58387.483 18.478 0.060 
58390.502 18.543 0.038 
58424.541 19.472 0.062 
58427.483 19.652 0.077 
58430.463 19.722 0.058 
58432.391 19.797 0.092 
58432.392 19.607 0.072 
58434.477 19.616 0.107 
58439.353 19.917 0.092 
58439.354 19.857 0.099 
58440.506 20.024 0.079 
58441.383 19.928 0.105 
58441.383 19.862 0.100 
58442.349 19.882 0.225 
58443.395 20.024 0.124 
58443.396 19.796 0.098 
58443.441 20.074 0.127 
