ZTF18abukmty 0.09862513 321.526512 24.045804
filter ztfg
58366.254 21.476 0.142 
58368.270 21.040 0.109 
58368.363 21.183 0.144 
58369.278 20.664 0.076 
58369.295 20.945 0.099 
58369.314 20.739 0.092 
58370.231 20.577 0.092 
58370.232 20.679 0.089 
58371.251 20.330 0.061 
58371.253 20.150 0.048 
58371.340 20.138 0.048 
58372.255 20.061 0.055 
58372.275 19.945 0.048 
58373.254 19.938 0.054 
58373.255 19.888 0.049 
58373.365 19.971 0.056 
58374.230 19.823 0.041 
58374.268 19.653 0.038 
58374.287 19.699 0.042 
58375.286 19.587 0.035 
58375.295 19.586 0.034 
58376.288 19.491 0.028 
58376.289 19.648 0.036 
58376.297 19.531 0.031 
58376.314 19.497 0.033 
58377.231 19.428 0.031 
58377.256 19.422 0.030 
58377.343 19.438 0.034 
58378.300 19.334 0.027 
58378.320 19.366 0.027 
58378.342 19.414 0.036 
58379.329 19.358 0.037 
58379.329 19.362 0.037 
58379.339 19.436 0.042 
58379.364 19.330 0.039 
58380.340 19.332 0.036 
58380.367 19.333 0.035 
58381.229 19.372 0.062 
58381.231 19.475 0.073 
58382.210 19.349 0.063 
58382.234 19.375 0.066 
58382.261 19.282 0.057 
58382.262 19.194 0.051 
58382.264 19.228 0.071 
58383.229 19.212 0.072 
58383.232 19.468 0.093 
58383.256 19.317 0.079 
58384.252 19.132 0.070 
58384.271 19.240 0.087 
58384.296 19.378 0.089 
58384.331 19.575 0.144 
58385.340 19.173 0.103 
58385.352 19.500 0.133 
58385.356 19.444 0.145 
58385.387 19.551 0.207 
58386.127 19.610 0.115 
58386.180 19.335 0.079 
58387.212 19.489 0.093 
58387.239 19.440 0.090 
58387.251 19.438 0.086 
58387.261 19.506 0.098 
58388.128 19.519 0.041 
58388.129 19.477 0.041 
58388.165 19.578 0.080 
58388.298 19.529 0.080 
58389.147 19.607 0.038 
58389.207 19.562 0.057 
58390.408 19.834 0.181 
58400.143 20.254 0.056 
58400.257 20.324 0.069 
58400.271 20.317 0.068 
58400.274 20.193 0.056 
filter ztfr
58368.296 20.847 0.111 
58368.313 21.116 0.139 
58369.190 20.536 0.095 
58370.252 20.572 0.115 
58370.274 20.630 0.099 
58370.275 20.495 0.108 
58370.294 20.344 0.084 
58371.172 20.246 0.076 
58371.297 20.256 0.076 
58371.313 20.314 0.073 
58372.302 20.047 0.063 
58372.314 20.043 0.062 
58372.334 19.865 0.058 
58373.274 19.897 0.050 
58373.275 19.837 0.057 
58373.297 19.854 0.049 
58373.314 19.872 0.059 
58374.345 19.666 0.052 
58374.356 19.659 0.048 
58375.190 19.520 0.039 
58375.344 19.608 0.046 
58376.207 19.449 0.034 
58376.208 19.569 0.042 
58376.343 19.494 0.036 
58377.188 19.424 0.036 
58377.277 19.448 0.037 
58377.297 19.445 0.035 
58378.232 19.317 0.035 
58378.253 19.291 0.031 
58378.276 19.405 0.039 
58379.251 19.390 0.037 
58379.273 19.332 0.032 
58379.287 19.342 0.040 
58379.296 19.412 0.041 
58379.308 19.453 0.046 
58380.273 19.296 0.041 
58380.285 19.424 0.043 
58380.296 19.271 0.036 
58382.167 19.140 0.045 
58382.302 19.299 0.067 
58382.303 19.303 0.057 
58382.321 19.277 0.051 
58383.300 19.264 0.053 
58383.314 19.137 0.052 
58383.340 19.281 0.072 
58384.190 19.253 0.067 
58385.230 19.313 0.070 
58385.233 19.444 0.071 
58385.234 19.286 0.068 
58385.271 19.298 0.071 
58386.246 19.452 0.097 
58386.250 19.183 0.070 
58386.253 19.425 0.077 
58386.279 19.377 0.083 
58387.128 19.404 0.068 
58387.167 19.264 0.050 
58388.228 19.313 0.057 
58388.235 19.468 0.064 
58388.236 19.259 0.052 
58388.251 19.345 0.051 
58389.233 19.441 0.051 
58389.259 19.357 0.043 
58389.272 19.478 0.057 
58389.282 19.304 0.046 
58390.169 19.347 0.034 
58390.189 19.433 0.038 
58390.229 19.340 0.040 
58400.186 20.007 0.061 
58400.187 20.042 0.059 
58400.206 19.988 0.060 
58400.210 20.004 0.062 
58423.127 20.633 0.187 
58423.128 20.396 0.126 
58425.109 20.711 0.160 
58429.085 20.937 0.126 
58429.130 20.944 0.128 
58429.131 20.869 0.119 
58430.085 20.763 0.124 
58430.175 20.923 0.163 
58430.191 20.944 0.178 
filter ztfi
58370.331 20.340 0.144 
58374.309 19.701 0.115 
58378.361 19.775 0.087 
58387.298 19.367 0.121 
