ZTF18abvglon 0.04765382 153.584307 56.321252
filter ztfg
58385.491 19.437 0.186 
58397.486 19.890 0.069 
58422.475 20.423 0.223 
58422.476 19.903 0.153 
58423.467 19.997 0.128 
58423.470 20.432 0.190 
58425.513 20.289 0.147 
58425.533 20.437 0.137 
58426.466 20.472 0.150 
58426.485 20.511 0.113 
58426.486 20.387 0.103 
58427.532 20.237 0.077 
58428.534 20.278 0.071 
58429.452 20.385 0.142 
58429.467 20.249 0.059 
58429.467 20.508 0.077 
58430.411 20.493 0.096 
58430.512 20.323 0.068 
58430.518 20.288 0.077 
58431.491 20.816 0.230 
58431.492 20.445 0.142 
58431.495 20.553 0.174 
58432.455 20.476 0.115 
58432.465 20.377 0.100 
58432.466 20.484 0.134 
58434.514 20.680 0.210 
58434.533 20.390 0.146 
58434.534 20.449 0.135 
58437.494 20.542 0.149 
58437.495 20.569 0.150 
58437.497 20.466 0.121 
58438.468 20.738 0.135 
58438.469 20.310 0.073 
58439.479 20.747 0.143 
58440.453 20.315 0.073 
58440.465 20.530 0.088 
58440.466 20.178 0.078 
58441.491 20.620 0.108 
58441.511 20.291 0.111 
58443.516 20.186 0.093 
58443.517 20.579 0.130 
58443.532 20.413 0.075 
58443.534 20.488 0.087 
filter ztfr
58372.522 17.986 0.050 
58375.522 18.002 0.032 
58378.510 18.041 0.020 
58382.529 18.114 0.042 
58385.528 18.257 0.055 
58388.530 18.471 0.057 
58389.529 18.480 0.044 
58397.525 18.911 0.033 
58397.527 18.882 0.030 
58422.532 19.475 0.071 
58422.533 19.688 0.083 
58423.513 19.747 0.095 
58423.528 19.609 0.086 
58423.529 19.662 0.089 
58424.531 19.761 0.106 
58425.471 19.787 0.110 
58425.473 19.827 0.120 
58425.492 19.954 0.119 
58426.527 19.933 0.077 
58426.528 19.872 0.074 
58427.472 19.928 0.110 
58427.488 19.634 0.117 
58428.506 19.795 0.062 
58429.509 19.810 0.055 
58429.513 19.906 0.055 
58430.489 19.856 0.069 
58430.490 19.860 0.063 
58431.530 19.795 0.120 
58431.530 19.962 0.154 
58431.533 20.012 0.157 
58432.530 19.898 0.074 
58432.530 20.046 0.086 
58432.531 20.092 0.091 
58434.471 20.149 0.192 
58434.472 19.916 0.158 
58437.529 20.216 0.105 
58437.530 20.070 0.088 
58438.532 20.187 0.085 
58439.367 20.046 0.100 
58440.511 20.209 0.082 
58440.511 20.135 0.084 
58440.556 20.178 0.093 
58440.557 20.377 0.114 
58441.530 20.207 0.143 
58443.447 20.230 0.132 
58443.448 20.077 0.112 
58443.449 20.229 0.136 
58443.450 20.388 0.140 
58447.445 20.257 0.172 
58447.528 20.078 0.180 
58447.533 20.131 0.179 
