ZTF18abwnsoc 0.09799749 280.856715 72.123872
filter ztfg
58374.233 21.317 0.198 
58375.297 21.047 0.150 
58376.221 20.601 0.106 
58376.236 21.203 0.190 
58377.222 20.405 0.115 
58377.239 20.477 0.107 
58377.266 20.224 0.092 
58378.179 20.231 0.091 
58378.180 20.130 0.078 
58378.307 20.312 0.100 
58378.323 20.141 0.074 
58379.155 19.980 0.091 
58379.175 19.856 0.081 
58379.324 19.856 0.078 
58380.343 19.670 0.089 
58381.199 19.503 0.071 
58381.217 19.283 0.081 
58381.218 19.386 0.065 
58381.234 19.636 0.090 
58382.182 19.273 0.061 
58382.199 19.357 0.075 
58382.238 19.578 0.088 
58383.199 19.410 0.075 
58383.219 19.329 0.082 
58383.237 19.119 0.069 
58384.247 19.120 0.075 
58384.257 19.092 0.075 
58384.258 19.108 0.083 
58384.274 19.239 0.080 
58385.125 19.171 0.080 
58385.143 19.082 0.073 
58385.152 19.239 0.090 
58386.131 19.038 0.063 
58386.161 19.085 0.068 
58386.174 19.213 0.085 
58387.197 19.093 0.074 
58387.216 19.200 0.083 
58387.217 18.995 0.065 
58387.235 18.984 0.081 
58388.163 19.068 0.061 
58388.300 19.099 0.075 
58388.319 18.987 0.071 
58389.137 19.107 0.031 
58389.184 18.963 0.042 
58389.199 19.087 0.065 
58390.114 19.067 0.029 
58390.144 19.075 0.024 
58397.111 19.276 0.033 
58400.124 19.405 0.033 
58400.138 19.525 0.036 
58400.267 19.424 0.038 
58431.086 20.681 0.272 
filter ztfr
58375.184 21.105 0.183 
58376.186 20.807 0.154 
58376.201 20.862 0.163 
58377.186 20.410 0.111 
58377.285 20.395 0.125 
58377.300 20.431 0.123 
58378.223 20.294 0.092 
58378.239 20.179 0.096 
58378.240 20.353 0.112 
58378.279 20.200 0.098 
58379.222 19.959 0.077 
58379.235 19.771 0.062 
58379.277 20.028 0.074 
58381.135 19.654 0.070 
58381.166 19.703 0.072 
58381.167 19.605 0.069 
58382.135 19.544 0.067 
58382.163 19.516 0.058 
58383.145 19.428 0.073 
58383.165 19.476 0.075 
58383.309 19.333 0.070 
58384.164 19.228 0.060 
58384.165 19.172 0.055 
58384.183 19.354 0.069 
58385.201 19.307 0.068 
58385.221 19.334 0.070 
58385.237 19.107 0.058 
58386.223 19.199 0.068 
58386.242 19.213 0.070 
58386.256 19.142 0.070 
58386.307 19.425 0.108 
58387.114 19.263 0.061 
58387.133 19.093 0.044 
58387.162 19.192 0.052 
58387.163 19.160 0.053 
58388.201 19.171 0.058 
58388.214 19.042 0.063 
58388.238 19.082 0.061 
58389.223 19.100 0.048 
58389.244 18.933 0.037 
58389.255 19.060 0.045 
58390.196 19.010 0.036 
58390.214 18.997 0.036 
58390.240 19.061 0.040 
58390.241 19.127 0.048 
58400.160 19.272 0.037 
58400.172 19.294 0.038 
58400.212 19.322 0.040 
58423.133 20.373 0.192 
58428.079 20.246 0.172 
58428.090 20.619 0.176 
58429.136 20.595 0.145 
58430.102 20.449 0.117 
58430.183 20.449 0.189 
58432.103 20.606 0.253 
58433.113 20.479 0.188 
58435.102 20.416 0.256 
58443.119 20.709 0.277 
filter ztfi
58379.131 20.165 0.135 
58387.300 19.564 0.143 
58400.244 20.404 0.178 
