ZTF18abzsflf 0.09372266 353.73217 22.02584
filter ztfg
58382.409 20.854 0.209 
58383.278 20.670 0.261 
58384.296 20.252 0.205 
58385.355 19.994 0.215 
58385.370 19.758 0.181 
58386.471 19.183 0.219 
58387.287 19.503 0.120 
58388.359 19.207 0.079 
58388.368 19.432 0.101 
58389.353 19.176 0.056 
58390.308 19.061 0.051 
58423.219 20.264 0.081 
58426.222 20.587 0.169 
58428.185 20.906 0.127 
58428.186 20.770 0.121 
58429.215 20.666 0.098 
58430.164 20.857 0.122 
58431.216 21.130 0.265 
58431.217 20.952 0.248 
58435.213 20.979 0.205 
58436.213 20.855 0.239 
filter ztfr
58382.295 21.229 0.271 
58385.242 19.894 0.180 
58385.243 20.482 0.277 
58386.293 19.789 0.156 
58387.432 19.374 0.164 
58388.268 19.433 0.075 
58388.269 19.329 0.064 
58389.296 19.375 0.062 
58390.247 19.238 0.045 
58400.222 18.875 0.023 
58400.223 18.823 0.020 
58425.213 19.687 0.086 
58425.214 19.770 0.113 
58426.242 19.749 0.145 
58430.207 19.912 0.055 
58431.184 19.863 0.131 
58431.185 19.927 0.129 
58434.170 20.240 0.140 
58434.171 20.132 0.126 
58435.258 20.304 0.233 
58437.265 20.372 0.250 
58457.154 20.681 0.263 
filter ztfi
58387.319 19.782 0.173 
58426.283 19.871 0.227 
