ZTF18acaexmi 0.05057 318.8095 2.192204
filter ztfg
58336.281 18.483 0.058 
58336.281 18.386 0.051 
58338.374 18.063 0.056 
58346.315 17.673 0.046 
58349.362 17.877 0.046 
58352.337 18.053 0.073 
58361.229 19.167 0.134 
58364.252 19.432 0.124 
58367.274 19.420 0.088 
58376.286 17.041 0.074 
filter ztfr
58338.325 18.313 0.091 
58342.322 17.945 0.068 
58346.307 17.828 0.078 
58349.294 17.837 0.060 
58352.295 18.012 0.091 
58355.274 18.152 0.120 
58355.423 18.336 0.196 
58358.251 18.461 0.128 
58361.272 18.541 0.113 
58364.293 18.485 0.116 
58367.318 18.446 0.084 
58370.273 18.735 0.134 
58373.273 18.639 0.092 
58376.189 18.561 0.129 
58379.272 19.429 0.301 
filter ztfi
58344.319 18.425 0.181 
58348.170 17.866 0.158 
58370.333 19.042 0.246 
58374.312 18.922 0.205 
58378.363 19.265 0.284 
