ZTF18acbwchi 0.09016352 100.917101 32.322235
filter ztfg
58422.464 19.260 0.056 
58423.456 19.054 0.046 
58423.457 19.167 0.051 
58425.410 18.999 0.032 
58428.341 18.937 0.026 
58430.350 18.854 0.017 
58430.351 18.948 0.024 
58431.430 18.946 0.040 
58434.402 19.089 0.037 
58437.453 19.121 0.035 
58437.459 19.250 0.038 
58438.417 19.103 0.027 
58439.426 19.244 0.025 
58443.276 19.730 0.107 
58443.526 19.505 0.045 
58468.409 21.087 0.153 
58468.409 21.455 0.214 
58488.244 22.046 0.275 
filter ztfr
58422.507 19.204 0.053 
58424.453 19.092 0.013 
58425.448 19.020 0.025 
58428.452 18.907 0.012 
58429.362 18.883 0.097 
58429.363 18.900 0.021 
58431.393 19.005 0.057 
58432.344 18.850 0.186 
58432.344 18.951 0.049 
58434.440 19.074 0.067 
58436.326 19.083 0.227 
58436.326 18.986 0.054 
58437.381 19.087 0.039 
58439.296 19.036 0.045 
58439.297 19.094 0.171 
58441.331 19.295 0.063 
58441.332 19.226 0.213 
58443.365 19.271 0.046 
58443.365 19.299 0.203 
58443.405 19.324 0.050 
58449.397 19.788 0.143 
58455.344 19.707 0.118 
58455.494 19.867 0.110 
58461.513 19.754 0.087 
58464.308 19.862 0.064 
58465.348 19.978 0.036 
58471.288 20.242 0.158 
58471.455 20.316 0.089 
58480.321 20.754 0.179 
58486.443 20.819 0.268 
58494.266 21.076 0.073 
