ZTF18aceexmi 0.08 115.867286 15.552942
filter ztfg
58427.409 20.097 0.225 
58429.454 19.721 0.040 
58430.372 19.571 0.037 
58430.382 19.540 0.042 
58432.445 19.280 0.035 
58437.478 18.910 0.033 
58437.479 18.985 0.030 
58438.424 18.974 0.029 
58438.425 19.064 0.032 
58438.443 18.986 0.023 
58439.428 18.987 0.023 
58439.428 19.017 0.025 
58441.478 19.082 0.023 
58443.327 19.095 0.062 
58443.327 19.074 0.068 
58464.317 20.643 0.138 
filter ztfr
58424.489 20.953 0.093 
58426.432 20.421 0.124 
58428.488 19.876 0.040 
58429.389 19.654 0.053 
58429.396 19.758 0.077 
58429.506 19.600 0.053 
58432.368 19.535 0.066 
58432.368 19.441 0.067 
58432.507 19.291 0.056 
58435.396 19.065 0.080 
58435.518 18.998 0.084 
58438.519 18.963 0.031 
58439.343 18.958 0.040 
58439.343 18.871 0.042 
58441.375 18.824 0.051 
58441.375 18.860 0.043 
58441.436 18.962 0.040 
58443.394 18.725 0.034 
58447.417 18.982 0.096 
58450.393 19.079 0.058 
58455.453 19.419 0.060 
58455.497 19.366 0.060 
58461.384 19.599 0.038 
58461.508 19.497 0.098 
58464.296 19.682 0.089 
58465.384 19.606 0.034 
58465.391 19.583 0.069 
58471.277 19.691 0.117 
58471.492 19.816 0.044 
58474.335 20.252 0.252 
58481.427 20.842 0.218 
58481.431 20.354 0.140 
58486.452 20.794 0.253 
58493.275 20.870 0.186 
58494.303 20.861 0.088 
58494.310 20.887 0.176 
