ZTF18acefxko 0.05916334 129.190089 13.470409
filter ztfg
58430.408 19.101 0.034 
58431.476 18.903 0.044 
58434.521 18.361 0.025 
58437.482 18.106 0.020 
58439.451 17.964 0.015 
58443.502 18.000 0.020 
58468.435 20.018 0.070 
58472.468 20.269 0.193 
filter ztfr
58428.521 19.668 0.063 
58431.523 18.837 0.045 
58434.500 18.436 0.043 
58440.503 18.137 0.015 
58443.460 18.031 0.017 
58447.479 18.232 0.031 
58447.521 18.169 0.031 
58448.465 18.249 0.052 
58455.455 18.716 0.030 
58455.500 18.689 0.032 
58461.505 18.850 0.042 
58465.485 18.906 0.033 
58468.478 18.974 0.029 
58472.407 19.149 0.054 
58472.427 19.049 0.044 
58480.422 19.716 0.100 
58481.423 19.816 0.082 
58486.454 19.834 0.102 
