ZTF18acqqyah 0.01727 171.838418 59.630087
filter ztfg
58450.468 15.943 0.004 
58450.469 15.967 0.003 
58461.470 15.308 0.005 
58464.489 15.465 0.003 
58464.490 15.440 0.003 
58465.541 15.502 0.003 
58468.450 15.675 0.003 
58472.513 16.041 0.003 
58472.514 16.024 0.003 
58480.494 16.822 0.007 
58482.498 17.002 0.009 
58486.546 17.441 0.011 
58486.546 17.430 0.009 
58487.479 17.415 0.010 
58487.492 17.495 0.008 
58491.465 17.745 0.014 
58491.469 17.757 0.014 
58492.518 17.762 0.013 
58493.532 17.814 0.008 
58494.487 17.889 0.010 
58494.489 17.889 0.010 
58503.554 18.178 0.057 
58505.476 18.194 0.053 
58505.477 18.331 0.060 
58506.494 18.180 0.064 
58507.478 18.172 0.040 
58508.534 18.303 0.039 
58508.535 18.228 0.035 
58509.511 18.228 0.042 
58511.429 18.405 0.023 
58511.430 18.311 0.019 
58513.390 18.285 0.017 
58522.424 18.460 0.020 
58524.428 18.586 0.028 
58524.430 18.616 0.031 
58526.429 18.542 0.039 
58534.278 18.670 0.092 
58534.279 18.573 0.099 
filter ztfr
58448.491 16.500 0.009 
58448.552 16.484 0.007 
58449.504 16.233 0.005 
58450.529 16.040 0.004 
58450.530 15.997 0.004 
58455.459 15.534 0.004 
58465.511 15.689 0.003 
58468.512 15.881 0.003 
58472.447 16.153 0.005 
58472.449 16.141 0.004 
58474.343 16.244 0.007 
58476.450 16.274 0.004 
58480.446 16.345 0.005 
58481.466 16.328 0.004 
58486.494 16.516 0.004 
58486.495 16.503 0.005 
58487.539 16.574 0.004 
58493.461 16.945 0.004 
58493.514 17.009 0.007 
58502.512 17.410 0.016 
58502.513 17.392 0.014 
58503.489 17.503 0.035 
58505.532 17.521 0.031 
58505.533 17.608 0.029 
58506.557 17.562 0.037 
58508.484 17.679 0.021 
58508.485 17.633 0.019 
58509.465 17.682 0.019 
58509.485 17.720 0.024 
58514.408 17.817 0.014 
58524.447 18.206 0.018 
58524.448 18.213 0.016 
58534.362 18.588 0.075 
58534.364 18.508 0.064 
