ZTF18acrdmmw 0.04983 171.86356 33.617341
filter ztfg
58450.504 18.357 0.028 
58450.505 18.369 0.027 
58461.474 17.263 0.009 
58464.505 17.288 0.005 
58464.506 17.290 0.005 
58468.457 17.498 0.008 
58469.516 17.512 0.008 
58472.517 17.691 0.010 
58480.496 18.296 0.027 
58482.542 18.586 0.024 
58486.524 18.922 0.024 
58487.477 19.014 0.026 
58491.473 19.373 0.052 
58494.476 19.512 0.042 
58502.457 19.809 0.159 
58507.507 20.084 0.270 
58511.459 20.279 0.103 
58522.417 20.128 0.091 
58522.457 20.440 0.116 
58526.424 20.186 0.169 
filter ztfr
58448.547 19.221 0.061 
58449.528 18.881 0.042 
58455.465 17.829 0.013 
58455.522 17.738 0.012 
58461.535 17.504 0.012 
58461.536 17.492 0.009 
58464.549 17.491 0.009 
58464.550 17.475 0.010 
58465.506 17.539 0.008 
58468.516 17.661 0.008 
58468.518 17.631 0.008 
58471.539 17.830 0.009 
58471.540 17.818 0.009 
58474.478 18.007 0.023 
58474.479 18.041 0.025 
58476.451 18.142 0.023 
58481.463 18.301 0.025 
58486.485 18.417 0.013 
58491.531 18.478 0.027 
58493.446 18.636 0.016 
58494.451 18.662 0.016 
58502.529 19.014 0.067 
58505.528 19.051 0.132 
58526.492 19.852 0.176 
