ZTF18acurlbj 0.04235306 177.678097 24.689766
filter ztfg
58461.485 17.829 0.023 
58461.486 17.803 0.021 
58464.504 17.543 0.008 
58464.516 17.524 0.008 
58465.547 17.480 0.008 
58471.505 17.450 0.009 
58471.506 17.473 0.008 
58472.524 17.444 0.007 
58480.518 17.889 0.023 
58482.503 18.063 0.016 
58487.486 18.364 0.012 
58491.474 18.817 0.035 
58491.475 18.756 0.028 
58492.521 18.806 0.023 
58493.538 18.902 0.018 
58494.495 18.983 0.024 
58494.496 19.000 0.021 
58502.463 19.697 0.131 
58502.464 19.354 0.094 
58505.452 19.400 0.151 
58506.462 19.548 0.173 
58509.532 20.002 0.170 
58511.444 20.060 0.083 
58511.445 19.986 0.077 
58513.396 20.080 0.069 
58522.482 20.152 0.072 
58524.423 20.377 0.096 
58526.418 20.093 0.127 
58526.419 20.617 0.190 
filter ztfr
58461.547 18.052 0.014 
58464.548 17.760 0.012 
58465.506 17.712 0.013 
58467.547 17.569 0.008 
58467.548 17.587 0.009 
58468.516 17.571 0.009 
58471.541 17.535 0.009 
58471.542 17.527 0.011 
58474.478 17.569 0.016 
58486.484 18.287 0.016 
58486.484 18.324 0.016 
58487.530 18.325 0.014 
58491.525 18.367 0.027 
58491.526 18.298 0.022 
58493.503 18.401 0.013 
58494.440 18.432 0.014 
58494.453 18.405 0.014 
58502.527 18.576 0.038 
58502.548 18.628 0.046 
58506.551 18.794 0.105 
58508.463 18.891 0.060 
58508.474 18.880 0.074 
58509.482 18.839 0.052 
58511.401 19.121 0.044 
58511.406 19.036 0.039 
58514.435 19.145 0.050 
58524.451 19.487 0.039 
58526.490 19.527 0.130 
