ZTF18aczeesl 0.01827985 220.387097 48.203953
filter ztfg
58472.473 16.919 0.013 
58480.534 16.285 0.005 
58482.539 16.300 0.004 
58487.509 16.402 0.004 
58491.491 16.638 0.006 
58494.534 16.843 0.003 
58502.488 17.518 0.022 
58506.500 17.904 0.035 
58507.498 17.896 0.036 
58511.511 18.174 0.025 
58522.476 18.791 0.020 
58522.507 18.716 0.022 
58526.466 18.953 0.040 
58538.542 19.117 0.100 
58540.385 19.206 0.037 
58540.427 19.185 0.030 
58540.444 19.161 0.036 
58540.466 19.191 0.031 
58541.436 19.173 0.027 
58541.437 19.131 0.028 
58541.444 19.216 0.028 
58543.490 19.195 0.036 
58543.519 19.191 0.043 
58547.341 19.177 0.040 
58547.360 19.253 0.045 
58547.361 19.322 0.044 
58547.388 19.230 0.042 
58556.453 19.329 0.046 
58556.454 19.372 0.045 
58556.464 19.407 0.049 
58556.498 19.344 0.054 
58557.446 19.432 0.055 
58557.479 19.395 0.080 
58558.422 19.408 0.056 
58560.235 19.291 0.111 
58560.260 19.339 0.109 
58560.282 19.305 0.109 
58560.283 19.281 0.092 
58561.309 19.339 0.132 
58561.324 19.595 0.169 
filter ztfr
58475.498 16.673 0.007 
58480.551 16.415 0.006 
58487.556 16.476 0.004 
58508.492 17.232 0.011 
58511.554 17.293 0.009 
58526.513 18.043 0.017 
58534.436 18.529 0.080 
58538.472 18.669 0.079 
58538.486 18.455 0.063 
58540.316 18.601 0.035 
58540.342 18.636 0.022 
58540.518 18.582 0.017 
58541.491 18.537 0.015 
58541.492 18.584 0.016 
58547.492 18.780 0.023 
58547.493 18.843 0.023 
58556.427 19.139 0.036 
58556.521 19.114 0.046 
58557.390 19.026 0.061 
58557.408 19.188 0.064 
58557.432 19.175 0.047 
58558.351 19.251 0.049 
58558.368 19.189 0.053 
58560.388 19.220 0.046 
58560.389 19.108 0.044 
58560.404 19.242 0.057 
58560.428 19.263 0.057 
58561.343 19.060 0.058 
58561.364 19.145 0.069 
58561.395 19.226 0.082 
filter ztfi
58538.551 18.855 0.084 
58547.447 19.291 0.080 
58556.528 19.488 0.110 
58560.305 19.763 0.148 
