ZTF18aczqtpt 0.06086941 53.258955 25.599488
filter ztfg
58474.110 19.262 0.138 
58480.270 18.335 0.023 
58483.139 18.217 0.016 
58483.141 18.240 0.016 
58488.176 18.332 0.022 
58493.223 18.543 0.018 
58494.172 18.682 0.023 
58505.228 19.437 0.145 
58507.171 19.699 0.049 
58510.183 19.971 0.176 
58522.152 20.695 0.175 
58522.153 20.492 0.137 
58523.143 20.479 0.127 
58539.152 20.544 0.191 
filter ztfr
58474.306 19.229 0.100 
58480.303 18.384 0.028 
58482.203 18.371 0.028 
58486.142 18.306 0.020 
58490.184 18.397 0.019 
58493.136 18.524 0.019 
58503.141 18.865 0.051 
58505.143 19.050 0.071 
58507.228 19.106 0.047 
58510.216 19.257 0.157 
58514.115 19.239 0.027 
58523.152 19.704 0.051 
58538.110 20.105 0.157 
58538.121 20.064 0.135 
58540.124 20.192 0.095 
58547.132 20.581 0.115 
58547.142 20.644 0.138 
