ZTF18adbyxua 0.10614752 177.742009 10.393162
filter ztfg
58482.523 19.787 0.105 
58482.526 19.655 0.086 
58486.540 19.097 0.034 
58492.540 18.662 0.015 
58493.557 18.717 0.015 
58494.501 18.731 0.015 
58502.458 18.967 0.078 
58505.457 19.296 0.147 
58509.505 19.462 0.094 
58511.474 19.697 0.062 
58522.432 20.804 0.125 
58522.466 20.578 0.095 
58526.438 20.788 0.191 
filter ztfr
58482.476 19.839 0.087 
58486.501 19.303 0.044 
58491.524 19.019 0.044 
58493.475 18.912 0.024 
58502.525 18.996 0.048 
58503.474 19.122 0.092 
58509.481 19.308 0.083 
58513.428 19.545 0.040 
58522.528 19.967 0.075 
58543.337 20.455 0.118 
