ZTF19aailqli 0.0551465 200.331031 52.778573
filter ztfg
58522.487 19.142 0.025 
58526.452 18.238 0.018 
58538.458 17.753 0.027 
58539.289 17.751 0.013 
58539.404 17.750 0.020 
58540.374 17.814 0.011 
58540.379 17.814 0.012 
58540.400 17.902 0.012 
58543.300 18.006 0.022 
58547.324 18.325 0.019 
58547.324 18.297 0.017 
58547.351 18.324 0.016 
58547.390 18.336 0.017 
58556.457 19.164 0.043 
58557.279 19.241 0.069 
58557.320 19.191 0.077 
58558.408 19.363 0.080 
58558.425 19.317 0.065 
58559.345 19.315 0.079 
58560.240 19.296 0.123 
58560.266 19.413 0.110 
58560.278 19.579 0.135 
58561.298 19.345 0.149 
58561.331 19.350 0.130 
58567.280 19.877 0.066 
58567.286 19.824 0.065 
58567.306 19.966 0.090 
58567.404 20.082 0.122 
58568.219 20.101 0.075 
58568.236 20.100 0.086 
58568.262 20.100 0.084 
58572.324 20.089 0.109 
58572.350 20.138 0.107 
58572.351 20.227 0.119 
58572.390 20.132 0.090 
58573.307 20.216 0.078 
58573.326 20.532 0.125 
58573.370 20.403 0.095 
58574.371 20.446 0.083 
58574.390 20.264 0.075 
58575.306 20.400 0.083 
58575.329 20.512 0.074 
58575.329 20.440 0.070 
58575.344 20.441 0.080 
58580.264 20.493 0.092 
58580.311 20.515 0.106 
58580.312 20.487 0.104 
58580.405 20.640 0.130 
58581.310 20.758 0.109 
58581.332 20.528 0.106 
58582.316 20.360 0.083 
58582.345 20.694 0.088 
58583.362 20.822 0.173 
58584.248 20.614 0.130 
58584.259 20.452 0.137 
58584.276 20.690 0.149 
58585.221 20.686 0.127 
58585.259 20.860 0.157 
58585.290 20.785 0.135 
58586.175 20.734 0.211 
58586.265 20.588 0.147 
58586.279 20.581 0.173 
58586.279 20.972 0.213 
58587.240 20.849 0.227 
58587.321 20.671 0.165 
58588.301 20.435 0.285 
58591.208 20.342 0.231 
58592.195 20.333 0.221 
58596.196 20.694 0.145 
58596.219 20.674 0.115 
58596.241 21.001 0.148 
58596.242 20.869 0.140 
58597.268 20.961 0.140 
58597.283 20.824 0.138 
58597.309 20.895 0.161 
58598.243 20.960 0.109 
58598.266 20.913 0.105 
58598.286 20.884 0.107 
58598.445 20.661 0.152 
58598.445 20.701 0.172 
58598.458 20.875 0.199 
58599.232 20.910 0.061 
58600.193 20.765 0.115 
58600.221 21.145 0.218 
58601.241 20.686 0.096 
58606.401 20.965 0.131 
58606.430 20.926 0.131 
58606.431 21.022 0.147 
58606.451 20.997 0.167 
58607.307 21.359 0.164 
58608.308 20.798 0.112 
58608.332 20.667 0.180 
58609.208 20.786 0.115 
filter ztfr
58526.519 18.445 0.032 
58534.403 17.859 0.035 
58534.426 17.843 0.036 
58534.427 17.863 0.039 
58534.455 17.792 0.031 
58538.489 17.767 0.019 
58538.491 17.730 0.021 
58539.345 17.814 0.017 
58540.300 17.779 0.016 
58540.321 17.748 0.019 
58540.353 17.811 0.010 
58541.497 17.858 0.009 
58541.520 17.860 0.010 
58547.470 18.254 0.014 
58547.471 18.216 0.013 
58547.488 18.208 0.015 
58556.423 18.506 0.024 
58556.424 18.538 0.024 
58557.363 18.515 0.034 
58557.389 18.620 0.053 
58557.402 18.504 0.035 
58558.217 18.548 0.039 
58558.326 18.575 0.034 
58558.349 18.575 0.033 
58558.364 18.544 0.031 
58559.267 18.555 0.033 
58559.282 18.522 0.034 
58559.283 18.534 0.035 
58560.354 18.505 0.029 
58560.369 18.495 0.028 
58560.386 18.590 0.034 
58561.351 18.540 0.043 
58561.371 18.537 0.043 
58561.391 18.527 0.041 
58562.363 18.660 0.106 
58567.324 18.786 0.033 
58567.331 18.688 0.031 
58567.372 18.794 0.035 
58567.393 18.749 0.033 
58568.280 18.766 0.026 
58568.299 18.882 0.038 
58569.391 18.827 0.026 
58572.301 18.985 0.046 
58572.421 19.002 0.035 
58573.269 19.131 0.046 
58573.279 19.139 0.043 
58574.436 19.222 0.057 
58575.386 19.224 0.032 
58580.323 19.430 0.053 
58580.336 19.596 0.057 
58580.337 19.560 0.056 
58580.353 19.558 0.044 
58580.362 19.409 0.040 
58581.259 19.454 0.046 
58581.368 19.449 0.065 
58581.417 19.459 0.085 
58582.229 19.593 0.044 
58582.254 19.576 0.043 
58582.279 19.677 0.070 
58583.285 19.546 0.069 
58583.307 19.566 0.081 
58583.311 19.737 0.080 
58583.327 19.556 0.069 
58584.309 19.708 0.059 
58584.327 19.639 0.072 
58584.372 19.612 0.060 
58585.302 19.648 0.052 
58585.325 19.689 0.054 
58586.218 19.636 0.067 
58586.246 19.635 0.063 
58586.328 19.718 0.071 
58586.328 19.743 0.067 
58587.270 19.706 0.100 
58587.284 19.701 0.076 
58587.300 19.896 0.123 
58588.366 19.707 0.098 
58588.395 19.685 0.073 
58589.263 19.748 0.136 
58591.347 19.928 0.215 
58591.365 19.902 0.151 
58591.387 19.647 0.125 
58592.277 19.917 0.167 
58592.279 20.312 0.211 
58592.298 19.845 0.146 
58592.306 19.878 0.144 
58593.255 19.650 0.111 
58593.275 19.819 0.110 
58593.288 19.688 0.104 
58593.296 19.691 0.097 
58594.343 19.777 0.171 
58596.264 20.304 0.123 
58596.268 19.891 0.070 
58596.283 19.899 0.075 
58596.303 20.159 0.125 
58597.317 19.878 0.064 
58597.340 19.987 0.080 
58597.367 19.945 0.079 
58598.489 19.893 0.087 
58599.427 20.102 0.058 
58600.312 20.070 0.065 
58601.280 19.999 0.055 
58602.264 20.294 0.115 
58605.391 20.159 0.118 
58606.227 20.215 0.070 
58606.232 20.202 0.073 
58606.236 20.123 0.061 
58606.254 20.209 0.078 
58607.240 20.404 0.105 
58607.342 20.275 0.072 
58608.248 20.276 0.084 
58608.255 20.359 0.091 
58608.262 20.198 0.093 
filter ztfi
58547.424 19.217 0.058 
58556.408 19.309 0.109 
58560.308 19.096 0.093 
58567.345 19.058 0.060 
58581.383 19.732 0.099 
58586.313 20.243 0.167 
58596.363 20.126 0.155 
