ZTF19aainjpz 0.03326714 64.992011 -7.256909
filter ztfg
58523.131 19.365 0.062 
58523.132 19.251 0.063 
58523.145 19.359 0.047 
58534.173 17.150 0.025 
58534.173 17.141 0.031 
58534.174 17.102 0.030 
58539.166 17.055 0.012 
58539.167 17.077 0.013 
58556.117 18.135 0.061 
58557.127 18.169 0.055 
58557.128 18.198 0.058 
58558.122 18.263 0.058 
filter ztfr
58523.169 19.320 0.080 
58523.170 19.325 0.088 
58523.193 19.224 0.047 
58523.206 19.308 0.059 
58539.170 16.923 0.011 
58539.171 16.898 0.014 
58539.187 16.933 0.011 
58557.118 17.519 0.032 
58557.119 17.480 0.026 
58558.151 17.516 0.030 
58558.152 17.559 0.034 
