ZTF19aakpcfi 0.06322 246.247811 23.175699
filter ztfg
58538.524 18.561 0.042 
58540.458 18.283 0.019 
58540.497 18.275 0.017 
58541.459 18.233 0.014 
58541.460 18.257 0.014 
58543.525 18.161 0.011 
58543.527 18.171 0.019 
58547.365 18.168 0.021 
58547.400 18.173 0.017 
58556.444 18.440 0.018 
58556.478 18.474 0.021 
58556.479 18.459 0.022 
58556.484 18.483 0.020 
58557.457 18.588 0.026 
58557.462 18.489 0.021 
58557.485 18.472 0.030 
58558.442 18.548 0.027 
58558.463 18.567 0.019 
58560.522 18.709 0.026 
58560.523 18.696 0.026 
58561.522 18.752 0.054 
58567.425 19.258 0.116 
58567.501 19.319 0.072 
58568.379 19.339 0.108 
58568.401 19.236 0.053 
58568.419 19.332 0.051 
58569.400 19.344 0.052 
58572.482 19.748 0.037 
58572.483 19.756 0.039 
58572.513 19.680 0.048 
58572.514 19.812 0.068 
58573.379 19.818 0.051 
58573.465 19.794 0.046 
58573.481 19.827 0.051 
58574.360 19.729 0.069 
58574.415 19.818 0.051 
58575.483 20.016 0.066 
58575.502 19.997 0.082 
58575.524 19.968 0.106 
58577.463 20.207 0.058 
58580.437 20.182 0.108 
58580.439 20.211 0.112 
58581.462 20.310 0.073 
58581.482 20.422 0.089 
58582.359 20.682 0.137 
58582.396 20.453 0.073 
58582.485 20.352 0.062 
58583.377 20.679 0.159 
58583.378 20.514 0.145 
58583.400 20.431 0.117 
58583.422 20.379 0.109 
58584.450 20.674 0.106 
58584.460 20.617 0.088 
58585.389 20.741 0.099 
58586.418 20.593 0.108 
58586.419 20.650 0.091 
58586.479 20.520 0.109 
58587.483 20.419 0.140 
58588.462 20.710 0.096 
58588.482 20.668 0.104 
58591.487 20.518 0.297 
58596.460 20.727 0.186 
58597.480 20.890 0.175 
58598.418 20.903 0.151 
58600.392 21.162 0.109 
58600.393 20.998 0.099 
58600.398 21.009 0.110 
58607.400 20.873 0.095 
58607.436 20.910 0.095 
58608.317 21.082 0.150 
58608.318 21.278 0.186 
58608.399 21.310 0.189 
58612.297 21.178 0.129 
filter ztfr
58534.440 19.627 0.209 
58540.506 18.406 0.017 
58540.527 18.378 0.019 
58540.545 18.381 0.015 
58541.501 18.383 0.013 
58541.522 18.372 0.014 
58541.544 18.398 0.015 
58547.517 18.134 0.013 
58547.518 18.176 0.013 
58556.433 18.460 0.025 
58556.505 18.471 0.024 
58556.506 18.419 0.022 
58557.416 18.486 0.025 
58557.436 18.521 0.028 
58558.503 18.572 0.027 
58560.421 18.716 0.036 
58560.440 18.661 0.027 
58560.458 18.634 0.026 
58560.478 18.633 0.028 
58561.378 18.736 0.059 
58561.434 18.749 0.040 
58567.524 18.915 0.049 
58568.484 18.828 0.035 
58568.501 18.856 0.037 
58569.396 18.924 0.041 
58572.438 18.908 0.024 
58572.455 18.900 0.022 
58572.455 19.000 0.024 
58572.477 18.947 0.025 
58573.436 18.950 0.026 
58573.441 18.990 0.023 
58574.424 18.977 0.031 
58574.442 18.890 0.033 
58575.411 18.986 0.021 
58575.418 18.997 0.031 
58575.419 19.002 0.025 
58575.457 18.994 0.023 
58580.461 19.075 0.048 
58580.462 19.112 0.051 
58580.500 19.206 0.046 
58580.510 19.115 0.038 
58581.401 19.181 0.033 
58582.423 19.212 0.028 
58582.448 19.199 0.027 
58583.335 19.312 0.056 
58583.485 19.377 0.053 
58584.390 19.383 0.046 
58584.399 19.345 0.042 
58585.403 19.520 0.039 
58585.425 19.537 0.036 
58586.375 19.522 0.059 
58586.379 19.456 0.065 
58586.380 19.517 0.066 
58586.491 19.636 0.049 
58588.383 19.699 0.078 
58588.414 19.515 0.046 
58588.440 19.515 0.042 
58591.400 19.673 0.113 
58591.439 19.637 0.121 
58593.344 20.120 0.189 
58596.331 19.847 0.104 
58596.416 19.959 0.099 
58596.437 19.987 0.100 
58597.383 20.115 0.098 
58597.401 19.843 0.064 
58597.434 19.950 0.075 
58598.370 19.975 0.064 
58598.420 19.944 0.063 
58599.398 19.964 0.077 
58602.305 20.041 0.083 
58605.367 20.402 0.105 
58605.379 20.254 0.088 
58605.398 20.386 0.074 
58606.285 20.177 0.082 
58607.354 20.320 0.066 
58607.361 20.298 0.065 
58607.377 20.418 0.077 
58608.340 20.398 0.122 
58608.341 20.240 0.121 
58608.357 20.473 0.135 
58608.377 20.331 0.092 
58612.423 20.543 0.085 
filter ztfi
58547.455 18.788 0.057 
58556.541 19.166 0.107 
58581.507 19.452 0.105 
58586.508 19.973 0.128 
