ZTF19aalzrrz 0.05628455 202.77847 37.24853
filter ztfg
58558.412 17.804 0.014 
58558.427 17.764 0.014 
58561.272 17.972 0.053 
58561.295 17.883 0.041 
58561.322 17.822 0.044 
58562.320 17.998 0.072 
58567.288 18.306 0.017 
58567.296 18.242 0.017 
58567.296 18.278 0.018 
58567.404 18.360 0.029 
58567.405 18.308 0.056 
58568.216 18.442 0.018 
58568.235 18.422 0.020 
58568.257 18.465 0.019 
58572.321 18.841 0.028 
58572.331 18.832 0.032 
58572.347 18.899 0.037 
58572.391 18.850 0.022 
58573.300 18.989 0.035 
58573.332 18.966 0.028 
58573.370 18.976 0.025 
58574.372 19.085 0.024 
58574.388 19.139 0.023 
58575.289 19.234 0.025 
58575.300 19.236 0.026 
58575.331 19.187 0.022 
58575.332 19.240 0.023 
58580.260 19.714 0.046 
58580.305 19.755 0.054 
58580.306 19.775 0.046 
58580.403 19.902 0.073 
58581.308 19.871 0.052 
58581.328 19.935 0.055 
58582.315 20.035 0.128 
58582.346 20.076 0.054 
58583.360 20.136 0.100 
58584.258 20.227 0.099 
58584.278 20.090 0.091 
58584.279 20.125 0.094 
58585.223 20.127 0.083 
58585.257 20.364 0.087 
58585.291 20.226 0.072 
58586.262 20.248 0.102 
58586.275 20.193 0.099 
58586.402 20.259 0.091 
58587.236 20.450 0.182 
58587.322 20.144 0.102 
58587.323 20.474 0.123 
58587.372 20.722 0.284 
58591.249 20.404 0.277 
58594.226 20.288 0.193 
58596.193 21.040 0.191 
58596.226 20.643 0.110 
58596.245 20.741 0.118 
58597.284 20.945 0.140 
58597.285 20.843 0.147 
58597.310 20.893 0.146 
58598.245 20.748 0.093 
58598.259 20.758 0.091 
58598.285 20.724 0.085 
58598.450 20.764 0.169 
58598.461 20.710 0.178 
58599.236 20.742 0.056 
58600.192 20.777 0.113 
58600.218 20.776 0.145 
58600.219 20.604 0.146 
58600.240 20.945 0.134 
58606.383 20.706 0.114 
58606.384 20.786 0.111 
58606.402 20.851 0.113 
58606.433 20.804 0.109 
58607.302 20.911 0.101 
58608.284 20.711 0.178 
58612.264 21.205 0.121 
58612.290 21.098 0.110 
58612.291 20.952 0.102 
58612.313 21.023 0.096 
58616.242 20.998 0.238 
58616.243 20.588 0.172 
58616.264 21.127 0.242 
58628.208 21.436 0.170 
58628.227 21.166 0.147 
58635.205 21.333 0.145 
58636.237 21.460 0.192 
58636.266 21.300 0.137 
58636.278 21.412 0.164 
58638.185 21.089 0.140 
58638.198 21.371 0.161 
58638.199 21.036 0.131 
filter ztfr
58558.241 17.953 0.030 
58558.353 17.849 0.015 
58558.360 17.856 0.015 
58561.349 17.895 0.024 
58561.373 17.906 0.029 
58561.393 17.986 0.027 
58562.360 18.078 0.076 
58567.373 18.393 0.023 
58567.374 18.447 0.025 
58568.292 18.487 0.020 
58568.297 18.527 0.019 
58569.390 18.551 0.022 
58572.290 18.652 0.027 
58572.310 18.588 0.029 
58572.311 18.619 0.029 
58573.270 18.628 0.026 
58573.277 18.664 0.025 
58573.404 18.709 0.022 
58575.390 18.668 0.024 
58575.391 18.631 0.024 
58580.286 18.852 0.020 
58580.317 18.856 0.030 
58580.324 18.795 0.031 
58580.331 18.910 0.036 
58580.338 18.805 0.027 
58581.269 18.895 0.027 
58581.364 18.813 0.043 
58582.233 18.941 0.023 
58582.249 19.097 0.033 
58582.253 18.984 0.027 
58583.282 19.097 0.046 
58583.328 19.035 0.046 
58584.312 19.089 0.037 
58584.327 19.134 0.038 
58584.328 19.055 0.041 
58584.370 19.097 0.037 
58585.298 19.153 0.032 
58585.326 19.085 0.026 
58586.247 19.254 0.036 
58586.329 19.176 0.039 
58586.344 19.269 0.041 
58587.291 19.347 0.061 
58587.304 19.328 0.072 
58587.305 19.394 0.068 
58588.364 19.397 0.102 
58589.234 19.398 0.184 
58589.270 19.554 0.116 
58591.363 19.840 0.187 
58591.383 19.846 0.172 
58591.384 19.743 0.169 
58593.253 19.812 0.148 
58593.297 19.736 0.098 
58593.303 20.018 0.207 
58594.332 19.722 0.167 
58594.341 19.830 0.174 
58594.342 19.665 0.149 
58594.359 19.723 0.114 
58596.271 19.816 0.063 
58596.282 19.801 0.063 
58596.304 19.791 0.079 
58597.320 19.873 0.063 
58597.350 19.917 0.067 
58597.362 19.769 0.067 
58597.363 19.893 0.066 
58598.304 19.903 0.051 
58598.320 19.855 0.046 
58598.348 19.872 0.058 
58598.491 19.785 0.076 
58599.431 19.918 0.037 
58600.309 19.952 0.053 
58605.392 19.989 0.083 
58606.204 20.124 0.057 
58606.214 20.140 0.060 
58606.232 20.031 0.066 
58606.250 20.477 0.119 
58607.244 20.060 0.084 
58607.339 20.127 0.070 
58608.250 20.343 0.083 
58608.256 20.330 0.101 
58608.264 20.477 0.155 
58612.228 20.312 0.071 
58612.234 20.380 0.068 
58612.234 20.393 0.072 
58612.341 20.387 0.072 
58616.156 20.408 0.141 
58616.183 20.627 0.179 
58616.184 20.290 0.123 
58616.302 20.599 0.143 
58618.223 20.244 0.188 
58628.290 20.729 0.115 
58628.291 20.870 0.133 
58628.304 20.617 0.103 
58628.321 21.035 0.170 
58632.269 21.090 0.193 
58635.263 20.920 0.105 
58636.221 21.005 0.154 
58638.220 21.031 0.151 
58638.221 21.132 0.143 
filter ztfi
58567.342 19.216 0.087 
58581.279 19.132 0.046 
58586.308 19.314 0.067 
58591.273 19.311 0.240 
58596.361 20.085 0.137 
58607.270 20.515 0.162 
58612.322 20.661 0.185 
58616.328 20.715 0.246 
