ZTF19aambfxc 0.05445605 265.429438 67.962049
filter ztfg
58876.517 19.032 0.057 
58878.535 18.431 0.045 
58879.512 18.224 0.043 
58880.485 18.063 0.028 
58881.517 17.938 0.020 
58885.470 17.631 0.046 
58886.488 17.562 0.026 
58887.457 17.562 0.041 
58891.470 17.562 0.032 
58892.555 17.562 0.025 
58893.487 17.660 0.022 
58894.551 17.667 0.021 
58895.530 17.690 0.018 
58898.552 17.939 0.016 
58899.539 17.996 0.022 
58903.533 18.359 0.023 
58908.554 18.922 0.069 
58911.546 19.184 0.086 
58912.535 19.338 0.059 
58913.520 19.402 0.073 
58914.444 19.706 0.188 
58915.468 19.707 0.222 
58940.489 21.019 0.295 
58941.495 20.791 0.247 
58964.391 20.878 0.199 
58965.423 21.041 0.201 
filter ztfr
58875.546 19.628 0.201 
58876.556 19.245 0.117 
58877.517 18.871 0.095 
58878.572 18.576 0.111 
58880.537 18.170 0.061 
58881.551 18.081 0.045 
58885.546 17.795 0.041 
58886.556 17.719 0.036 
58887.548 17.651 0.044 
58888.515 17.686 0.107 
58892.532 17.598 0.037 
58893.546 17.637 0.031 
58894.538 17.671 0.031 
58895.488 17.735 0.034 
58898.531 17.850 0.039 
58899.481 18.024 0.055 
58900.488 18.156 0.067 
58903.512 18.241 0.044 
58908.489 18.348 0.058 
58911.493 18.472 0.114 
58912.494 18.296 0.052 
58913.496 18.347 0.070 
58914.548 18.385 0.050 
58936.518 19.481 0.144 
58943.473 19.704 0.176 
58944.510 19.860 0.256 
58954.493 19.955 0.197 
58962.474 20.362 0.248 
