ZTF19aamhjlk 0.06192415 250.374731 72.944678
filter ztfg
58556.451 17.991 0.017 
58556.470 18.026 0.015 
58556.494 17.983 0.016 
58557.329 17.949 0.035 
58557.450 17.862 0.018 
58557.450 17.942 0.017 
58557.476 17.953 0.023 
58558.394 17.923 0.021 
58558.403 17.855 0.017 
58558.434 17.901 0.020 
58558.434 17.859 0.014 
58560.495 17.776 0.018 
58560.496 17.801 0.018 
58560.518 17.712 0.012 
58561.308 17.736 0.051 
58561.308 17.761 0.044 
58561.327 17.718 0.041 
58561.516 17.686 0.030 
58568.384 17.964 0.022 
58568.384 17.854 0.021 
58568.385 17.897 0.023 
58568.385 17.905 0.018 
58568.406 17.942 0.016 
58568.406 17.855 0.015 
58568.447 17.884 0.015 
58568.447 17.935 0.017 
58569.405 17.976 0.024 
58573.310 18.242 0.021 
58573.321 18.236 0.027 
58573.321 18.304 0.025 
58573.322 18.214 0.022 
58573.361 18.171 0.021 
58573.361 18.181 0.018 
58573.362 18.218 0.019 
58573.387 18.186 0.023 
58581.326 18.970 0.030 
58581.478 18.904 0.037 
58582.339 18.969 0.028 
58582.388 19.114 0.028 
58584.246 19.305 0.079 
58586.430 19.474 0.039 
58586.448 19.393 0.034 
58586.467 19.459 0.045 
58587.363 19.394 0.102 
58587.363 19.541 0.116 
58591.224 19.795 0.225 
58591.224 20.010 0.265 
58591.225 20.072 0.281 
58591.237 19.600 0.209 
58591.260 19.809 0.169 
58591.260 19.589 0.144 
58592.432 19.752 0.166 
58592.447 20.074 0.213 
58592.470 19.696 0.147 
58594.266 19.843 0.186 
58594.269 19.983 0.198 
58596.451 19.945 0.110 
58596.470 20.165 0.136 
58596.491 20.085 0.122 
58597.474 20.239 0.117 
58597.474 20.376 0.141 
58606.423 20.527 0.088 
58606.446 20.364 0.075 
58606.466 20.523 0.082 
58606.466 20.721 0.095 
58608.325 20.654 0.127 
58616.228 20.685 0.231 
58617.391 20.982 0.227 
58617.404 20.853 0.216 
58617.431 20.795 0.119 
filter ztfr
58556.517 18.200 0.022 
58557.370 18.234 0.037 
58557.379 18.117 0.026 
58557.380 18.065 0.027 
58557.411 18.106 0.025 
58557.411 18.131 0.026 
58558.317 18.123 0.036 
58558.318 18.017 0.033 
58558.341 18.037 0.030 
58558.342 18.202 0.036 
58558.371 18.057 0.026 
58558.371 18.049 0.023 
58560.372 17.919 0.023 
58560.373 17.902 0.023 
58560.392 17.961 0.023 
58560.393 18.022 0.027 
58560.393 17.949 0.023 
58560.411 17.946 0.021 
58560.412 17.980 0.020 
58560.412 17.961 0.029 
58561.345 17.932 0.028 
58561.346 17.909 0.026 
58561.362 17.900 0.027 
58561.362 18.021 0.031 
58561.387 17.899 0.024 
58569.384 18.060 0.023 
58573.287 18.358 0.039 
58573.413 18.309 0.024 
58573.423 18.363 0.024 
58573.424 18.351 0.027 
58573.424 18.281 0.022 
58573.452 18.273 0.018 
58573.452 18.291 0.018 
58581.411 18.641 0.035 
58582.277 18.687 0.042 
58582.411 18.695 0.021 
58582.433 18.715 0.025 
58584.405 18.778 0.033 
58584.406 18.782 0.033 
58586.322 18.815 0.036 
58586.349 18.897 0.045 
58586.367 18.758 0.038 
58587.288 18.738 0.051 
58591.403 18.819 0.062 
58591.404 18.949 0.073 
58591.404 18.694 0.056 
58591.405 18.781 0.062 
58591.427 18.825 0.056 
58591.427 18.873 0.058 
58593.381 18.961 0.061 
58593.412 18.936 0.056 
58596.312 19.175 0.069 
58596.322 19.183 0.067 
58596.400 19.062 0.047 
58597.389 19.132 0.039 
58597.389 19.219 0.045 
58598.331 19.460 0.053 
58598.364 19.231 0.044 
58598.387 19.210 0.038 
58605.411 19.550 0.060 
58606.276 19.562 0.056 
58606.294 19.719 0.069 
58606.322 19.772 0.061 
58606.362 19.632 0.044 
58608.346 19.584 0.087 
58616.372 19.899 0.072 
58617.303 19.930 0.086 
58617.329 20.019 0.093 
58617.329 19.816 0.080 
58617.343 19.889 0.091 
58627.416 20.338 0.130 
58628.370 20.324 0.116 
58628.392 20.431 0.141 
58628.393 20.385 0.109 
filter ztfi
58547.546 19.958 0.224 
58556.531 18.393 0.045 
58557.342 18.410 0.070 
58568.474 18.784 0.061 
58573.343 19.108 0.065 
58573.344 19.076 0.085 
58586.514 19.390 0.109 
58587.345 18.949 0.091 
58596.388 19.297 0.093 
58596.388 19.515 0.111 
58607.287 19.889 0.124 
58616.322 20.278 0.223 
58616.349 20.100 0.137 
58627.444 20.255 0.173 
