ZTF19aaneugz 0.05452646 158.005026 18.160664
filter ztfg
58567.207 19.426 0.080 
58572.207 18.295 0.047 
58575.275 18.030 0.015 
58580.204 18.110 0.019 
58580.233 18.038 0.019 
58585.203 18.311 0.022 
58586.170 18.395 0.042 
58591.184 18.717 0.090 
58597.254 19.640 0.081 
58601.229 19.978 0.093 
58605.211 20.307 0.111 
58608.208 20.601 0.157 
58612.175 20.425 0.135 
58634.194 21.121 0.274 
filter ztfr
58572.277 18.300 0.056 
58582.217 17.957 0.026 
58583.260 17.952 0.028 
58586.190 18.183 0.055 
58591.354 18.447 0.237 
58593.283 18.515 0.123 
58594.156 18.537 0.040 
58597.348 18.505 0.068 
58601.260 18.722 0.049 
58608.215 19.205 0.076 
58612.194 19.448 0.124 
58618.270 19.678 0.302 
58634.171 20.515 0.256 
58640.221 19.885 0.186 
