ZTF19aantarc 0.09914808 204.958993 20.299885
filter ztfg
58567.448 13.818 0.294 
58568.254 20.962 0.238 
58572.336 19.900 0.090 
58572.336 20.020 0.110 
58573.316 19.689 0.056 
58575.316 19.371 0.041 
58575.317 19.331 0.043 
58580.300 18.952 0.025 
58580.301 18.910 0.026 
58581.315 18.836 0.028 
58582.352 18.809 0.029 
58583.357 18.870 0.036 
58583.359 18.900 0.042 
58584.291 18.758 0.030 
58586.273 18.826 0.039 
58586.274 18.864 0.037 
58587.333 18.944 0.041 
58591.271 19.278 0.213 
58592.421 19.000 0.155 
58592.422 19.372 0.206 
58594.232 19.215 0.110 
58596.232 19.603 0.063 
58596.233 19.556 0.057 
58597.292 19.642 0.064 
58600.235 20.069 0.078 
58600.235 20.084 0.076 
58601.238 19.963 0.059 
58606.380 20.523 0.114 
58612.253 21.151 0.137 
58616.226 20.769 0.294 
58639.236 21.316 0.194 
filter ztfr
58572.357 20.090 0.124 
58572.358 20.047 0.101 
58573.275 19.776 0.077 
58575.393 19.588 0.075 
58575.395 19.562 0.058 
58580.345 19.114 0.046 
58580.346 19.089 0.053 
58581.363 19.147 0.058 
58582.290 19.015 0.028 
58583.278 18.959 0.043 
58583.279 18.995 0.042 
58584.315 19.036 0.041 
58585.315 18.905 0.039 
58586.332 18.983 0.040 
58586.333 19.021 0.043 
58587.309 18.977 0.047 
58589.259 18.943 0.085 
58589.260 19.019 0.105 
58591.373 19.107 0.133 
58592.293 19.142 0.130 
58592.294 19.084 0.123 
58593.252 18.957 0.076 
58594.357 19.106 0.091 
58596.257 19.250 0.051 
58596.258 19.217 0.048 
58597.352 19.349 0.048 
58598.319 19.302 0.035 
58600.277 19.412 0.038 
58600.278 19.449 0.038 
58606.211 19.614 0.047 
58612.248 19.835 0.053 
58616.169 19.823 0.111 
58628.287 20.476 0.110 
58633.207 20.788 0.158 
58633.208 20.834 0.146 
58634.269 20.833 0.152 
58635.234 20.978 0.122 
58636.224 20.857 0.145 
58636.225 20.751 0.146 
58637.191 20.938 0.139 
58638.229 20.728 0.135 
58639.170 20.995 0.186 
58640.216 21.076 0.177 
58641.277 21.089 0.152 
58642.232 21.104 0.184 
58642.233 21.235 0.193 
filter ztfi
58573.350 20.118 0.160 
58581.380 19.463 0.089 
58586.296 19.433 0.096 
58594.306 19.418 0.160 
58596.336 19.644 0.111 
58600.184 19.982 0.144 
58607.273 19.889 0.110 
58612.153 19.768 0.134 
58616.194 20.168 0.182 
58644.250 20.680 0.286 
