ZTF19aarifvr 0.071 198.94496 33.521244
filter ztfg
58594.209 19.543 0.135 
58596.234 18.834 0.028 
58597.313 18.519 0.019 
58598.291 18.400 0.014 
58598.437 18.385 0.023 
58598.437 18.401 0.024 
58598.453 18.350 0.023 
58599.226 18.324 0.008 
58600.215 18.200 0.013 
58600.216 18.183 0.014 
58601.240 18.137 0.011 
58606.403 17.889 0.010 
58606.404 17.894 0.009 
58607.300 17.888 0.008 
58612.292 18.008 0.009 
58617.200 18.185 0.024 
58619.234 18.381 0.074 
58619.235 18.409 0.085 
58622.172 18.507 0.053 
58622.173 18.717 0.068 
58633.260 19.375 0.034 
58633.261 19.458 0.037 
58634.220 19.548 0.043 
58635.197 19.746 0.045 
58636.257 19.712 0.036 
58636.258 19.740 0.042 
58637.239 19.781 0.048 
58638.203 19.864 0.044 
58639.239 19.903 0.047 
58639.241 19.964 0.051 
58640.199 19.938 0.059 
58642.200 20.030 0.072 
58642.201 20.111 0.074 
58645.236 20.188 0.200 
58648.184 20.286 0.207 
58651.172 20.385 0.292 
58654.239 20.469 0.167 
58657.196 20.785 0.129 
58665.195 20.610 0.094 
58668.194 21.061 0.137 
filter ztfr
58592.303 19.947 0.183 
58593.290 19.835 0.159 
58594.319 19.443 0.097 
58594.333 19.592 0.128 
58597.349 18.786 0.026 
58597.351 18.795 0.025 
58598.484 18.501 0.026 
58606.213 18.096 0.012 
58606.270 18.137 0.011 
58607.246 18.109 0.014 
58608.260 18.072 0.017 
58612.228 18.168 0.011 
58616.170 18.210 0.023 
58616.171 18.177 0.019 
58617.254 18.318 0.023 
58618.218 18.390 0.030 
58628.326 18.838 0.026 
58628.327 18.763 0.024 
58633.198 18.865 0.023 
58633.198 18.866 0.022 
58634.267 18.966 0.025 
58635.238 18.935 0.023 
58636.222 18.957 0.023 
58636.223 18.950 0.024 
58637.195 18.990 0.025 
58638.225 19.044 0.025 
58639.181 19.033 0.030 
58639.181 19.017 0.026 
58640.234 19.176 0.033 
58641.278 19.174 0.027 
58642.234 19.082 0.028 
58642.236 19.117 0.027 
58648.193 19.572 0.103 
58651.248 19.840 0.127 
58654.196 19.779 0.049 
58657.269 19.742 0.056 
58660.222 20.082 0.068 
58665.269 20.160 0.085 
58671.203 19.927 0.145 
58674.219 20.787 0.208 
58677.195 20.689 0.223 
58677.196 20.138 0.125 
filter ztfi
58596.337 19.204 0.069 
58616.328 19.048 0.064 
58635.186 19.479 0.075 
58639.193 19.361 0.061 
58643.226 19.389 0.075 
58648.289 19.909 0.195 
58652.235 19.733 0.123 
