ZTF19aavhzsc 0.03458198 213.103393 64.383585
filter ztfg
58628.207 19.061 0.028 
58628.223 19.032 0.033 
58633.263 17.753 0.009 
58633.264 17.750 0.009 
58636.282 17.428 0.006 
58636.283 17.454 0.006 
58642.304 17.458 0.007 
58642.305 17.440 0.006 
58645.237 17.657 0.016 
58645.238 17.663 0.016 
58648.325 18.082 0.029 
58648.326 17.955 0.028 
58649.184 18.147 0.040 
58649.186 18.086 0.041 
58649.195 18.173 0.033 
58649.197 18.189 0.035 
58649.346 18.165 0.038 
58649.347 18.087 0.038 
58650.204 18.238 0.032 
58650.226 18.249 0.035 
58651.180 18.309 0.040 
58651.181 18.322 0.041 
58651.182 18.327 0.041 
58651.200 18.381 0.050 
58651.226 18.364 0.049 
58652.186 18.556 0.036 
58652.198 18.512 0.040 
58652.225 18.508 0.044 
58654.268 18.723 0.041 
58654.284 18.748 0.052 
58655.243 18.881 0.045 
58655.260 19.006 0.072 
58655.283 19.050 0.072 
58657.201 19.107 0.033 
58657.202 19.146 0.031 
58660.183 19.473 0.050 
58660.185 19.452 0.037 
58663.227 19.684 0.051 
58665.200 19.832 0.048 
58667.326 20.130 0.088 
58668.196 19.951 0.058 
58673.302 20.211 0.105 
58674.199 20.527 0.136 
58676.300 20.046 0.165 
58678.264 20.202 0.198 
58679.283 20.102 0.219 
58680.181 19.971 0.216 
58680.196 20.299 0.275 
58682.179 20.179 0.143 
58684.262 20.081 0.206 
58688.202 20.492 0.109 
58690.202 20.718 0.124 
58690.202 20.489 0.107 
58691.219 20.517 0.112 
58691.220 20.601 0.114 
58692.207 20.962 0.173 
58692.225 20.812 0.143 
58693.247 20.653 0.163 
58693.269 20.299 0.124 
58694.215 20.681 0.129 
58694.216 20.854 0.165 
58696.304 20.783 0.198 
58700.303 20.705 0.188 
58705.219 20.510 0.217 
58706.223 20.776 0.284 
58707.220 20.574 0.267 
filter ztfr
58627.367 19.317 0.051 
58628.374 19.025 0.040 
58628.394 18.960 0.039 
58633.305 17.778 0.010 
58633.308 17.705 0.011 
58636.219 17.462 0.009 
58636.220 17.481 0.008 
58639.282 17.397 0.008 
58639.283 17.372 0.008 
58642.259 17.391 0.006 
58642.260 17.357 0.008 
58645.281 17.548 0.011 
58645.282 17.549 0.013 
58648.207 17.832 0.022 
58648.217 17.824 0.025 
58649.226 17.846 0.018 
58649.240 17.832 0.020 
58649.243 17.825 0.020 
58649.264 17.887 0.022 
58649.265 17.823 0.021 
58649.290 17.822 0.020 
58650.239 18.026 0.025 
58650.266 17.878 0.021 
58650.280 17.878 0.022 
58651.243 17.883 0.021 
58651.244 17.969 0.028 
58651.261 17.990 0.029 
58651.262 17.941 0.029 
58651.285 17.977 0.029 
58652.282 17.912 0.025 
58652.299 17.958 0.028 
58652.322 17.987 0.025 
58654.201 18.008 0.012 
58654.223 18.056 0.017 
58655.181 18.104 0.029 
58655.206 18.083 0.021 
58655.224 18.102 0.019 
58657.370 18.178 0.026 
58657.370 18.096 0.026 
58660.227 18.289 0.013 
58663.205 18.518 0.023 
58665.267 18.709 0.022 
58668.185 19.005 0.032 
58670.306 19.152 0.048 
58673.215 19.285 0.039 
58674.217 19.287 0.046 
58676.213 19.405 0.072 
58678.202 19.572 0.072 
58679.220 19.579 0.086 
58680.247 19.592 0.118 
58680.259 19.688 0.125 
58681.256 19.578 0.115 
58681.256 19.537 0.125 
58682.243 19.558 0.083 
58683.214 19.782 0.091 
58683.215 19.702 0.096 
58683.243 19.521 0.090 
58684.233 19.658 0.104 
58684.234 19.947 0.158 
58685.335 19.662 0.117 
58690.178 19.996 0.084 
58691.174 19.997 0.078 
58691.175 19.900 0.071 
58694.183 19.948 0.080 
58694.185 19.984 0.088 
58696.274 20.082 0.095 
58697.297 20.294 0.156 
58699.277 20.101 0.112 
58699.277 20.260 0.138 
58700.273 20.369 0.129 
58702.277 20.153 0.146 
58703.279 20.384 0.185 
58705.191 20.532 0.185 
58705.192 20.334 0.165 
58706.191 20.519 0.196 
58706.192 20.482 0.166 
58707.190 20.531 0.203 
58707.191 20.658 0.227 
58708.191 20.735 0.255 
58708.192 20.432 0.215 
filter ztfi
58627.429 19.576 0.094 
58627.431 19.595 0.096 
58635.176 17.813 0.019 
58639.201 17.948 0.019 
58640.311 17.934 0.023 
58643.218 18.079 0.024 
58644.248 18.157 0.033 
58648.281 18.410 0.054 
58648.283 18.537 0.048 
58652.240 18.484 0.046 
58652.242 18.478 0.043 
58659.184 18.366 0.035 
58659.184 18.435 0.026 
58663.180 18.631 0.037 
58663.181 18.694 0.044 
58667.175 18.964 0.053 
58667.176 18.958 0.073 
58671.176 19.172 0.063 
58671.177 19.251 0.086 
58675.171 19.459 0.171 
58675.212 19.361 0.103 
