ZTF19aavnxwj 0.07542365 191.958629 41.857251
filter ztfg
58632.193 19.693 0.048 
58633.241 19.445 0.039 
58634.221 19.075 0.028 
58635.202 19.000 0.023 
58635.203 18.970 0.019 
58636.238 18.813 0.021 
58637.240 18.682 0.018 
58638.200 18.587 0.019 
58638.201 18.603 0.016 
58639.241 18.457 0.015 
58640.200 18.427 0.015 
58641.187 18.433 0.014 
58653.258 18.708 0.060 
58657.196 18.883 0.025 
58665.196 19.516 0.046 
58668.194 19.832 0.047 
58674.200 20.703 0.218 
58677.182 20.517 0.205 
58677.182 20.445 0.195 
filter ztfr
58628.291 20.823 0.154 
58628.305 20.829 0.176 
58628.308 21.068 0.211 
58632.269 19.789 0.082 
58633.195 19.361 0.045 
58634.267 19.241 0.039 
58637.198 18.802 0.025 
58638.221 18.701 0.025 
58638.222 18.745 0.021 
58639.187 18.608 0.023 
58640.229 18.480 0.019 
58641.279 18.518 0.017 
58641.280 18.578 0.016 
58644.259 18.521 0.030 
58647.239 18.411 0.034 
58650.247 18.595 0.041 
58660.222 19.096 0.030 
58665.268 19.232 0.047 
58671.202 19.385 0.141 
58674.218 19.347 0.066 
58679.197 19.705 0.109 
58680.242 19.996 0.243 
58680.243 19.831 0.196 
58682.246 19.970 0.179 
filter ztfi
58643.225 18.988 0.044 
58648.288 19.268 0.089 
58652.236 19.208 0.070 
