ZTF19aavqoop 0.07681397 146.76713 43.127114
filter ztfg
58633.220 18.774 0.030 
58634.199 18.652 0.020 
58634.204 18.619 0.019 
58637.242 18.322 0.027 
58640.176 18.143 0.025 
58643.172 18.108 0.033 
58646.191 18.170 0.050 
58649.177 18.221 0.052 
58662.207 19.138 0.075 
filter ztfr
58633.183 18.978 0.034 
58634.174 18.769 0.025 
58634.181 18.760 0.027 
58637.174 18.428 0.019 
58640.225 18.265 0.023 
58643.245 18.174 0.031 
58646.214 18.067 0.028 
58649.220 18.179 0.042 
58662.184 18.723 0.054 
