ZTF19aavvvrc 0.035641 27.666296 33.085966
filter ztfg
58667.449 20.181 0.080 
58670.452 20.227 0.069 
58673.469 20.461 0.102 
58676.429 20.531 0.128 
58678.437 20.505 0.176 
58688.473 20.640 0.164 
58688.490 20.538 0.190 
58688.490 20.375 0.167 
58690.451 20.804 0.178 
58691.453 20.732 0.157 
58693.448 20.891 0.118 
58694.472 20.910 0.100 
58694.473 20.945 0.108 
58695.453 21.017 0.137 
58696.425 21.144 0.144 
58697.467 20.998 0.141 
58697.468 21.010 0.144 
58697.490 20.593 0.116 
58697.490 20.449 0.098 
58697.490 21.189 0.171 
58697.491 20.915 0.130 
58698.479 21.212 0.154 
58699.469 21.165 0.156 
58700.465 21.170 0.161 
58700.466 21.106 0.163 
58701.448 21.062 0.142 
58703.487 20.786 0.114 
58703.488 21.328 0.192 
58704.443 21.203 0.183 
58705.494 21.370 0.184 
58706.471 21.146 0.142 
58706.472 21.194 0.145 
58707.454 21.246 0.170 
58708.434 20.772 0.267 
58708.470 21.145 0.175 
58709.493 21.218 0.277 
58709.504 20.542 0.172 
58709.505 20.888 0.245 
filter ztfr
58633.461 18.999 0.076 
58633.462 19.056 0.080 
58633.465 19.235 0.092 
58633.467 19.119 0.086 
58636.459 18.361 0.034 
58636.461 18.242 0.028 
58636.464 18.262 0.032 
58636.466 18.254 0.030 
58639.459 17.776 0.020 
58639.461 17.779 0.017 
58639.466 17.797 0.017 
58639.469 17.777 0.017 
58642.458 17.636 0.017 
58642.459 17.646 0.015 
58642.460 17.649 0.017 
58642.461 17.689 0.015 
58642.463 17.640 0.015 
58642.465 17.653 0.016 
58642.467 17.592 0.012 
58642.468 17.612 0.016 
58645.457 17.598 0.013 
58645.459 17.590 0.014 
58645.459 17.654 0.015 
58645.462 17.605 0.014 
58645.463 17.675 0.016 
58645.465 17.629 0.015 
58645.466 17.615 0.015 
58645.468 17.581 0.014 
58648.458 17.717 0.020 
58648.461 17.718 0.018 
58648.464 17.750 0.018 
58648.469 17.750 0.020 
58651.438 17.922 0.053 
58651.459 17.963 0.047 
58651.462 17.977 0.053 
58651.465 17.947 0.046 
58651.468 17.939 0.042 
58654.446 18.090 0.039 
58654.446 18.146 0.045 
58657.432 18.288 0.037 
58667.475 19.006 0.044 
58667.476 18.969 0.052 
58670.473 19.343 0.036 
58670.474 19.189 0.032 
58673.451 19.470 0.044 
58673.452 19.461 0.048 
58676.466 19.510 0.043 
58676.467 19.591 0.049 
58678.488 19.749 0.078 
58678.489 19.887 0.130 
58679.472 19.703 0.074 
58679.472 19.705 0.074 
58679.473 19.680 0.072 
58679.489 19.851 0.100 
58680.431 19.810 0.154 
58680.431 19.618 0.140 
58681.448 19.643 0.107 
58681.448 19.782 0.118 
58682.427 19.749 0.103 
58682.428 19.820 0.115 
58682.429 20.111 0.144 
58682.430 19.923 0.113 
58683.452 19.794 0.107 
58683.453 19.992 0.141 
58684.464 19.850 0.099 
58685.449 19.819 0.083 
58685.449 19.760 0.092 
58685.457 19.993 0.106 
58685.458 19.920 0.113 
58688.424 20.075 0.108 
58688.424 19.858 0.092 
58688.433 20.120 0.104 
58688.434 19.927 0.087 
58690.428 20.411 0.119 
58690.429 20.182 0.098 
58691.425 20.373 0.149 
58691.425 20.365 0.132 
58691.425 20.345 0.135 
58691.426 20.266 0.127 
58693.468 20.167 0.064 
58693.495 20.277 0.099 
58694.411 20.303 0.084 
58694.412 20.467 0.095 
58694.496 20.305 0.082 
58694.497 20.397 0.094 
58695.468 20.344 0.082 
58695.469 20.301 0.081 
58696.476 20.357 0.074 
58697.426 20.438 0.096 
58697.427 20.319 0.083 
58697.433 20.633 0.120 
58697.433 20.443 0.095 
58699.487 20.516 0.096 
58699.488 20.338 0.088 
58700.445 20.445 0.088 
58700.445 20.561 0.095 
58700.453 20.545 0.100 
58700.453 20.592 0.093 
58701.495 20.639 0.164 
58703.452 20.666 0.114 
58703.453 20.902 0.135 
58703.453 20.798 0.130 
58703.454 20.773 0.114 
58704.463 20.948 0.163 
58704.464 20.731 0.129 
58705.465 20.822 0.138 
58705.465 20.814 0.128 
58706.493 20.778 0.147 
58706.494 20.815 0.142 
58706.494 20.910 0.122 
58706.495 20.933 0.147 
58706.504 20.668 0.195 
58706.505 20.350 0.128 
58707.469 20.874 0.121 
58707.470 20.879 0.148 
58708.496 20.895 0.132 
58708.497 21.116 0.240 
58709.403 20.565 0.188 
58709.404 21.089 0.273 
58709.411 20.865 0.244 
58710.402 20.367 0.217 
58710.403 20.650 0.267 
58710.404 20.598 0.264 
58710.425 20.191 0.175 
58710.437 20.904 0.257 
58711.409 20.614 0.236 
58711.409 20.982 0.305 
58711.413 20.785 0.272 
58711.413 20.338 0.200 
filter ztfi
58668.468 19.283 0.084 
58672.447 19.645 0.117 
58697.447 20.611 0.189 
