ZTF19aaxfzao 0.03421839 271.076943 29.733401
filter ztfg
58637.440 20.381 0.120 
58637.444 20.438 0.134 
58638.371 19.870 0.072 
58638.375 19.859 0.063 
58639.260 19.396 0.044 
58639.429 19.262 0.044 
58639.432 19.216 0.041 
58640.333 18.905 0.035 
58640.352 18.954 0.031 
58640.353 18.808 0.030 
58640.372 18.874 0.034 
58641.431 18.535 0.025 
58641.433 18.527 0.027 
58641.433 18.493 0.023 
58641.434 18.504 0.029 
58642.388 18.290 0.015 
58642.414 18.276 0.018 
58643.319 18.107 0.014 
58643.336 18.015 0.020 
58643.338 18.101 0.014 
58643.429 18.079 0.016 
58644.353 17.937 0.014 
58644.354 17.948 0.015 
58644.436 17.927 0.013 
58645.407 17.710 0.012 
58645.410 17.824 0.012 
58645.437 17.798 0.014 
58645.448 17.807 0.015 
58646.437 17.694 0.016 
58647.369 17.620 0.014 
58647.391 17.633 0.013 
58647.392 17.629 0.016 
58647.394 17.597 0.016 
58648.362 17.618 0.018 
58649.370 17.548 0.019 
58650.443 17.462 0.023 
58650.443 17.519 0.023 
58653.311 17.517 0.018 
58653.324 17.529 0.020 
58653.341 17.500 0.018 
58653.371 17.494 0.019 
58653.372 17.563 0.020 
58657.236 17.544 0.012 
58657.241 17.630 0.010 
58657.444 17.621 0.016 
58657.455 17.601 0.017 
58658.454 17.672 0.017 
58660.339 17.698 0.012 
58660.341 17.737 0.009 
58661.445 17.855 0.016 
58662.433 17.922 0.018 
58663.476 17.929 0.034 
58665.216 18.166 0.022 
58665.233 18.119 0.015 
58666.217 18.185 0.014 
58666.237 18.176 0.023 
58666.238 18.237 0.020 
58666.241 18.177 0.016 
58667.320 18.276 0.019 
58667.341 18.274 0.017 
58668.280 18.380 0.018 
58669.282 18.416 0.019 
58669.285 18.448 0.024 
58669.286 18.486 0.025 
58672.316 18.713 0.030 
58672.332 18.668 0.026 
58672.351 18.766 0.030 
58672.352 18.769 0.024 
58673.339 18.813 0.027 
58674.317 18.886 0.043 
58674.340 19.084 0.062 
58675.330 18.948 0.052 
58675.341 18.887 0.046 
58675.342 18.890 0.044 
58675.343 18.983 0.047 
58676.307 19.133 0.061 
58676.322 19.006 0.060 
58677.318 19.103 0.084 
58677.319 19.112 0.070 
58677.342 19.168 0.083 
58678.284 19.182 0.081 
58678.285 19.138 0.072 
58678.293 19.263 0.102 
58678.298 19.355 0.102 
58678.298 19.261 0.096 
58678.318 19.231 0.087 
58679.286 19.157 0.086 
58679.293 19.212 0.093 
58679.295 19.396 0.100 
58679.323 19.387 0.105 
