ZTF19aaycomi 0.04286972 351.304383 9.453189
filter ztfg
58641.444 19.196 0.034 
58641.445 19.218 0.029 
58644.444 18.054 0.016 
58644.445 18.063 0.016 
58650.480 17.024 0.013 
58653.379 16.873 0.022 
58655.478 16.868 0.013 
58658.466 16.967 0.010 
58661.477 17.145 0.007 
58663.460 17.359 0.008 
58665.476 17.554 0.010 
58669.461 18.036 0.009 
58672.427 18.369 0.013 
58675.446 18.647 0.018 
58675.447 18.672 0.016 
58678.439 18.856 0.028 
58678.440 18.909 0.028 
58681.481 18.940 0.069 
58682.477 19.222 0.073 
58684.401 19.340 0.129 
58684.407 19.395 0.104 
58688.464 19.470 0.071 
58688.467 19.428 0.068 
58690.488 19.606 0.056 
58691.457 19.591 0.039 
58691.493 19.697 0.075 
58694.426 19.740 0.039 
58694.434 19.728 0.037 
58694.437 19.729 0.044 
58694.437 19.707 0.034 
58694.456 19.700 0.034 
58695.406 19.889 0.052 
58695.406 19.768 0.045 
58695.406 19.841 0.057 
58695.407 19.897 0.041 
58697.478 19.830 0.044 
58700.477 19.820 0.054 
58700.478 19.997 0.051 
58703.463 19.920 0.051 
58706.437 20.039 0.056 
58709.453 19.870 0.160 
58709.454 19.918 0.147 
58717.395 20.189 0.134 
58717.407 20.299 0.127 
58717.409 20.178 0.111 
58717.412 20.328 0.156 
58718.399 20.152 0.110 
58718.416 19.946 0.095 
58722.399 20.174 0.057 
58722.401 20.189 0.085 
58723.400 20.187 0.057 
58723.401 20.250 0.070 
58724.422 20.064 0.064 
58725.371 20.253 0.066 
58727.378 20.340 0.073 
58727.380 20.374 0.069 
58727.381 20.089 0.063 
filter ztfr
58641.479 19.129 0.048 
58644.479 18.003 0.022 
58650.425 17.076 0.012 
58652.457 16.985 0.014 
58653.442 16.992 0.012 
58655.442 16.961 0.013 
58658.413 16.981 0.012 
58661.428 17.090 0.007 
58665.442 17.315 0.007 
58666.423 17.397 0.007 
58668.372 17.472 0.011 
58669.419 17.491 0.009 
58672.463 17.580 0.008 
58674.488 17.639 0.014 
58678.478 17.739 0.011 
58681.433 17.909 0.023 
58681.439 17.930 0.025 
58688.410 18.422 0.023 
58688.437 18.422 0.027 
58691.406 18.558 0.023 
58691.420 18.525 0.022 
58694.383 18.613 0.019 
58694.400 18.697 0.019 
58695.498 18.715 0.030 
58697.412 18.766 0.022 
58697.419 18.745 0.020 
58698.434 18.833 0.022 
58700.419 18.840 0.021 
58700.424 18.939 0.024 
58700.425 18.861 0.022 
58703.418 18.974 0.023 
58706.397 19.171 0.031 
58706.398 19.063 0.039 
58712.376 19.248 0.132 
58712.407 19.149 0.124 
58716.378 19.338 0.055 
58716.389 19.483 0.063 
58716.393 19.674 0.083 
58716.393 19.412 0.062 
58717.328 19.570 0.070 
58717.464 19.725 0.113 
58719.382 19.428 0.049 
58719.383 19.556 0.053 
58720.395 19.505 0.049 
58720.396 19.444 0.048 
58722.372 19.581 0.040 
58722.373 19.605 0.057 
58724.378 19.665 0.063 
58727.326 19.787 0.076 
filter ztfi
58666.451 18.008 0.019 
58666.452 17.937 0.022 
58668.478 18.015 0.022 
58668.479 17.936 0.023 
58670.407 17.905 0.021 
58670.407 17.950 0.017 
58676.448 17.895 0.022 
58676.449 17.951 0.021 
58676.456 17.938 0.019 
58676.458 17.925 0.021 
58682.447 18.024 0.027 
58682.447 18.042 0.031 
58682.457 18.071 0.030 
58686.445 18.329 0.066 
58691.340 18.688 0.028 
58691.341 18.772 0.038 
58697.457 18.874 0.043 
58701.412 19.069 0.049 
58701.428 19.197 0.062 
58701.429 19.069 0.054 
58703.392 19.039 0.047 
58705.420 19.262 0.061 
58709.419 19.295 0.103 
58709.421 19.803 0.206 
58716.326 19.789 0.174 
58718.389 20.022 0.159 
58722.379 19.808 0.073 
58722.380 19.708 0.086 
58727.373 20.077 0.118 
58727.374 20.006 0.137 
