ZTF19abdlqbu 0.1272296 194.953925 41.271341
filter ztfg
58665.196 19.976 0.057 
58668.194 19.322 0.029 
58674.200 19.004 0.050 
58677.182 19.085 0.060 
58677.182 18.902 0.049 
58678.263 18.926 0.081 
58679.181 18.985 0.062 
58680.178 19.294 0.133 
58680.179 19.179 0.131 
58683.174 19.300 0.051 
58683.176 19.224 0.054 
58684.208 19.334 0.050 
58685.182 19.332 0.041 
58686.174 19.465 0.058 
58686.177 19.403 0.057 
58688.198 19.627 0.063 
58690.199 19.691 0.064 
58693.249 19.974 0.142 
filter ztfr
58660.222 21.534 0.255 
58665.268 20.247 0.106 
58668.188 19.606 0.051 
58671.202 19.322 0.115 
58674.218 19.196 0.052 
58677.196 19.113 0.052 
58677.197 19.124 0.053 
58679.197 19.156 0.065 
58680.242 19.204 0.110 
58680.243 19.196 0.098 
58681.240 19.226 0.119 
58682.246 19.222 0.086 
58690.175 19.659 0.076 
