ZTF19abdvpfj 0.09265461 247.810802 34.366661
filter ztfg
58672.303 19.324 0.029 
58672.330 19.323 0.029 
58673.309 19.243 0.031 
58674.332 19.048 0.033 
58675.298 18.909 0.037 
58675.310 18.973 0.042 
58675.353 18.935 0.038 
58676.306 18.842 0.044 
58676.323 18.841 0.044 
58678.269 18.802 0.055 
58684.203 18.785 0.027 
58684.204 18.786 0.021 
58684.229 18.739 0.038 
58685.190 18.786 0.021 
58686.188 18.839 0.041 
58686.199 18.755 0.027 
58686.287 18.791 0.027 
58690.277 18.982 0.022 
58691.225 19.095 0.027 
58693.238 19.330 0.041 
58693.271 19.245 0.037 
58693.287 19.295 0.038 
58694.226 19.373 0.031 
58696.261 19.558 0.039 
58700.258 19.955 0.068 
58704.158 20.358 0.114 
58705.261 20.421 0.166 
58708.156 20.794 0.289 
58708.176 20.609 0.280 
58708.178 20.338 0.231 
58715.161 21.157 0.157 
58716.166 21.429 0.200 
58732.187 21.003 0.241 
filter ztfr
58669.317 20.124 0.067 
58669.326 20.153 0.068 
58670.299 19.831 0.060 
58675.240 19.122 0.043 
58675.241 19.114 0.041 
58677.228 18.996 0.038 
58677.228 18.934 0.040 
58680.264 18.917 0.045 
58680.265 18.878 0.044 
58680.285 18.802 0.038 
58681.267 18.888 0.053 
58681.285 18.818 0.044 
58682.253 18.824 0.033 
58685.324 18.870 0.034 
58686.298 18.871 0.030 
58690.183 18.956 0.024 
58696.340 19.351 0.048 
58707.164 19.700 0.080 
58707.165 19.511 0.059 
58707.165 19.574 0.059 
58709.259 19.668 0.091 
58711.285 19.614 0.118 
58711.310 19.952 0.170 
58724.139 20.400 0.119 
58724.159 20.623 0.128 
58725.238 20.478 0.119 
58727.145 20.506 0.120 
58727.146 20.565 0.106 
58728.200 20.809 0.161 
58728.232 20.358 0.127 
58732.214 20.670 0.236 
58733.247 20.365 0.203 
58734.142 20.614 0.164 
filter ztfi
58669.308 20.117 0.131 
58678.170 19.497 0.093 
58690.328 19.795 0.088 
58696.173 19.987 0.093 
58706.163 20.004 0.124 
58710.241 19.724 0.125 
58733.142 20.441 0.189 
