ZTF19abfvovo 0.05967807 345.931319 37.427401
filter ztfg
58674.458 21.337 0.164 
58675.455 21.030 0.110 
58677.451 20.272 0.054 
58677.452 20.452 0.067 
58678.458 20.162 0.059 
58680.471 19.635 0.099 
58680.472 19.594 0.094 
58681.477 19.689 0.113 
58683.466 19.390 0.078 
58683.467 19.534 0.085 
58684.410 19.260 0.073 
58685.462 19.524 0.083 
58686.467 19.179 0.052 
58686.468 19.122 0.045 
58688.453 19.153 0.035 
58690.446 19.207 0.027 
58690.446 19.224 0.029 
58691.447 19.253 0.030 
58693.409 19.413 0.026 
58693.410 19.365 0.027 
58694.420 19.390 0.027 
58695.421 19.480 0.030 
58696.410 19.483 0.026 
58696.411 19.591 0.028 
58698.444 19.652 0.033 
58699.434 19.912 0.053 
58699.435 19.674 0.042 
58704.399 20.235 0.080 
58705.405 20.259 0.068 
58706.424 20.511 0.073 
58706.425 20.479 0.086 
58707.427 20.422 0.096 
58708.466 20.543 0.118 
58709.478 20.717 0.226 
58709.479 20.401 0.169 
58720.404 21.293 0.195 
58723.405 21.677 0.191 
58734.390 21.853 0.312 
58736.448 21.798 0.290 
58736.449 21.710 0.285 
filter ztfr
58674.473 21.195 0.159 
58676.473 20.367 0.076 
58677.302 20.153 0.109 
58677.303 20.184 0.108 
58678.467 19.789 0.039 
58679.476 19.599 0.043 
58681.410 19.322 0.068 
58681.411 19.327 0.073 
58681.427 19.284 0.067 
58682.399 19.181 0.047 
58683.406 19.012 0.055 
58683.406 19.025 0.042 
58683.445 19.154 0.042 
58683.447 19.201 0.044 
58684.457 18.947 0.045 
58685.421 18.988 0.027 
58685.427 18.976 0.033 
58685.428 19.034 0.065 
58686.402 18.984 0.036 
58688.405 18.929 0.021 
58690.404 18.873 0.018 
58690.405 18.910 0.019 
58691.386 18.947 0.017 
58692.340 18.906 0.021 
58693.382 19.001 0.018 
58693.388 18.953 0.019 
58694.382 19.023 0.018 
58695.471 19.164 0.025 
58696.381 19.090 0.020 
58696.386 19.103 0.019 
58697.405 19.148 0.022 
58698.412 19.254 0.046 
58700.408 19.355 0.027 
58701.391 19.348 0.029 
58703.415 19.563 0.033 
58703.416 19.532 0.032 
58704.470 19.495 0.039 
58705.454 19.588 0.036 
58706.414 19.669 0.034 
58706.415 19.665 0.043 
58707.476 19.597 0.033 
58708.488 19.645 0.048 
58710.377 19.648 0.099 
58711.371 14.566 0.291 
58711.371 14.721 0.290 
58711.377 19.737 0.080 
58712.357 19.818 0.123 
58712.358 19.674 0.122 
58712.389 14.301 0.233 
58712.390 14.622 0.289 
58713.362 19.756 0.092 
58714.368 19.677 0.076 
58715.371 19.731 0.069 
58715.372 19.684 0.055 
58716.406 15.690 0.296 
58717.323 19.851 0.063 
58719.392 15.545 0.311 
58724.402 20.357 0.102 
58726.306 20.429 0.111 
58727.332 20.644 0.087 
58730.409 20.898 0.122 
58730.410 20.498 0.085 
58733.383 20.881 0.130 
58733.388 20.698 0.110 
58734.372 20.910 0.138 
58735.389 20.913 0.141 
58736.381 20.934 0.220 
58736.381 20.931 0.241 
58736.404 21.309 0.244 
58736.413 20.609 0.161 
58739.373 20.843 0.298 
58739.373 20.716 0.259 
58740.365 20.236 0.211 
58741.170 20.254 0.184 
58745.171 21.215 0.172 
58745.368 21.077 0.305 
58748.170 20.679 0.205 
58748.339 21.210 0.239 
58757.224 21.596 0.209 
58757.254 21.208 0.292 
