ZTF19abgcbey 0.05873088 272.610122 43.754849
filter ztfg
58674.319 21.840 0.306 
58675.327 20.949 0.190 
58675.344 20.761 0.135 
58675.345 21.493 0.257 
58676.304 20.551 0.164 
58676.328 20.535 0.156 
58677.324 20.097 0.113 
58677.342 20.189 0.135 
58678.280 19.926 0.105 
58678.281 19.770 0.090 
58678.297 19.866 0.106 
58678.328 19.738 0.145 
58678.329 19.961 0.180 
58679.288 19.620 0.093 
58679.304 19.421 0.075 
58679.310 19.392 0.127 
58679.311 19.655 0.146 
58679.322 19.548 0.088 
58680.188 19.427 0.095 
58680.205 19.348 0.077 
58680.218 19.250 0.070 
58681.182 19.202 0.086 
58681.201 19.148 0.077 
58681.220 19.025 0.067 
58681.221 19.060 0.068 
58682.184 18.853 0.036 
58682.197 18.913 0.043 
58682.219 18.926 0.045 
58683.186 18.725 0.023 
58683.200 18.751 0.026 
58684.220 18.690 0.024 
58684.221 18.638 0.022 
58685.173 18.608 0.021 
58685.200 18.553 0.015 
58686.185 18.526 0.014 
58686.203 18.524 0.016 
58686.290 18.428 0.018 
58688.307 18.466 0.014 
58690.209 18.381 0.011 
58690.282 18.439 0.014 
58691.211 18.424 0.013 
58691.309 18.473 0.014 
58691.310 18.434 0.013 
58692.228 18.471 0.014 
58693.242 18.584 0.020 
58693.260 18.511 0.013 
58693.276 18.564 0.021 
58696.270 18.663 0.015 
58696.333 18.630 0.015 
58697.192 18.762 0.017 
58699.194 18.918 0.034 
58700.267 18.920 0.020 
58700.268 18.930 0.020 
58703.191 19.226 0.043 
58704.330 19.567 0.071 
58705.255 19.396 0.050 
58706.181 19.568 0.070 
58706.182 19.454 0.060 
58707.258 19.740 0.127 
58708.187 19.762 0.090 
58708.342 19.767 0.174 
58709.156 19.721 0.098 
58709.157 19.612 0.085 
58709.178 19.897 0.127 
58710.159 20.074 0.135 
58710.229 19.787 0.121 
58711.166 19.915 0.096 
58712.162 19.915 0.072 
58712.162 20.161 0.092 
58712.183 19.957 0.098 
58712.196 19.931 0.095 
58714.166 20.311 0.075 
58715.166 20.201 0.067 
58715.249 20.244 0.100 
58715.250 20.297 0.106 
58716.163 20.457 0.087 
58716.178 20.336 0.071 
58716.267 20.442 0.128 
58718.166 20.543 0.094 
58718.184 20.571 0.091 
58718.268 20.625 0.106 
58718.269 20.792 0.107 
58719.250 20.809 0.292 
58719.308 20.329 0.128 
58720.164 20.511 0.098 
58720.181 20.667 0.102 
58720.268 20.637 0.111 
58723.165 20.865 0.127 
58723.174 21.234 0.154 
58723.175 20.768 0.128 
58723.268 20.873 0.114 
58724.180 20.950 0.124 
58724.264 21.085 0.152 
58725.186 20.863 0.121 
58725.197 20.972 0.144 
58727.157 20.756 0.114 
58727.183 21.028 0.134 
58727.185 20.993 0.130 
58728.172 21.271 0.178 
58732.151 21.097 0.226 
58732.185 21.134 0.203 
58732.192 20.950 0.177 
58733.172 21.350 0.254 
58733.192 20.496 0.126 
58734.191 21.064 0.304 
58734.192 20.948 0.283 
58737.139 21.100 0.282 
58737.140 21.137 0.293 
58745.141 21.274 0.169 
58747.132 21.092 0.175 
58747.133 21.151 0.164 
58747.307 20.820 0.309 
58750.146 21.088 0.190 
58757.197 21.047 0.185 
58758.142 21.229 0.189 
filter ztfr
58675.266 20.975 0.178 
58675.267 21.054 0.182 
58676.234 20.386 0.202 
58676.234 20.280 0.174 
58676.257 20.260 0.118 
58677.250 20.023 0.110 
58677.263 19.763 0.073 
58678.219 19.594 0.062 
58678.243 19.551 0.072 
58679.243 19.439 0.063 
58680.284 19.105 0.062 
58680.313 19.242 0.078 
58681.261 19.136 0.066 
58681.295 18.993 0.048 
58681.312 18.960 0.061 
58681.312 19.042 0.068 
58682.280 18.837 0.038 
58684.178 18.537 0.021 
58685.328 18.539 0.025 
58686.304 18.421 0.022 
58686.326 18.474 0.023 
58688.365 18.351 0.019 
58688.392 18.334 0.021 
58690.362 18.242 0.016 
58691.184 18.249 0.014 
58691.201 18.284 0.013 
58692.326 18.227 0.015 
58693.220 18.235 0.019 
58694.200 18.162 0.014 
58696.346 18.386 0.015 
58697.179 18.366 0.015 
58697.385 18.463 0.019 
58698.407 18.534 0.034 
58700.185 18.546 0.019 
58700.383 18.508 0.019 
58703.179 18.715 0.027 
58703.180 18.767 0.033 
58704.182 18.695 0.024 
58705.185 18.756 0.031 
58707.159 18.838 0.034 
58709.268 18.859 0.052 
58709.269 18.795 0.040 
58711.309 18.863 0.051 
58712.246 18.936 0.041 
58713.244 18.986 0.045 
58714.361 19.087 0.071 
58715.328 18.982 0.042 
58715.329 18.964 0.040 
58716.374 19.123 0.063 
58719.319 19.245 0.060 
58720.374 19.251 0.076 
58724.151 19.395 0.034 
58725.245 19.583 0.049 
58727.134 19.539 0.067 
58727.135 19.729 0.080 
58728.218 19.735 0.059 
58730.135 19.651 0.063 
58731.132 19.987 0.105 
58732.236 19.975 0.087 
58733.237 19.830 0.075 
58734.137 20.045 0.099 
58734.325 20.254 0.201 
58735.250 19.947 0.109 
58737.185 20.372 0.189 
58745.124 20.093 0.083 
58747.260 20.332 0.161 
58751.141 20.539 0.155 
58754.134 20.708 0.119 
58758.283 20.760 0.308 
filter ztfi
58679.261 19.593 0.084 
58688.339 18.938 0.046 
58692.306 18.859 0.039 
58703.384 19.283 0.068 
58710.244 19.187 0.078 
58715.308 19.377 0.084 
58719.153 19.183 0.063 
58725.227 19.753 0.094 
58733.140 20.011 0.120 
58747.122 20.202 0.182 
