ZTF19abheamc 0.03329302 7.21544 -1.073522
filter ztfg
58684.404 19.312 0.139 
58690.477 17.023 0.007 
58690.478 17.028 0.007 
58691.475 16.824 0.005 
58693.423 16.531 0.005 
58693.426 16.517 0.005 
58694.460 16.373 0.004 
58695.426 16.269 0.004 
58696.432 16.208 0.004 
58696.435 16.190 0.004 
58697.462 16.124 0.003 
58698.456 16.060 0.005 
58699.440 16.048 0.004 
58699.440 16.063 0.005 
58701.453 16.007 0.003 
58703.500 16.030 0.004 
58705.482 16.073 0.004 
58706.439 16.119 0.005 
58708.459 16.247 0.005 
58709.463 16.282 0.007 
58709.464 16.285 0.007 
58719.483 17.051 0.009 
58722.417 17.254 0.006 
58725.376 17.494 0.007 
58730.470 17.899 0.015 
58733.441 18.078 0.016 
58743.379 18.804 0.121 
58746.393 18.764 0.050 
58749.320 18.734 0.026 
58760.352 18.948 0.035 
58763.378 19.045 0.036 
filter ztfr
58684.485 19.332 0.085 
58690.418 17.248 0.007 
58690.421 17.282 0.008 
58691.437 17.076 0.007 
58693.462 16.772 0.004 
58693.464 16.719 0.004 
58694.415 16.652 0.004 
58695.462 16.577 0.006 
58696.463 16.457 0.003 
58699.378 16.316 0.004 
58699.379 16.338 0.005 
58700.457 16.337 0.004 
58703.459 16.284 0.003 
58704.478 16.318 0.004 
58705.459 16.282 0.004 
58706.400 16.287 0.004 
58706.401 16.346 0.004 
58707.466 16.362 0.003 
58709.392 16.438 0.008 
58709.393 16.449 0.006 
58710.422 16.506 0.007 
58711.419 16.590 0.008 
58712.418 16.684 0.012 
58712.419 16.667 0.012 
58716.418 16.940 0.007 
58716.420 16.882 0.008 
58719.398 17.084 0.007 
58725.483 17.101 0.007 
58730.401 17.170 0.006 
58733.399 17.263 0.006 
58736.397 17.416 0.010 
58739.355 17.619 0.027 
58743.369 17.728 0.035 
58749.296 18.052 0.016 
58757.322 18.366 0.031 
58760.296 18.526 0.022 
58763.314 18.516 0.022 
filter ztfi
58738.404 17.698 0.022 
58743.461 18.195 0.117 
58748.291 18.273 0.033 
58757.354 18.652 0.031 
58761.316 18.849 0.048 
