ZTF19abidbqp 0.04016 26.546341 -16.284619
filter ztfg
58688.480 18.579 0.053 
58690.482 18.613 0.035 
58691.481 18.653 0.038 
58694.440 18.736 0.024 
58694.440 18.675 0.019 
58695.440 18.664 0.028 
58695.441 18.722 0.024 
58695.459 18.808 0.025 
58696.434 18.669 0.027 
58698.455 18.714 0.023 
58698.460 18.772 0.025 
58701.460 18.727 0.028 
58704.418 18.856 0.043 
58706.460 18.837 0.025 
58707.416 18.681 0.045 
58709.456 18.776 0.061 
58714.461 18.835 0.077 
58719.482 18.896 0.046 
58719.482 18.823 0.043 
filter ztfr
58688.421 18.728 0.118 
58690.423 18.812 0.072 
58692.485 18.794 0.072 
58692.486 18.858 0.073 
58693.481 18.794 0.043 
58694.483 18.916 0.054 
58694.483 18.913 0.049 
58695.480 18.925 0.045 
58695.480 18.902 0.056 
58695.490 18.936 0.064 
58696.480 18.899 0.044 
58701.500 18.986 0.136 
58704.480 18.919 0.075 
58706.481 18.928 0.077 
58707.501 18.825 0.053 
58711.420 19.074 0.133 
58711.420 18.926 0.123 
58711.421 18.875 0.149 
58713.397 18.971 0.209 
58714.418 18.795 0.153 
58716.459 18.963 0.109 
58716.497 19.109 0.170 
58719.460 19.014 0.073 
58719.460 19.019 0.116 
filter ztfi
58703.391 18.833 0.059 
58713.419 19.201 0.230 
58718.390 18.910 0.081 
