ZTF19abimkwn 0.059 336.193963 43.549621
filter ztfg
58686.466 20.216 0.132 
58690.306 18.609 0.015 
58693.407 18.031 0.013 
58696.408 17.630 0.006 
58699.433 17.475 0.007 
58704.413 17.603 0.009 
58704.413 17.613 0.008 
58705.408 17.542 0.007 
58708.400 17.495 0.013 
58708.400 17.483 0.012 
58708.444 17.724 0.016 
58712.470 17.914 0.025 
58717.385 18.297 0.018 
58717.434 18.007 0.016 
58717.435 18.048 0.019 
58718.434 18.512 0.023 
58718.434 18.491 0.021 
58722.408 18.737 0.016 
58723.405 18.819 0.019 
58723.442 18.902 0.019 
58723.443 18.888 0.018 
58725.322 18.991 0.019 
58725.425 19.139 0.023 
58725.425 19.047 0.022 
58726.429 19.170 0.029 
58726.430 19.118 0.027 
58727.385 19.170 0.024 
58730.306 19.319 0.030 
58730.307 19.415 0.034 
58732.389 19.517 0.034 
58734.391 19.739 0.057 
58734.495 19.922 0.151 
58734.496 19.961 0.130 
58735.406 19.854 0.055 
58736.447 19.902 0.058 
58736.450 19.951 0.068 
58737.442 20.365 0.215 
58737.443 19.895 0.153 
58737.472 19.998 0.077 
58738.199 19.957 0.195 
58739.198 20.021 0.203 
58741.195 19.872 0.137 
58743.196 20.080 0.131 
58744.195 20.256 0.130 
58745.195 20.147 0.070 
58747.195 20.187 0.079 
58748.193 20.453 0.106 
58749.195 20.210 0.068 
58750.196 20.520 0.143 
58751.193 20.400 0.089 
58754.193 20.347 0.077 
58757.166 20.666 0.118 
58757.379 20.460 0.140 
58758.210 20.571 0.111 
58760.194 20.545 0.101 
58761.193 20.652 0.153 
58762.192 20.447 0.132 
58762.262 20.457 0.109 
58762.263 20.315 0.104 
58763.194 20.349 0.111 
58764.264 20.542 0.158 
58764.265 20.710 0.162 
58764.339 20.552 0.150 
58765.260 20.913 0.228 
58765.261 20.428 0.143 
58766.262 20.653 0.234 
58766.262 20.795 0.250 
58774.188 20.572 0.169 
filter ztfr
58685.434 19.194 0.053 
58685.434 19.280 0.055 
58690.406 18.619 0.017 
58693.383 18.064 0.009 
58695.346 17.642 0.009 
58695.347 17.649 0.010 
58696.381 17.774 0.007 
58699.385 17.622 0.007 
58700.436 17.480 0.006 
58700.437 17.444 0.006 
58704.193 17.529 0.012 
58704.193 17.562 0.012 
58704.216 17.579 0.014 
58704.225 17.524 0.012 
58704.226 17.582 0.013 
58704.238 17.567 0.011 
58704.255 17.586 0.012 
58704.255 17.596 0.011 
58705.290 17.591 0.010 
58705.290 17.537 0.010 
58705.315 17.619 0.011 
58705.324 17.642 0.012 
58705.335 17.586 0.009 
58705.350 17.615 0.008 
58705.351 17.661 0.011 
58705.453 17.601 0.008 
58706.253 17.608 0.012 
58706.254 17.554 0.011 
58706.275 17.583 0.010 
58706.309 17.609 0.011 
58706.336 17.672 0.011 
58706.337 17.667 0.012 
58706.350 17.495 0.008 
58706.350 17.471 0.008 
58707.276 17.703 0.015 
58707.277 17.709 0.015 
58707.308 17.623 0.011 
58707.320 17.643 0.013 
58707.324 17.698 0.017 
58707.335 17.679 0.013 
58707.348 17.678 0.012 
58707.349 17.613 0.011 
58708.255 17.684 0.016 
58708.255 17.692 0.014 
58708.273 17.660 0.016 
58708.293 17.669 0.015 
58708.302 17.663 0.012 
58708.325 17.667 0.012 
58708.325 17.627 0.011 
58708.487 17.709 0.009 
58709.283 17.730 0.016 
58709.283 17.676 0.015 
58709.299 17.748 0.020 
58709.309 17.751 0.017 
58709.351 17.746 0.017 
58709.351 17.770 0.016 
58710.263 17.734 0.023 
58710.263 17.803 0.021 
58710.292 17.772 0.019 
58710.304 17.824 0.021 
58710.317 17.811 0.023 
58710.327 17.732 0.015 
58710.328 17.764 0.017 
58711.329 17.733 0.020 
58711.329 17.685 0.020 
58712.253 17.983 0.021 
58712.254 17.962 0.022 
58712.293 17.989 0.017 
58712.300 18.051 0.023 
58712.317 17.944 0.018 
58712.390 17.746 0.015 
58712.390 17.776 0.017 
58713.308 18.042 0.022 
58713.311 18.058 0.020 
58713.319 18.012 0.020 
58714.262 18.041 0.018 
58714.263 18.041 0.017 
58714.275 18.021 0.015 
58714.294 18.091 0.017 
58714.295 18.112 0.018 
58714.311 18.118 0.020 
58714.331 18.035 0.016 
58714.332 18.087 0.017 
58714.417 17.870 0.019 
58715.368 18.183 0.020 
58715.409 17.949 0.018 
58715.410 17.897 0.018 
58716.407 17.979 0.014 
58716.408 17.978 0.013 
58717.322 18.283 0.018 
58719.333 18.479 0.030 
58719.392 18.088 0.015 
58719.393 18.092 0.016 
58722.318 18.442 0.014 
58723.379 18.449 0.015 
58726.317 18.197 0.017 
58726.317 18.125 0.012 
58728.264 18.569 0.024 
58728.264 18.173 0.017 
58730.390 18.512 0.017 
58730.392 18.546 0.019 
58733.383 18.676 0.021 
58733.389 18.671 0.021 
58734.372 18.645 0.026 
58735.161 18.694 0.044 
58735.161 18.725 0.036 
58735.194 18.699 0.029 
58735.198 18.729 0.031 
58735.211 18.757 0.029 
58735.390 18.664 0.024 
58736.405 18.767 0.031 
58736.414 18.782 0.035 
58737.191 18.869 0.063 
58737.191 18.903 0.056 
58737.245 18.799 0.056 
58737.246 18.831 0.055 
58737.256 18.786 0.033 
58737.263 18.901 0.040 
58737.267 18.937 0.058 
58737.276 18.913 0.051 
58737.323 18.930 0.054 
58738.167 18.846 0.055 
58738.267 18.832 0.056 
58738.267 18.956 0.054 
58738.273 18.899 0.054 
58738.276 18.849 0.056 
58738.287 18.835 0.048 
58738.296 18.856 0.051 
58738.312 18.973 0.050 
58738.324 18.896 0.053 
58738.325 18.894 0.045 
58739.166 19.296 0.105 
58739.255 18.894 0.056 
58739.256 18.924 0.061 
58739.275 18.999 0.070 
58739.276 18.895 0.067 
58739.299 19.037 0.074 
58739.311 18.908 0.067 
58739.313 18.888 0.059 
58739.332 18.925 0.058 
58739.333 18.996 0.064 
58739.364 19.004 0.063 
58739.364 18.941 0.051 
58740.166 19.154 0.090 
58740.275 19.133 0.080 
58740.275 19.028 0.067 
58740.301 19.076 0.076 
58740.307 18.919 0.064 
58740.307 19.022 0.069 
58740.330 19.043 0.067 
58740.330 19.113 0.068 
58740.339 18.979 0.075 
58740.339 19.083 0.070 
58741.166 19.054 0.055 
58741.252 19.011 0.086 
58741.253 19.128 0.082 
58741.283 18.935 0.059 
58741.286 19.146 0.089 
58741.291 19.103 0.086 
58741.294 18.971 0.075 
58741.332 19.028 0.059 
58741.333 18.873 0.053 
58741.371 19.157 0.067 
58741.371 18.966 0.056 
58743.167 19.176 0.054 
58743.265 19.138 0.071 
58743.266 19.318 0.088 
58743.270 19.152 0.072 
58743.278 19.397 0.113 
58743.294 19.194 0.069 
58743.312 19.284 0.084 
58743.322 19.208 0.069 
58743.323 19.259 0.083 
58744.165 19.213 0.039 
58744.268 19.181 0.053 
58744.268 19.317 0.057 
58744.276 19.280 0.080 
58744.294 19.224 0.056 
58744.301 19.178 0.050 
58744.301 19.216 0.052 
58744.303 19.267 0.055 
58744.313 19.310 0.056 
58744.327 19.226 0.057 
58744.327 19.320 0.062 
58744.407 19.156 0.077 
58744.408 19.325 0.084 
58745.166 19.266 0.036 
58745.252 19.385 0.050 
58745.253 19.283 0.044 
58745.289 19.223 0.045 
58745.300 19.375 0.057 
58745.302 19.234 0.050 
58745.312 19.383 0.059 
58745.312 19.306 0.052 
58745.319 19.240 0.050 
58745.323 19.293 0.054 
58745.323 19.493 0.078 
58745.372 19.333 0.072 
58745.372 19.427 0.077 
58746.191 19.263 0.050 
58747.166 19.258 0.036 
58748.165 19.475 0.071 
58748.341 18.724 0.029 
58748.341 18.718 0.028 
58749.167 19.412 0.043 
58750.167 19.527 0.084 
58751.165 19.466 0.051 
58751.324 18.808 0.032 
58751.324 18.751 0.027 
58754.164 19.638 0.046 
58757.224 19.778 0.055 
58758.173 19.768 0.084 
58759.320 19.984 0.080 
58759.321 20.018 0.087 
58760.166 19.724 0.053 
58760.311 18.895 0.031 
58760.311 18.935 0.037 
58761.165 19.822 0.071 
58762.164 19.914 0.083 
58763.166 19.796 0.074 
58764.406 19.791 0.082 
58771.263 20.129 0.197 
58774.206 20.106 0.124 
