ZTF19abinjcy 0.08445144 272.772626 69.59265
filter ztfg
58688.328 20.271 0.105 
58688.329 20.360 0.119 
58691.302 19.451 0.035 
58693.267 19.150 0.029 
58693.283 19.224 0.030 
58695.308 19.015 0.028 
58696.264 18.909 0.021 
58696.265 18.946 0.022 
58696.309 18.943 0.021 
58696.313 18.918 0.020 
58697.328 18.832 0.023 
58697.332 18.868 0.020 
58699.311 18.786 0.023 
58699.315 18.849 0.024 
58700.262 18.853 0.020 
58700.263 18.866 0.023 
58700.308 18.822 0.020 
58700.312 18.847 0.019 
58701.311 18.847 0.024 
58701.316 18.846 0.021 
58702.311 18.880 0.023 
58702.315 18.843 0.021 
58703.192 18.887 0.046 
58703.311 18.892 0.025 
58703.315 18.882 0.021 
58704.306 18.957 0.038 
58704.311 18.824 0.032 
58704.384 18.974 0.040 
58704.384 18.919 0.037 
58704.401 18.937 0.039 
58704.402 18.870 0.034 
58705.225 18.888 0.041 
58705.229 18.997 0.038 
58705.410 18.878 0.032 
58705.410 18.988 0.037 
58706.179 19.023 0.043 
58706.180 18.959 0.043 
58706.228 18.876 0.046 
58706.232 18.912 0.032 
58707.225 19.035 0.064 
58707.229 19.000 0.059 
58707.406 19.111 0.055 
58707.407 19.023 0.051 
58707.429 18.975 0.044 
58707.458 19.087 0.044 
58708.165 19.055 0.057 
58708.184 18.953 0.058 
58708.226 19.115 0.068 
58708.230 19.055 0.067 
58708.391 19.053 0.076 
58708.392 19.004 0.070 
58708.429 19.163 0.093 
58708.447 18.928 0.073 
58709.159 19.282 0.084 
58709.179 19.190 0.066 
58709.226 19.100 0.062 
58709.230 19.141 0.060 
58710.157 19.168 0.065 
58710.161 19.184 0.078 
58710.214 19.134 0.074 
58710.214 19.269 0.088 
58710.224 19.047 0.074 
58710.226 19.129 0.082 
58711.213 19.279 0.070 
58711.214 19.281 0.078 
58711.250 19.320 0.082 
58711.262 19.090 0.068 
58711.264 18.955 0.071 
58714.164 19.424 0.035 
58714.214 19.405 0.054 
58714.214 19.466 0.053 
58715.299 19.469 0.072 
58715.361 19.622 0.097 
58715.362 19.623 0.091 
58716.318 19.530 0.072 
58716.319 19.583 0.078 
58716.362 19.431 0.076 
58716.363 19.544 0.086 
58717.299 19.696 0.080 
58717.300 19.623 0.071 
58717.361 19.638 0.098 
58717.361 19.767 0.096 
58718.319 19.950 0.117 
58718.319 19.846 0.094 
58718.353 19.796 0.098 
58718.354 19.603 0.069 
58718.362 19.877 0.105 
58718.363 19.829 0.113 
58719.247 19.772 0.082 
58719.248 19.720 0.096 
58719.300 19.795 0.084 
58719.300 19.906 0.094 
58719.353 20.081 0.136 
58719.354 19.818 0.140 
58719.361 19.779 0.129 
58719.362 19.906 0.136 
58720.318 19.944 0.073 
58720.318 19.953 0.071 
58720.353 20.085 0.109 
58720.354 19.953 0.080 
58720.362 19.868 0.086 
58720.363 19.944 0.091 
58722.298 19.980 0.074 
58722.298 20.166 0.086 
58722.353 19.919 0.090 
58722.354 19.965 0.071 
58722.361 19.986 0.080 
58722.362 20.061 0.076 
58723.320 20.083 0.089 
58723.320 20.260 0.097 
58723.353 20.018 0.094 
58723.354 20.443 0.104 
58723.361 20.095 0.079 
58723.362 20.062 0.082 
58724.320 20.423 0.120 
58724.320 20.349 0.116 
58724.354 20.246 0.125 
58724.355 20.160 0.100 
58724.363 20.189 0.113 
58724.364 20.191 0.114 
58725.180 20.498 0.136 
58725.181 20.328 0.083 
58725.202 20.364 0.083 
58725.203 20.368 0.098 
58725.296 20.201 0.076 
58725.297 20.201 0.079 
58725.354 20.175 0.105 
58725.355 20.536 0.130 
58725.362 20.225 0.099 
58725.363 20.505 0.141 
58726.297 20.248 0.104 
58726.298 20.475 0.132 
58726.353 20.632 0.165 
58726.354 20.518 0.130 
58726.361 20.540 0.140 
58726.362 20.307 0.124 
58727.164 20.416 0.093 
58727.167 20.424 0.083 
58727.174 20.574 0.098 
58727.179 20.228 0.082 
58727.180 20.548 0.098 
58727.269 20.422 0.097 
58727.270 20.399 0.103 
58727.319 20.499 0.119 
58727.319 20.433 0.106 
58727.353 20.322 0.117 
58727.354 20.552 0.127 
58727.361 20.378 0.126 
58727.362 20.324 0.117 
58728.184 20.404 0.100 
58730.296 20.564 0.159 
58730.297 20.533 0.149 
58730.312 20.869 0.178 
58730.363 20.753 0.183 
58732.155 21.050 0.221 
58732.156 20.435 0.140 
58732.178 20.773 0.172 
58732.179 20.600 0.131 
58732.194 20.913 0.191 
58732.197 20.670 0.143 
58732.197 20.631 0.150 
58732.294 20.974 0.160 
58732.295 20.634 0.134 
58732.355 20.717 0.170 
58732.362 20.940 0.238 
58733.163 20.543 0.151 
58733.309 21.196 0.272 
58733.310 21.033 0.237 
58733.312 20.880 0.239 
58733.330 20.994 0.239 
58733.330 20.828 0.203 
58733.331 20.832 0.214 
58733.354 21.134 0.261 
58733.362 20.892 0.229 
58734.194 20.727 0.249 
58734.195 20.589 0.208 
58734.225 20.820 0.295 
58735.294 20.593 0.223 
58737.144 20.722 0.230 
58739.232 20.695 0.305 
58739.241 20.528 0.268 
58745.146 21.216 0.188 
filter ztfr
58688.385 20.299 0.123 
58688.386 20.545 0.130 
58690.349 19.666 0.050 
58690.367 19.671 0.059 
58691.182 19.540 0.042 
58691.381 19.549 0.059 
58692.332 19.438 0.051 
58692.333 19.372 0.040 
58693.217 19.270 0.037 
58693.218 19.211 0.034 
58694.203 19.142 0.032 
58694.204 19.138 0.029 
58695.278 19.126 0.051 
58696.280 18.996 0.024 
58696.284 18.907 0.023 
58696.358 18.973 0.025 
58696.359 18.974 0.029 
58697.302 18.978 0.026 
58697.306 18.971 0.025 
58697.402 18.976 0.035 
58698.410 18.915 0.056 
58699.283 18.862 0.025 
58699.287 18.866 0.027 
58700.279 18.822 0.021 
58700.284 18.849 0.024 
58700.412 18.811 0.029 
58700.412 18.851 0.027 
58701.283 18.799 0.029 
58701.287 18.816 0.024 
58702.283 18.783 0.024 
58702.287 18.793 0.028 
58703.176 18.845 0.034 
58703.177 18.853 0.036 
58703.284 18.817 0.026 
58703.289 18.758 0.025 
58704.279 18.820 0.037 
58704.283 18.870 0.038 
58705.175 18.703 0.030 
58705.176 18.891 0.037 
58705.197 18.782 0.034 
58705.201 18.803 0.030 
58706.198 18.799 0.035 
58706.204 18.898 0.034 
58706.340 18.859 0.036 
58707.179 18.874 0.035 
58707.183 18.816 0.038 
58707.196 18.833 0.032 
58707.200 18.849 0.034 
58708.198 18.985 0.049 
58708.202 19.055 0.051 
58709.197 18.999 0.043 
58709.201 18.890 0.042 
58710.188 18.954 0.046 
58710.189 19.008 0.049 
58711.188 19.029 0.044 
58711.189 19.091 0.047 
58711.300 19.064 0.051 
58714.188 19.321 0.040 
58714.189 19.225 0.034 
58714.364 19.264 0.063 
58715.273 19.265 0.044 
58715.273 19.376 0.066 
58715.346 19.267 0.063 
58715.346 19.323 0.051 
58716.294 19.385 0.055 
58716.294 19.355 0.058 
58716.347 19.357 0.053 
58716.348 19.461 0.056 
58717.273 19.356 0.047 
58717.273 19.539 0.064 
58717.346 19.377 0.068 
58717.346 19.460 0.070 
58718.294 19.512 0.061 
58718.295 19.566 0.079 
58718.335 19.694 0.097 
58718.336 19.496 0.086 
58718.343 19.575 0.057 
58718.344 19.482 0.067 
58719.273 19.611 0.137 
58719.274 19.436 0.076 
58719.334 19.470 0.113 
58719.335 19.628 0.117 
58719.343 19.764 0.095 
58719.344 19.483 0.086 
58720.293 19.589 0.057 
58720.294 19.553 0.057 
58720.335 19.568 0.062 
