ZTF19abomiel 0.06964358 276.200783 40.18967
filter ztfg
58700.268 21.707 0.205 
58700.310 21.535 0.189 
58701.314 21.312 0.155 
58701.359 21.264 0.167 
58701.367 21.152 0.159 
58701.374 21.598 0.231 
58702.313 20.632 0.093 
58702.360 20.632 0.121 
58702.368 20.643 0.135 
58703.190 20.141 0.104 
58703.313 20.121 0.057 
58703.360 20.301 0.078 
58703.368 20.169 0.069 
58704.309 20.046 0.083 
58704.330 19.823 0.075 
58704.360 19.884 0.105 
58704.368 19.937 0.087 
58704.387 19.858 0.103 
58705.228 19.585 0.064 
58705.267 19.336 0.055 
58705.267 19.349 0.054 
58705.382 19.651 0.055 
58705.390 19.690 0.063 
58706.184 19.228 0.049 
58706.230 19.271 0.049 
58706.379 19.279 0.061 
58706.387 19.320 0.058 
58707.227 19.202 0.062 
58707.259 19.172 0.070 
58707.383 19.129 0.063 
58707.391 19.040 0.057 
58707.404 19.147 0.064 
58708.229 18.959 0.050 
58708.343 19.001 0.065 
58708.380 18.923 0.071 
58708.388 18.951 0.070 
58709.155 18.839 0.041 
58709.183 18.872 0.045 
58709.228 18.894 0.047 
58709.381 18.963 0.092 
58709.389 18.958 0.091 
58710.155 18.808 0.043 
58710.156 18.697 0.037 
58710.229 18.794 0.055 
58712.164 18.655 0.024 
58712.187 18.626 0.032 
58712.200 18.657 0.030 
58715.249 18.542 0.019 
58716.161 18.619 0.014 
58716.174 18.605 0.018 
58716.175 18.597 0.014 
58716.267 18.642 0.023 
58718.186 18.732 0.017 
58718.269 18.743 0.018 
58718.271 18.723 0.022 
58719.308 18.760 0.034 
58720.183 18.825 0.020 
58720.268 18.839 0.023 
58723.163 19.120 0.023 
58723.177 19.150 0.021 
58723.180 19.165 0.024 
58723.268 19.104 0.021 
58724.180 19.243 0.024 
58724.263 19.164 0.028 
58725.185 19.337 0.030 
58725.197 19.280 0.029 
58727.165 19.565 0.033 
58727.181 19.660 0.044 
58727.183 19.706 0.037 
58728.172 19.698 0.039 
58732.152 20.305 0.105 
58732.185 20.136 0.079 
58732.201 20.216 0.087 
58733.164 20.444 0.112 
58733.172 20.280 0.107 
58733.191 20.332 0.109 
58733.192 20.071 0.094 
58734.182 20.240 0.136 
58734.192 20.469 0.201 
58734.227 20.353 0.157 
58735.143 20.859 0.209 
58735.146 20.196 0.163 
58735.146 20.228 0.158 
58736.132 20.752 0.143 
58737.143 20.904 0.222 
58737.157 20.682 0.199 
58737.158 20.537 0.175 
58738.141 20.957 0.308 
58740.136 20.412 0.218 
58743.136 21.188 0.193 
58743.137 21.409 0.214 
58744.143 21.478 0.191 
58745.141 21.287 0.170 
58747.132 21.572 0.218 
58747.133 21.019 0.149 
58758.141 21.415 0.209 
58765.103 21.027 0.247 
filter ztfr
58700.342 21.141 0.169 
58700.350 21.401 0.209 
58701.342 20.919 0.141 
58701.350 21.244 0.210 
58702.285 20.894 0.129 
58702.342 20.770 0.133 
58702.350 20.715 0.145 
58703.181 20.014 0.091 
58703.287 20.107 0.079 
58703.342 20.113 0.067 
58703.350 20.184 0.077 
58704.281 19.946 0.079 
58704.342 19.814 0.098 
58704.350 19.789 0.086 
58705.186 19.456 0.060 
58705.199 19.545 0.057 
58705.364 19.607 0.062 
58705.372 19.556 0.058 
58706.202 19.264 0.053 
58706.361 19.305 0.055 
58706.369 19.295 0.052 
58707.159 19.142 0.048 
58707.199 19.224 0.049 
58707.365 19.164 0.054 
58707.373 19.059 0.047 
58708.200 19.010 0.050 
58708.362 18.949 0.053 
58708.370 19.115 0.055 
58709.200 18.879 0.048 
58709.268 18.881 0.038 
58709.363 18.874 0.051 
58709.371 19.314 0.135 
58711.298 18.712 0.036 
58713.244 18.713 0.030 
58714.354 18.652 0.035 
58715.323 18.600 0.026 
58716.373 18.634 0.038 
58716.375 18.653 0.032 
58717.312 18.666 0.028 
58719.319 18.770 0.043 
58719.320 18.693 0.033 
58724.150 19.028 0.026 
58725.244 19.002 0.028 
58728.224 19.254 0.034 
58728.237 19.271 0.044 
58728.246 18.995 0.059 
58730.141 19.133 0.056 
58730.141 19.083 0.052 
58730.163 19.245 0.037 
58730.164 19.250 0.042 
58732.228 19.166 0.039 
58733.228 19.325 0.046 
58733.229 19.347 0.044 
58734.326 19.545 0.110 
58735.250 19.322 0.056 
58736.200 19.536 0.044 
58736.245 19.357 0.059 
58740.269 19.484 0.093 
58745.122 20.202 0.088 
58747.259 19.994 0.113 
58749.125 20.460 0.102 
58749.261 20.526 0.142 
58749.275 19.958 0.111 
58751.140 20.560 0.154 
58751.141 20.674 0.145 
58754.134 20.257 0.080 
58754.135 20.107 0.074 
58761.122 20.799 0.158 
58761.139 20.886 0.182 
58762.124 20.711 0.166 
58762.134 21.076 0.209 
58763.260 20.580 0.252 
58765.190 20.489 0.163 
58769.094 20.650 0.213 
58769.107 20.760 0.306 
58782.117 20.780 0.199 
filter ztfi
58706.152 19.569 0.114 
58710.244 19.295 0.076 
58718.381 19.688 0.138 
58724.329 19.875 0.128 
58732.323 19.602 0.105 
58736.322 19.475 0.143 
