ZTF19abqhikf 0.03173146 244.826463 42.219343
filter ztfg
58712.154 20.376 0.122 
58712.177 20.140 0.120 
58714.160 18.742 0.021 
58714.222 18.667 0.037 
58714.223 18.772 0.033 
58716.165 18.065 0.012 
58716.182 18.030 0.012 
58716.270 18.053 0.023 
58718.163 17.512 0.007 
58724.175 16.601 0.004 
58725.175 16.540 0.004 
58725.196 16.558 0.005 
58727.154 16.451 0.003 
58727.155 16.439 0.005 
58727.172 16.420 0.003 
58728.141 16.416 0.004 
58732.141 16.355 0.005 
58732.150 16.385 0.004 
58732.187 16.367 0.005 
58733.166 16.392 0.005 
58733.179 16.407 0.005 
58733.206 16.418 0.006 
58734.161 16.426 0.005 
58734.165 16.424 0.005 
58734.171 16.440 0.006 
58734.220 16.434 0.008 
58737.166 16.507 0.007 
58741.134 16.733 0.008 
58744.138 16.976 0.005 
58758.132 18.466 0.022 
58771.112 19.238 0.115 
58775.115 19.114 0.062 
58778.116 19.279 0.072 
58781.114 19.285 0.112 
58785.117 19.284 0.074 
58798.104 19.410 0.221 
filter ztfr
58725.242 16.745 0.006 
58727.143 16.607 0.005 
58727.144 16.622 0.006 
58728.201 16.602 0.005 
58731.131 16.582 0.006 
58732.216 16.554 0.006 
58733.246 16.575 0.006 
58734.140 16.592 0.006 
58737.183 16.662 0.009 
58744.125 16.985 0.007 
58749.116 17.178 0.010 
58761.116 17.523 0.012 
58765.118 17.721 0.017 
58768.121 17.942 0.031 
58771.104 18.131 0.035 
58775.095 18.184 0.027 
58781.092 18.392 0.061 
58792.111 18.817 0.073 
filter ztfi
58719.150 17.896 0.022 
58725.226 17.141 0.010 
58733.131 17.209 0.013 
