ZTF19abwouqp 0.06667389 355.241303 17.495789
filter ztfg
58730.329 20.013 0.080 
58732.383 19.443 0.035 
58733.373 19.165 0.025 
58733.374 19.204 0.029 
58735.402 18.920 0.024 
58736.442 18.775 0.022 
58736.457 18.782 0.024 
58737.435 18.642 0.043 
58737.435 18.685 0.043 
58737.475 18.711 0.024 
58738.207 18.581 0.068 
58739.206 18.436 0.072 
58740.206 18.547 0.095 
58741.203 18.407 0.080 
58743.203 18.444 0.049 
58744.202 18.559 0.043 
58745.203 18.543 0.023 
58746.455 18.577 0.039 
58746.456 18.612 0.040 
58747.203 18.698 0.022 
58748.201 18.724 0.032 
58749.203 18.741 0.023 
58750.204 18.844 0.040 
58751.201 18.923 0.028 
58754.201 19.201 0.034 
58757.181 19.448 0.046 
58760.203 20.004 0.077 
58761.202 19.871 0.083 
58762.201 19.737 0.083 
58763.202 19.856 0.080 
58764.293 20.030 0.113 
58764.294 19.982 0.116 
58764.357 19.991 0.087 
58766.368 20.304 0.237 
58766.368 20.084 0.191 
58768.310 20.030 0.263 
58781.225 20.865 0.277 
58781.225 20.846 0.221 
58783.248 21.392 0.286 
58783.248 21.343 0.259 
58788.208 21.143 0.252 
58791.200 21.249 0.279 
58791.201 21.210 0.275 
58812.160 21.638 0.280 
filter ztfr
58730.380 19.833 0.057 
58730.381 19.883 0.061 
58733.391 19.284 0.032 
58733.392 19.227 0.032 
58734.333 19.072 0.050 
58734.333 19.163 0.053 
58735.322 18.936 0.042 
58735.322 18.946 0.039 
58735.394 18.914 0.024 
58736.401 18.797 0.038 
58736.417 18.859 0.030 
58737.332 18.775 0.055 
58738.174 18.762 0.092 
58739.173 18.523 0.074 
58741.174 18.355 0.066 
58743.175 18.415 0.053 
58744.174 18.430 0.027 
58745.174 18.452 0.020 
58745.364 18.464 0.028 
58745.364 18.416 0.028 
58746.199 18.464 0.028 
58747.174 18.451 0.023 
58748.173 18.497 0.030 
58748.310 18.431 0.024 
58748.310 18.456 0.022 
58749.175 18.476 0.022 
58749.289 18.601 0.019 
58749.291 18.518 0.018 
58750.175 18.524 0.042 
58751.172 18.635 0.028 
58751.308 18.705 0.032 
58751.308 18.583 0.025 
58754.172 18.920 0.038 
58757.234 18.968 0.026 
58758.181 19.066 0.035 
58759.327 19.088 0.031 
58759.328 18.990 0.028 
58760.174 19.063 0.030 
58761.173 19.107 0.044 
58762.173 19.124 0.045 
58763.174 19.082 0.038 
58763.269 19.115 0.049 
58763.270 19.248 0.053 
58764.413 19.122 0.037 
58767.206 19.235 0.208 
58770.324 19.004 0.110 
58770.324 19.489 0.156 
58771.269 19.309 0.106 
58771.301 19.233 0.119 
58771.301 19.189 0.111 
58773.252 19.211 0.137 
58774.197 19.268 0.056 
58774.211 19.292 0.065 
58774.211 19.457 0.070 
58775.352 19.422 0.057 
58775.353 19.464 0.059 
58776.303 19.379 0.075 
58776.304 19.375 0.071 
58777.204 19.514 0.057 
58777.306 19.573 0.089 
58779.221 19.645 0.068 
58779.221 19.618 0.060 
58781.245 19.850 0.101 
58785.245 20.168 0.090 
58787.185 20.453 0.255 
58787.185 20.227 0.200 
58788.213 20.425 0.150 
58790.146 20.258 0.135 
58790.154 20.150 0.140 
58790.155 19.930 0.109 
58791.110 20.261 0.116 
58792.179 20.153 0.113 
58794.121 20.149 0.182 
58797.111 20.028 0.196 
58799.214 20.484 0.295 
58806.227 20.768 0.172 
58811.145 20.936 0.192 
filter ztfi
58732.333 20.149 0.111 
58736.333 19.035 0.058 
58743.476 19.117 0.178 
58747.342 19.139 0.055 
58751.342 19.523 0.108 
58757.344 19.756 0.107 
58761.318 19.743 0.114 
58765.299 20.073 0.186 
58769.274 19.818 0.293 
