ZTF19abzzhsa 0.041043 110.549048 52.198326
filter ztfg
58746.514 20.556 0.169 
58746.514 20.780 0.206 
58749.492 19.153 0.048 
58750.447 18.981 0.062 
58756.451 18.268 0.021 
58757.380 18.217 0.028 
58758.488 18.219 0.012 
58758.489 18.213 0.013 
58759.467 18.180 0.015 
58763.443 18.319 0.019 
58765.510 18.287 0.014 
58765.510 18.241 0.014 
58766.469 18.493 0.020 
58767.442 18.582 0.056 
58767.442 18.674 0.054 
58768.450 18.579 0.045 
58768.451 18.709 0.047 
58772.346 18.807 0.177 
58775.427 19.201 0.073 
58777.491 19.699 0.088 
58777.492 19.681 0.089 
58778.512 19.649 0.097 
58778.541 19.840 0.126 
58778.541 19.849 0.153 
58788.511 20.623 0.129 
58789.459 21.613 0.311 
filter ztfr
58747.465 19.443 0.127 
58750.510 18.603 0.062 
58756.513 17.968 0.020 
58757.444 17.892 0.027 
58757.493 17.995 0.017 
58759.511 17.839 0.021 
58761.454 17.864 0.018 
58761.455 17.809 0.016 
58763.516 17.870 0.020 
58769.470 18.259 0.058 
58770.384 18.399 0.063 
58770.384 18.247 0.057 
58771.402 18.306 0.067 
58771.402 18.307 0.068 
58772.495 18.423 0.046 
58772.496 18.472 0.045 
58772.537 18.499 0.069 
58776.485 18.535 0.046 
58776.485 18.504 0.046 
58778.493 18.483 0.070 
58781.490 18.461 0.054 
58783.461 18.592 0.068 
58783.461 18.581 0.063 
58784.514 18.789 0.118 
58788.542 19.014 0.071 
58791.493 19.023 0.046 
58791.494 19.181 0.051 
58791.494 19.366 0.073 
58791.508 19.157 0.061 
58794.540 19.408 0.074 
58799.341 19.669 0.163 
58799.341 19.422 0.120 
58799.371 19.501 0.161 
58800.431 19.564 0.114 
58800.431 19.732 0.137 
58804.532 19.633 0.224 
58806.505 19.793 0.145 
58806.505 19.706 0.112 
58806.506 19.934 0.141 
58827.278 20.259 0.300 
58827.279 20.418 0.312 
58830.327 20.474 0.268 
