ZTF19acbykmk 0.061 3.735268 -23.481585
filter ztfg
58765.272 17.849 0.030 
58778.283 18.031 0.032 
58781.210 18.266 0.042 
58785.210 18.557 0.035 
58789.208 19.054 0.065 
58792.190 18.956 0.083 
58798.168 19.348 0.205 
58801.173 19.588 0.166 
58804.189 19.837 0.176 
58812.144 20.238 0.159 
filter ztfr
58761.335 18.375 0.034 
58765.356 18.006 0.031 
58773.337 17.800 0.022 
58773.337 17.802 0.023 
58778.315 17.991 0.038 
58781.290 18.093 0.049 
58785.292 18.402 0.039 
58792.168 18.518 0.050 
58801.231 18.734 0.076 
58804.231 18.681 0.081 
58837.084 20.146 0.185 
