ZTF19acgaxej 0.06799637 36.944664 -3.802122
filter ztfg
58781.391 18.107 0.022 
58790.294 18.154 0.017 
58800.215 18.823 0.121 
58803.229 19.015 0.068 
58806.342 19.201 0.058 
58811.212 20.055 0.106 
filter ztfr
58773.323 19.252 0.083 
58773.324 19.279 0.082 
58774.277 19.080 0.108 
58774.277 19.079 0.129 
58775.315 18.844 0.035 
58775.347 18.776 0.038 
58775.347 18.855 0.040 
58776.323 18.632 0.053 
58776.324 18.730 0.051 
58778.375 18.491 0.039 
58787.272 18.159 0.023 
58787.290 18.127 0.042 
58787.291 18.086 0.050 
58793.364 18.329 0.022 
58796.294 18.271 0.056 
58800.294 18.697 0.072 
58803.272 18.785 0.048 
58811.298 18.834 0.055 
58812.230 19.021 0.030 
58814.209 19.077 0.053 
58833.229 20.076 0.153 
58836.092 20.234 0.163 
58846.126 20.245 0.135 
