ZTF19acjerdh 0.0496 69.512502 17.775752
filter ztfg
58786.515 19.746 0.180 
58787.431 19.385 0.087 
58788.424 19.117 0.035 
58788.424 19.140 0.032 
58796.274 18.712 0.066 
58797.300 18.661 0.048 
58797.301 18.741 0.053 
58797.301 18.732 0.051 
58803.533 18.954 0.112 
58806.357 19.254 0.044 
58806.374 19.163 0.041 
58806.384 19.307 0.046 
58806.393 19.246 0.056 
58811.269 19.790 0.092 
58811.276 19.760 0.072 
filter ztfr
58786.375 19.201 0.087 
58786.375 19.242 0.108 
58787.287 19.149 0.090 
58787.340 19.017 0.092 
58787.351 19.014 0.092 
58790.365 18.634 0.033 
58793.476 18.512 0.028 
58796.322 18.426 0.040 
58798.301 18.441 0.048 
58798.301 18.308 0.043 
58798.329 18.414 0.057 
58803.315 18.506 0.038 
58804.371 18.707 0.052 
58804.371 18.676 0.050 
58805.331 18.706 0.033 
58805.332 18.731 0.035 
58805.333 18.739 0.032 
58806.331 18.743 0.030 
58806.332 18.811 0.038 
58806.332 18.862 0.033 
58811.317 19.135 0.055 
58811.332 19.060 0.070 
58811.333 19.198 0.075 
58812.282 19.113 0.029 
58812.291 19.129 0.036 
58812.292 19.150 0.039 
58814.228 19.161 0.079 
58814.274 19.244 0.059 
58814.278 19.176 0.057 
58814.279 19.167 0.054 
58814.283 19.191 0.051 
58814.284 19.157 0.055 
58814.284 19.147 0.048 
58814.285 19.140 0.050 
58814.294 19.210 0.065 
58814.296 19.224 0.054 
58814.297 19.226 0.051 
58830.293 19.639 0.132 
58833.223 19.936 0.127 
58833.247 19.772 0.107 
58836.431 20.092 0.128 
58846.258 20.321 0.110 
58849.173 20.789 0.163 
58852.171 20.424 0.110 
58852.181 20.316 0.102 
58862.227 20.563 0.170 
58873.162 20.936 0.158 
