ZTF19acjqecl 0.08664578 114.118974 81.117448
filter ztfg
58779.400 20.653 0.143 
58782.298 20.040 0.082 
58785.465 19.132 0.047 
58789.443 18.662 0.028 
58790.347 18.595 0.022 
58791.301 18.553 0.028 
58797.239 18.430 0.050 
58799.535 18.492 0.057 
58804.388 18.954 0.077 
58852.470 21.198 0.171 
58853.466 21.332 0.193 
filter ztfr
58783.484 20.326 0.267 
58783.484 20.228 0.263 
58785.492 19.319 0.068 
58790.507 18.748 0.037 
58791.480 18.716 0.035 
58793.513 18.592 0.028 
58797.430 18.610 0.048 
58798.278 18.581 0.050 
58798.278 18.682 0.052 
58799.334 18.806 0.078 
58799.334 18.792 0.073 
58801.329 18.756 0.068 
58801.329 18.909 0.076 
58812.275 19.211 0.040 
58827.272 19.798 0.184 
58827.315 19.900 0.222 
58828.241 19.630 0.196 
58828.242 19.859 0.301 
58828.314 19.599 0.104 
58828.327 19.768 0.109 
58829.325 19.937 0.184 
58829.326 19.941 0.177 
58830.301 20.431 0.241 
58830.302 19.986 0.175 
58830.320 19.817 0.115 
58835.446 20.404 0.257 
58835.447 20.593 0.299 
58836.444 20.237 0.153 
58836.446 20.442 0.159 
58837.427 20.386 0.261 
58837.428 20.361 0.242 
58850.472 20.460 0.219 
58851.467 20.751 0.249 
58855.300 20.192 0.226 
