ZTF19ackjnuq 0.05320705 162.341428 17.223786
filter ztfg
58789.506 18.198 0.018 
58792.539 18.200 0.014 
58804.506 18.861 0.095 
58827.545 20.939 0.212 
58852.481 21.201 0.115 
58853.493 21.579 0.166 
58855.483 21.441 0.256 
filter ztfr
58785.517 18.465 0.032 
58789.527 18.253 0.021 
58792.507 18.222 0.023 
58798.536 18.328 0.037 
58804.549 18.863 0.073 
58830.457 19.720 0.091 
58836.505 19.854 0.079 
58846.424 20.177 0.066 
58846.456 20.356 0.099 
58849.454 20.558 0.147 
58852.441 20.561 0.089 
58855.523 20.495 0.105 
