ZTF19ackjvjr 0.07399405 174.071944 1.296329
filter ztfg
58792.545 18.409 0.040 
58804.517 18.804 0.082 
58852.503 21.478 0.253 
filter ztfr
58783.533 19.543 0.264 
58783.538 19.396 0.199 
58783.543 19.049 0.259 
58785.532 19.067 0.085 
58785.537 19.274 0.122 
58785.542 19.010 0.112 
58787.537 18.907 0.130 
58787.542 18.919 0.164 
58787.547 18.505 0.145 
58789.534 18.588 0.053 
58789.539 18.510 0.048 
58792.519 18.377 0.036 
58828.567 19.683 0.086 
58831.443 19.827 0.226 
58852.458 20.510 0.106 
58855.541 20.832 0.189 
