ZTF19acnjwgm 0.035034 36.600426 28.507968
filter ztfg
58791.296 19.616 0.041 
58792.351 18.998 0.026 
58794.258 18.203 0.021 
58795.256 18.006 0.027 
58797.229 17.448 0.020 
58801.228 17.000 0.016 
58802.189 16.915 0.010 
58802.243 16.968 0.012 
58802.243 16.961 0.012 
58802.244 16.994 0.023 
58803.190 16.891 0.010 
58804.206 16.895 0.007 
58805.191 16.859 0.005 
58806.197 16.862 0.005 
58811.209 17.002 0.006 
58811.215 17.030 0.006 
58811.232 17.045 0.006 
58811.233 17.039 0.006 
58812.322 17.035 0.006 
58813.181 17.156 0.009 
58813.182 17.127 0.009 
58813.182 17.151 0.011 
58819.228 17.541 0.008 
58820.229 17.682 0.019 
58830.128 18.695 0.053 
58830.187 18.613 0.048 
58833.180 19.027 0.048 
58836.132 19.062 0.030 
58846.217 19.688 0.057 
58849.101 19.716 0.052 
58849.129 19.718 0.051 
58852.104 19.755 0.090 
58852.116 19.643 0.114 
58855.170 19.712 0.138 
58859.108 20.076 0.172 
58861.099 19.849 0.074 
58864.140 19.979 0.052 
58871.185 20.108 0.097 
58874.152 20.267 0.135 
58876.153 20.131 0.062 
58877.174 20.254 0.129 
58880.107 20.349 0.128 
filter ztfr
58791.357 19.453 0.051 
58792.360 18.972 0.042 
58793.368 18.622 0.028 
58794.296 18.298 0.022 
58795.295 17.995 0.018 
58796.296 17.732 0.019 
58797.330 17.554 0.027 
58801.279 17.104 0.024 
58801.282 17.105 0.027 
58804.228 17.011 0.010 
58804.352 17.014 0.009 
58806.244 16.944 0.005 
58812.191 17.060 0.008 
58812.202 17.056 0.007 
58814.193 17.199 0.008 
58814.204 17.177 0.008 
58830.232 17.917 0.027 
58831.100 17.851 0.019 
58833.104 17.860 0.017 
58833.292 17.959 0.030 
58836.099 18.022 0.021 
58846.131 18.645 0.033 
58849.148 18.721 0.032 
58852.166 18.869 0.037 
58855.207 19.131 0.087 
58859.175 19.196 0.070 
58859.217 19.131 0.065 
58860.155 19.207 0.084 
58861.155 19.195 0.061 
58863.104 19.287 0.049 
58867.108 19.475 0.096 
58871.100 19.554 0.048 
58873.205 19.580 0.056 
58874.141 19.637 0.074 
58875.102 19.551 0.067 
58877.138 19.637 0.070 
58880.177 19.648 0.107 
