ZTF19acudiph 0.0627185 323.403395 14.575466
filter ztfg
58829.089 18.085 0.086 
58829.091 18.028 0.061 
58833.125 18.316 0.029 
58837.118 18.687 0.041 
58837.119 18.722 0.042 
filter ztfr
58814.129 18.520 0.072 
58814.129 18.539 0.069 
58829.072 17.994 0.045 
58837.091 18.424 0.030 
58837.091 18.417 0.033 
58852.082 18.803 0.055 
58852.087 18.798 0.052 
58852.092 18.772 0.050 
58852.097 18.728 0.047 
58854.081 18.861 0.082 
58854.086 18.921 0.075 
58854.091 18.911 0.078 
58854.096 18.888 0.084 
58860.086 19.470 0.202 
58860.089 19.279 0.140 
58860.091 19.437 0.187 
58860.094 19.355 0.150 
58860.096 19.335 0.162 
58860.099 19.325 0.151 
58860.101 19.000 0.128 
58862.103 19.380 0.088 
58864.085 19.397 0.119 
58864.090 19.203 0.078 
58864.095 19.419 0.089 
58864.100 19.395 0.095 
